DistrictNumber,DistrictType,districtName,year,percentLunch
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2012,0.5798816568047337
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2012,0.47808764940239046
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2012,0.39430449069003287
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2012,0.39987937273823887
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2012,0.3367992766726944
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2012,0.43
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2012,0.32259988073941565
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2012,0.6509146341463414
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2012,0.4200743494423792
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2012,0.4365808823529412
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2012,0.36816524908869985
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2012,0.44476744186046513
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2012,0.37531486146095716
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2012,0.5497512437810945
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2012,0.3605263157894737
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2012,0.48660714285714285
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2012,0.3926174496644295
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2012,0.2676056338028169
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2012,0.3424242424242424
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2012,0.20783132530120482
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2012,0.41336898395721927
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2012,0.3704974271012007
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2012,0.44571428571428573
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2012,0.6520046710782406
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2012,0.14934696195343555
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2012,0.16593886462882096
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2012,0.24973656480505796
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2012,0.3439355120914828
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2012,0.3879310344827586
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2012,0.3048729695960017
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2012,0.46195652173913043
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2012,0.39846743295019155
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2012,0.4746906636670416
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2012,0.41103848946986205
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2012,0.4717948717948718
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2012,0.44677661169415295
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2012,0.4789473684210526
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2012,0.37306501547987614
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2012,0.46511627906976744
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2012,0.4354243542435424
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2012,0.39747634069400634
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2012,0.6728395061728395
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2012,0.42857142857142855
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2012,0.30450236966824645
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2012,0.37250554323725055
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2012,0.27559055118110237
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2012,0.42362204724409447
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2012,0.298765923566879
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2012,0.46481022315468246
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2012,0.43132601601898546
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2012,0.2744951383694839
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2012,0.732401586487872
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2012,0.38481675392670156
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2012,0.4375
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2012,0.23404255319148937
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2012,0.5090767634854771
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2012,0.24822321663595684
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2012,0.33884297520661155
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2012,0.52
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2012,0.2702485966319166
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2012,0.3776744186046512
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2012,0.447887323943662
0696,01,ELY PUBLIC SCHOOL DISTRICT,2012,0.39738805970149255
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2012,0.5404411764705882
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2012,0.14554875176636833
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2012,0.43844221105527637
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2012,0.31755196304849886
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2012,0.40272614622057
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2012,0.618421052631579
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2012,0.47750167897918067
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2012,0.5214408233276158
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2012,0.2335216572504708
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2012,0.2660069848661234
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2012,0.14920990071318696
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2012,0.31716008771929827
0721,01,NEW PRAGUE AREA SCHOOLS,2012,0.14442413162705667
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2012,0.20087336244541484
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2012,0.29376498800959233
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2012,0.2257755801898078
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2012,0.24124124124124124
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2012,0.3250728862973761
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2012,0.3872659176029963
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2012,0.4008097165991903
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2012,0.4810233639919653
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2012,0.34881320949432404
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2012,0.22493887530562348
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2012,0.1597452934662237
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2012,0.24204771371769385
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2012,0.32294617563739375
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2012,0.3858947368421053
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2012,0.2908045977011494
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2012,0.3356401384083045
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2012,0.3624161073825503
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2012,0.415061295971979
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2012,0.3448275862068966
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2012,0.6
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2012,0.5053995680345572
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2012,0.7272727272727273
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2012,0.31565656565656564
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2012,0.35093696763202725
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2012,0.2922824302134647
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2012,0.6276150627615062
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2012,0.5431372549019607
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2012,0.5631901840490797
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2012,0.37958963282937364
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2012,0.23726281189302256
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2012,0.09640773718145533
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2012,0.19336177175246888
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2012,0.15645339555446397
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2012,0.6359447004608295
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2012,0.48412698412698413
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2012,0.5500927643784786
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2012,0.3793103448275862
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2012,0.4188034188034188
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2012,0.6153846153846154
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2012,0.36813922356091033
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2012,0.3053830227743271
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2012,0.36774395983683716
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2012,0.261101243339254
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2012,0.2725691424595582
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2012,0.12883435582822086
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2012,0.2367303609341826
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2012,0.2711610486891386
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2012,0.2955696202531646
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2012,0.144693352919574
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2012,0.40836653386454186
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2012,0.36771122570408565
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2012,0.43568691844553914
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2012,0.24232081911262798
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2012,0.5822784810126582
0916,06,NORTHEAST METRO 916,2012,0.5142857142857142
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2012,0.33663366336633666
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2012,0.4074074074074074
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2012,0.46875
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2012,0.8278145695364238
0966,51,WRIGHT TECHNICAL CENTER,2012,0
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2012,0.6491228070175439
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2012,NaN
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2012,0.13851351351351351
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2012,0.9935483870967742
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2012,0.34760705289672544
2125,01,TRITON SCHOOL DISTRICT,2012,0.39827586206896554
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2012,0.43790849673202614
2135,01,MAPLE RIVER SCHOOL DISTRICT,2012,0.39539347408829173
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2012,0.32901134521880065
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2012,0.47093649085037675
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2012,0.3493552168815944
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2012,0.2182468694096601
2149,01,MINNEWASKA SCHOOL DISTRICT,2012,0.3752362948960302
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2012,0.4407951598962835
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2012,0.5441176470588235
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2012,0.3618881118881119
2164,01,DILWORTH-GLYNDON-FELTON,2012,0.2772695285010556
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2012,0.5561224489795918
2167,01,LAKEVIEW SCHOOL DISTRICT,2012,0.332220367278798
2168,01,NRHEG SCHOOL DISTRICT,2012,0.38074866310160427
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2012,0.33509234828496043
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2012,0.5860953920776071
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2012,0.23102310231023102
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2012,0.32116788321167883
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2012,0.6122222222222222
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2012,0.4481132075471698
2180,01,MACCRAY SCHOOL DISTRICT,2012,0.41940298507462687
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2012,0.3474295190713101
2190,01,YELLOW MEDICINE EAST,2012,0.42995169082125606
2198,01,FILLMORE CENTRAL,2012,0.33574007220216606
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2012,0.4470198675496689
2310,01,SIBLEY EAST SCHOOL DISTRICT,2012,0.4369817578772803
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2012,0.5263157894736842
2342,01,WEST CENTRAL AREA,2012,0.4368131868131868
2358,01,TRI-COUNTY SCHOOL DISTRICT,2012,0.5321100917431193
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2012,0.40746268656716417
2365,01,G.F.W.,2012,0.42125
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2012,0.43974358974358974
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2012,0.3659889094269871
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2012,0.36473755047106327
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2012,0.5342960288808665
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2012,0.45
2536,01,GRANADA HUNTLEY-EAST CHAIN,2012,0.4782608695652174
2580,01,EAST CENTRAL SCHOOL DISTRICT,2012,0.5542635658914729
2609,01,WIN-E-MAC SCHOOL DISTRICT,2012,0.4411764705882353
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2012,0.3444976076555024
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2012,0.30813397129186604
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2012,0.4474393530997305
2711,01,MESABI EAST SCHOOL DISTRICT,2012,0.4208092485549133
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2012,0.42840512223515714
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2012,0.5507399577167019
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2012,0.5188284518828452
2769,01,MORRIS AREA PUBLIC SCHOOLS,2012,0.2802030456852792
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2012,0.2161654135338346
2835,01,JANESVILLE-WALDORF-PEMBERTON,2012,0.3223570190641248
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2012,0.3992297817715019
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2012,0.4362934362934363
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2012,0.4085714285714286
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2012,0.3713942307692308
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2012,0.4774034511092851
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2012,0.4095238095238095
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2012,0.3807829181494662
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2012,0.44166666666666665
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2012,0.40217391304347827
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2012,0.4766536964980545
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2012,0.3940193491644679
2897,01,REDWOOD AREA SCHOOL DISTRICT,2012,0.39622641509433965
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2012,0.5643776824034334
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2012,0.2770137524557957
2902,01,RTR PUBLIC SCHOOLS,2012,0.3500931098696462
2903,01,ORTONVILLE PUBLIC SCHOOLS,2012,0.4392712550607287
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2012,0.52088772845953
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2012,NA
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2012,NA
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2012,NA
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2012,NA
4000,07,CITY ACADEMY,2012,0.8292682926829268
4001,07,BLUFFVIEW MONTESSORI,2012,0.3333333333333333
4003,07,"NEW HEIGHTS SCHOOL, INC.",2012,0.5367647058823529
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2012,1
4005,07,METRO DEAF SCHOOL,2012,0.46153846153846156
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2012,0.3333333333333333
4008,07,PACT CHARTER SCHOOL,2012,0.16104294478527606
4011,07,ATHLOS LEADERSHIP ACADEMY,2012,0.9054726368159204
4015,07,COMMUNITY OF PEACE ACADEMY,2012,0.8340192043895748
4016,07,WORLD LEARNER CHARTER SCHOOL,2012,0.12690355329949238
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2012,0.5695121951219512
4018,07,ACHIEVE LANGUAGE ACADEMY,2012,0.8564476885644768
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2012,0.4722689075630252
4025,07,CYBER VILLAGE ACADEMY,2012,0.19402985074626866
4026,07,E.C.H.O. CHARTER SCHOOL,2012,0.46236559139784944
4027,07,HIGHER GROUND ACADEMY,2012,0.9565217391304348
4029,07,ST. PAUL CITY SCHOOL,2012,0.9487951807228916
4031,07,JENNINGS COMMUNITY SCHOOL,2012,0.8
4032,07,HARVEST PREPARATORY SCHOOL,2012,0.9201995012468828
4035,07,LIFE PREP,2012,0.8660130718954249
4036,07,FACE TO FACE ACADEMY,2012,0.8970588235294118
4038,07,SOJOURNER TRUTH ACADEMY,2012,0.9534883720930233
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2012,0.9591836734693877
4043,07,MATH AND SCIENCE ACADEMY,2012,0.007853403141361256
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2012,0.4418604651162791
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2012,0.5764705882352941
4053,07,NORTH LAKES ACADEMY,2012,0.3221884498480243
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2012,0.4897959183673469
4055,07,NERSTRAND CHARTER SCHOOL,2012,0.14193548387096774
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2012,0.5371900826446281
4057,07,EL COLEGIO CHARTER SCHOOL,2012,0.9855072463768116
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2012,0.5380434782608695
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2012,0.5333333333333333
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2012,0.7857142857142857
4066,07,KATO PUBLIC CHARTER SCHOOL,2012,0.6103896103896104
4067,07,AURORA CHARTER SCHOOL,2012,0.9766666666666667
4068,07,EXCELL ACADEMY CHARTER,2012,0.917960088691796
4070,07,HOPE COMMUNITY ACADEMY,2012,0.8366890380313199
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2012,0.9794721407624634
4074,07,AFSA HIGH SCHOOL,2012,0.421455938697318
4075,07,AVALON SCHOOL,2012,0.3333333333333333
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2012,0.953125
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2012,0.9805013927576601
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2012,0.9313725490196079
4080,07,PILLAGER AREA CHARTER SCHOOL,2012,0.7894736842105263
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2012,0.7368421052631579
4082,07,BLUESKY CHARTER SCHOOL,2012,0.16531165311653118
4083,07,RIDGEWAY COMMUNITY SCHOOL,2012,0.35555555555555557
4084,07,NORTH SHORE COMMUNITY SCHOOL,2012,0.434375
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2012,0.41208791208791207
4087,07,SAGE ACADEMY CHARTER SCHOOL,2012,0.6582278481012658
4088,07,URBAN ACADEMY CHARTER SCHOOL,2012,0.9437086092715232
4089,07,NEW CITY SCHOOL,2012,0.46153846153846156
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2012,0.17777777777777778
4091,07,ARCADIA CHARTER SCHOOL,2012,0.2857142857142857
4092,07,WATERSHED HIGH SCHOOL,2012,0.4533333333333333
4093,07,NEW CENTURY ACADEMY,2012,0.5522388059701493
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2012,0.2642857142857143
4097,07,"PARTNERSHIP ACADEMY, INC.",2012,0.9534883720930233
4098,07,NOVA CLASSICAL ACADEMY,2012,0.1262699564586357
4100,07,GREAT EXPECTATIONS,2012,0.4714285714285714
4102,07,MINNESOTA INTERNSHIP CENTER,2012,0.9915966386554622
4103,07,HMONG COLLEGE PREP ACADEMY,2012,0.9908952959028832
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2012,0.8091603053435115
4105,07,GREAT RIVER SCHOOL,2012,0.16845878136200718
4106,07,TREKNORTH HIGH SCHOOL,2012,0.47398843930635837
4107,07,VOYAGEURS EXPEDITIONARY,2012,0.9054054054054054
4110,07,PIM ARTS HIGH SCHOOL,2012,0.26119402985074625
4111,07,AUGSBURG FAIRVIEW ACADEMY,2012,0.8692307692307693
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2012,0.07606679035250463
4113,07,SPERO ACADEMY,2012,0.45454545454545453
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2012,0.11526479750778816
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2012,0.1330049261083744
4119,07,ACADEMIC ARTS HIGH SCHOOL,2012,0
4120,07,ST. CROIX PREPARATORY ACADEMY,2012,0.10615079365079365
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2012,0.8863636363636364
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2012,0.13121019108280255
4124,07,BEACON ACADEMY,2012,0.16831683168316833
4126,07,PRAIRIE SEEDS ACADEMY,2012,0.6671052631578948
4127,07,TEAM ACADEMY,2012,0.5743243243243243
4131,07,METRO SCHOOLS CHARTER,2012,0.744
4132,07,TWIN CITIES ACADEMY,2012,0.4423076923076923
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2012,0.9911111111111112
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2012,0.06293706293706294
4138,07,MILROY AREA CHARTER SCHOOL,2012,0.46511627906976744
4139,07,LOVEWORKS ACADEMY FOR ARTS,2012,0.5972850678733032
4140,07,YINGHUA ACADEMY,2012,0.03686635944700461
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2012,0.4158415841584158
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2012,0.8609271523178808
4144,07,GREEN ISLE COMMUNITY SCHOOL,2012,0.40540540540540543
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2012,0.4827586206896552
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2012,0.8018018018018018
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2012,0.2222222222222222
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2012,0.37777777777777777
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2012,0.10820895522388059
4153,07,DUGSI ACADEMY,2012,0.9835526315789473
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2012,0.9026548672566371
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2012,0.2188235294117647
4160,07,SPECTRUM HIGH SCHOOL,2012,0.2185089974293059
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2012,0.5274725274725275
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2012,0.5700934579439252
4163,07,LEARNING FOR LEADERSHIP CHARTER,2012,0.7951807228915663
4164,07,LAURA JEFFREY ACADEMY CHARTER,2012,0.2995391705069124
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2012,0.616822429906542
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2012,0.06329113924050633
4168,07,GLACIAL HILLS ELEMENTARY,2012,0.5544554455445545
4169,07,STONEBRIDGE WORLD SCHOOL,2012,0.9579439252336449
4170,07,HIAWATHA ACADEMIES,2012,0.9468822170900693
4171,07,NOBLE ACADEMY,2012,0.8979166666666667
4172,07,CLARKFIELD CHARTER SCHOOL,2012,0.7142857142857143
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2012,0
4178,07,LINCOLN INTERNATIONAL SCHOOL,2012,1
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2012,0.9065868263473054
4183,07,LIONSGATE ACADEMY,2012,0.16783216783216784
4184,07,ASPEN ACADEMY,2012,0.026706231454005934
4185,07,DAVINCI ACADEMY,2012,0.1980440097799511
4186,07,GLOBAL ACADEMY,2012,0.8888888888888888
4187,07,NATURAL SCIENCE ACADEMY,2012,0.1864406779661017
4188,07,COLOGNE ACADEMY,2012,0.21568627450980393
4189,07,BRIGHT WATER ELEMENTARY,2012,0.4824561403508772
4190,07,RIVERS EDGE ACADEMY,2012,0.5
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2012,0.9523809523809523
4192,07,BEST ACADEMY,2012,0.9334600760456274
4193,07,COLLEGE PREPARATORY ELEMENTARY,2012,0.9166666666666666
4194,07,CANNON RIVER STEM SCHOOL,2012,0.3053097345132743
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2012,0.875
4198,07,DISCOVERY WOODS,2012,0.5959595959595959
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2012,0.10764872521246459
4200,07,STEP ACADEMY CHARTER SCHOOL,2012,0.9711538461538461
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2012,0.7
4204,07,ROCHESTER STEM ACADEMY,2012,0.9365079365079365
4205,07,HENNEPIN ELEMENTARY SCHOOL,2012,NA
4207,07,VERMILION COUNTRY SCHOOL,2012,NA
4208,07,NASHA SHKOLA CHARTER SCHOOL,2012,NA
4209,07,MASTERY SCHOOL,2012,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2012,NA
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2012,NA
4213,07,PRODEO ACADEMY,2012,NA
4215,07,SEJONG ACADEMY OF MINNESOTA,2012,NA
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2012,NA
4218,07,VENTURE ACADEMY,2012,NA
