DistrictNumber,DistrictType,districtName,year,percentLunch
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2006,0.25
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2006,0.58283132530120485
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2006,0.6023102310231023
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2006,0.4647887323943662
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2006,0.5526315789473685
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2006,0.4738292011019284
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2006,0.38224852071005916
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2006,0.2777777777777778
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2006,0.261978021978022
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2006,0.5050675675675675
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2006,0.21
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2006,0.5751552795031056
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2006,0.38362395754359363
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2006,0.42488038277511964
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2006,0.33819241982507287
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2006,0.4730878186968839
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2006,0.24289405684754523
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2006,0.4115831948730121
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2006,0.2696629213483146
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2006,0.47368421052631576
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2006,0.40412979351032446
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2006,0.18780096308186195
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2006,0.3057324840764331
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2006,0.1875
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2006,0.29516129032258065
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2006,0.3640699523052464
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2006,0.3225806451612903
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2006,0.5070938215102975
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2006,0.09955891619407688
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2006,0.1415929203539823
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2006,0.1686886192952051
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2006,0.2714439450528581
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2006,0.3913857677902622
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2006,0.2413536630717739
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2006,0.42178770949720673
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2006,0.35294117647058826
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2006,0.41214351425942963
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2006,0.3735705209656925
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2006,0.4294478527607362
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2006,0.4413793103448276
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2006,0.5418994413407822
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2006,0.31636183885318836
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2006,0.5511627906976744
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2006,0.35598316295850874
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2006,0.3971119133574007
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2006,0.564625850340136
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2006,0.4222065063649222
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2006,0.3289698349459306
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2006,0.412
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2006,0.34539473684210525
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2006,0.4344391785150079
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2006,0.1820665430773734
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2006,0.28748518822349833
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2006,0.27644078530715643
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2006,0.2122205314292403
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2006,0.7096464683740498
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2006,0.4030612244897959
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2006,0.4594594594594595
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2006,0.3545232273838631
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2006,0.379
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2006,0.16796469366562825
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2006,0.3592233009708738
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2006,0.5523809523809524
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2006,0.26014492753623186
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2006,0.31689571544058204
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2006,0.37783711615487314
0696,01,ELY PUBLIC SCHOOL DISTRICT,2006,0.28100470957613816
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2006,0.4607594936708861
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2006,0.12286860581745236
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2006,0.3661354581673307
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2006,0.2354618015963512
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2006,0.3503509891512444
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2006,0.7464788732394366
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2006,0.3819384526890998
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2006,0.4198717948717949
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2006,0.10522742701968771
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2006,0.18494055482166447
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2006,0.07599614395886889
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2006,0.25247888358428205
0721,01,NEW PRAGUE AREA SCHOOLS,2006,0.10386774797255147
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2006,0.16145229818462728
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2006,0.1723122238586156
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2006,0.13237117053302638
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2006,0.1990521327014218
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2006,0.24010554089709762
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2006,0.2949894142554693
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2006,0.33394664213431463
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2006,0.3577725220382713
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2006,0.2922201138519924
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2006,0.17868538608806636
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2006,0.11088777219430486
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2006,0.20405522001725626
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2006,0.22948539638386647
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2006,0.28617754357519254
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2006,0.20907840440165062
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2006,0.33480176211453744
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2006,0.4010989010989011
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2006,0.3454861111111111
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2006,0.3170028818443804
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2006,0.6596638655462185
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2006,0.45544554455445546
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2006,0.5899280575539568
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2006,0.3094170403587444
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2006,0.2809667673716012
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2006,0.1695040710584752
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2006,0.5590909090909091
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2006,0.5765765765765766
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2006,0.5061728395061729
