DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,HML-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
15-16,07,Blue Earth                                   ,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     ,000, ,09,09,11,577,151,53,21,20,67,7,577,151,53,21,20,67,7,, ,EC-12,
15-16,07,Blue Earth                                   ,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     ,000, ,09,09,12,582,170,35,21,15,82,14,582,170,35,21,15,82,14,, ,EC-12,
15-16,07,Blue Earth                                   ,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     ,000, ,09,09,All Grades,8047,2408,591,421,388,1067,131,8299,2500,610,421,388,1319,136,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,EC,,,,,,,,2,,,,,2,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,KG,8,4,,,,1,,8,4,,,,1,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,01,5,3,1,,,2,,5,3,1,,,2,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,02,7,2,3,,,2,,7,2,3,,,2,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,03,12,4,2,,,3,,12,4,2,,,3,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,04,14,5,3,,,5,,14,5,3,,,5,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,05,11,4,2,,,2,,11,4,2,,,2,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,06,20,8,6,,,1,,20,8,6,,,1,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,07,16,6,4,,,1,,16,6,4,,,1,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,08,10,2,2,,,4,,10,2,2,,,4,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,09,13,2,2,,,6,,13,2,2,,,6,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,10,12,4,1,,,1,,12,4,1,,,1,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,11,14,3,4,,,,,14,3,4,,,,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,12,10,,2,,,3,,10,,2,,,3,,, ,EC-12,
15-16,08,Brown                                        ,0081,01,COMFREY PUBLIC SCHOOL DISTRICT     ,000, ,09,09,All Grades,152,47,32,,,31,,154,47,32,,,33,,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,EC,,,,,,,,10,5,1,,,10,,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,KG,55,28,11,9,,9,1,55,28,11,9,,9,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,01,39,17,2,4,,4,3,39,17,2,4,,4,3,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,02,39,17,6,5,,8,3,39,17,6,5,,8,3,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,03,38,20,2,4,1,9,1,38,20,2,4,1,9,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,04,41,14,7,4,1,3,3,41,14,7,4,1,3,3,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,05,40,17,5,5,2,6,1,40,17,5,5,2,6,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,06,47,18,2,2,1,7,1,47,18,2,2,1,7,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,07,47,25,4,6,,7,4,47,25,4,6,,7,4,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,08,48,15,4,1,,6,,48,15,4,1,,6,,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,09,36,15,4,3,,3,1,36,15,4,3,,3,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,10,54,7,10,1,,7,1,54,7,10,1,,7,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,11,42,12,5,2,,8,,42,12,5,2,,8,,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,12,40,10,10,,,6,1,40,10,10,,,6,1,, ,EC-12,
15-16,08,Brown                                        ,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  ,000, ,09,09,All Grades,566,215,72,46,5,83,20,576,220,73,46,5,93,20,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,EC,,,,,,,,12,4,,,,12,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,KG,45,7,4,,,4,,45,7,4,,,4,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,01,37,10,,,,2,,37,10,,,,2,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,02,50,15,5,,,7,,50,15,5,,,7,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,03,51,18,4,,,4,,51,18,4,,,4,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,04,32,9,2,,,4,,32,9,2,,,4,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,05,40,13,5,,,6,,40,13,5,,,6,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,06,43,13,5,,,6,,43,13,5,,,6,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,07,47,17,4,,,2,,47,17,4,,,2,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,08,46,13,4,,,3,,46,13,4,,,3,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,09,41,15,4,,,7,,41,15,4,,,7,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,10,48,14,8,,,1,,48,14,8,,,1,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,11,50,15,7,,,4,,50,15,7,,,4,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,12,48,14,8,1,1,7,,48,14,8,1,1,7,,, ,EC-12,
15-16,08,Brown                                        ,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT ,000, ,09,09,All Grades,578,173,60,1,1,57,,590,177,60,1,1,69,,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,EC,,,,,,,,41,19,,,,41,,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,KG,143,36,14,,,22,2,143,36,14,,,22,2,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,01,170,43,12,2,2,20,,170,43,12,2,2,20,,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,02,162,37,16,5,5,11,1,162,37,16,5,5,11,1,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,03,166,43,13,2,2,23,2,166,43,13,2,2,23,2,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,04,152,45,17,1,1,24,3,152,45,17,1,1,24,3,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,05,137,30,11,1,1,22,4,137,30,11,1,1,22,4,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,06,145,30,22,,,22,2,145,30,22,,,22,2,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,07,141,39,12,1,1,25,2,141,39,12,1,1,25,2,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,08,149,27,10,,,22,1,149,27,10,,,22,1,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,09,177,30,11,2,2,29,2,177,30,11,2,2,29,2,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,10,170,24,16,,,23,1,170,24,16,,,23,1,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,11,141,12,5,,,14,1,141,12,5,,,14,1,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,12,133,9,8,,,17,,133,9,8,,,17,,, ,EC-12,
15-16,08,Brown                                        ,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     ,000, ,09,09,All Grades,1986,405,167,14,14,274,21,2027,424,167,14,14,315,21,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,,14,2,,,,14,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,62,18,8,,,7,,62,18,8,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,48,11,6,,,5,,48,11,6,,,5,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,63,17,11,,,5,1,63,17,11,,,5,1,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,57,21,3,,,8,,57,21,3,,,8,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,67,17,8,,,8,1,67,17,8,,,8,1,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,59,16,6,,,9,,59,16,6,,,9,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,65,22,5,,,8,,65,22,5,,,8,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,64,20,8,,,9,,64,20,8,,,9,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,64,19,8,,,7,,64,19,8,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,75,14,10,,,8,,75,14,10,,,8,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,61,14,8,,,9,,61,14,8,,,9,,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,54,14,2,,,10,2,54,14,2,,,10,2,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,58,6,4,,,6,1,58,6,4,,,6,1,, ,EC-12,
15-16,09,Carlton                                      ,0091,01,BARNUM PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,797,209,87,,,99,5,811,211,87,,,113,5,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,EC,,,,,,,,7,1,2,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,KG,38,12,3,,,5,,38,12,3,,,5,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,01,27,10,2,,,4,,27,10,2,,,4,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,02,38,10,6,,,5,,38,10,6,,,5,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,03,34,10,2,,,5,,34,10,2,,,5,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,04,29,6,7,,,4,,29,6,7,,,4,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,05,37,10,4,,,10,,37,10,4,,,10,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,06,27,9,2,,,4,,27,9,2,,,4,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,07,45,13,5,,,8,,45,13,5,,,8,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,08,56,22,3,,,7,,56,22,3,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,09,28,7,4,,,2,,28,7,4,,,2,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,10,36,8,2,,,7,,36,8,2,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,11,45,7,2,,,6,,45,7,2,,,6,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,12,37,7,1,,,6,,37,7,1,,,6,,, ,EC-12,
15-16,09,Carlton                                      ,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     ,000, ,03,03,All Grades,477,131,43,,,73,,484,132,45,,,80,,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,EC,,,,,,,,56,27,3,,,56,,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,KG,203,82,12,,,30,2,203,82,12,,,30,2,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,01,188,92,8,,,27,6,188,92,8,,,27,6,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,02,176,76,19,,,21,5,176,76,19,,,21,5,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,03,207,89,16,,,30,4,207,89,16,,,30,4,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,04,208,78,17,,,36,4,208,78,17,,,36,4,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,05,185,75,14,,,34,3,185,75,14,,,34,3,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,06,195,57,18,,,31,2,195,57,18,,,31,2,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,07,193,70,22,,,37,3,193,70,22,,,37,3,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,08,189,66,13,,,29,4,189,66,13,,,29,4,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,09,183,53,16,,,30,3,183,53,16,,,30,3,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,10,175,49,19,,,21,6,175,49,19,,,21,6,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,11,193,67,23,,,33,6,193,67,23,,,33,6,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,12,198,70,14,,,29,12,198,70,14,,,29,12,, ,EC-12,
15-16,09,Carlton                                      ,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     ,000, ,03,03,All Grades,2493,924,211,,,388,60,2549,951,214,,,444,60,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,EC,,,,,,,,3,2,1,,,3,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,KG,19,2,1,,,1,,19,2,1,,,1,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,01,21,9,1,,,5,,21,9,1,,,5,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,02,32,9,5,,,4,,32,9,5,,,4,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,03,21,4,1,,,,,21,4,1,,,,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,04,34,6,8,,,3,,34,6,8,,,3,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,05,23,6,2,,,2,,23,6,2,,,2,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,06,31,13,1,,,7,,31,13,1,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,07,15,4,3,,,1,,15,4,3,,,1,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,08,27,13,2,,,7,,27,13,2,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,09,32,4,4,,,2,,32,4,4,,,2,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,10,18,4,2,,,4,,18,4,2,,,4,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,11,30,4,2,,,6,,30,4,2,,,6,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,12,21,5,2,,,2,,21,5,2,,,2,,, ,EC-12,
15-16,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS     ,000, ,03,03,All Grades,324,83,34,,,44,,327,85,35,,,47,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,EC,,,,,,,,6,4,,,,6,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,KG,47,14,4,,,4,,47,14,4,,,4,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,01,49,15,6,,,10,1,49,15,6,,,10,1,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,02,52,17,3,,,7,1,52,17,3,,,7,1,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,03,58,15,10,,,6,1,58,15,10,,,6,1,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,04,50,10,3,,,5,1,50,10,3,,,5,1,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,05,49,10,7,,,9,,49,10,7,,,9,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,06,55,16,11,,,8,,55,16,11,,,8,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,07,43,11,3,,,5,,43,11,3,,,5,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,08,50,17,5,,,6,,50,17,5,,,6,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,09,62,19,4,,,7,,62,19,4,,,7,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,10,43,12,5,,,8,1,43,12,5,,,8,1,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,11,52,10,4,,,8,,52,10,4,,,8,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,12,56,9,3,1,,3,,56,9,3,1,,3,,, ,EC-12,
15-16,09,Carlton                                      ,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  ,000, ,03,03,All Grades,666,175,68,1,,86,5,672,179,68,1,,92,5,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,EC,,,,,,,,10,2,,,,10,,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,KG,86,3,3,,,5,2,86,3,3,,,5,2,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,01,90,8,2,,,8,1,90,8,2,,,8,1,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,02,94,7,8,,,10,2,94,7,8,,,10,2,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,03,100,12,3,,,5,4,100,12,3,,,5,4,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,04,106,7,2,,,10,,106,7,2,,,10,,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,05,79,8,7,,,9,2,79,8,7,,,9,2,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,06,103,10,1,,,9,3,103,10,1,,,9,3,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,07,99,11,5,,,13,1,99,11,5,,,13,1,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,08,86,6,3,,,10,1,86,6,3,,,10,1,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,09,98,9,1,,,14,2,98,9,1,,,14,2,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,10,95,2,3,,,14,,95,2,3,,,14,,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,11,89,3,1,,,12,1,89,3,1,,,12,1,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,12,93,2,1,,,13,2,93,2,1,,,13,2,, ,EC-12,
15-16,09,Carlton                                      ,0099,01,ESKO PUBLIC SCHOOL DISTRICT        ,000, ,03,03,All Grades,1218,88,40,,,132,21,1228,90,40,,,142,21,, ,EC-12,
