districtNumber,districtType,districtName,year,dropRate
0317,01,Deer River Public School District,2012,8.62
0318,01,Grand Rapids Public School District,2012,4.56
0319,01,Nashwauk-Keewatin School District,2012,6.12
0330,01,Heron Lake-Okabena School District,2012,0
0332,01,Mora Public School District,2012,5.51
0333,01,Ogilvie Public School District,2012,0
0345,01,New London-Spicer School District,2012,4.1
0347,01,Willmar Public School District,2012,10.48
0356,01,Lancaster Public School District,2012,0
0361,01,International Falls School District,2012,9.09
0362,01,Littlefork-Big Falls School Dist.,2012,8
0363,01,South Koochiching School District,2012,0
0378,01,Dawson-Boyd Public School District,2012,0
0381,01,Lake Superior Public School Dist.,2012,7.89
0390,01,Lake Of The Woods School District,2012,5.56
0391,01,Cleveland Public School District,2012,0
0413,01,Marshall Public School District,2012,6.84
0414,01,Minneota Public School District,2012,0
0423,01,Hutchinson Public School District,2012,4.11
0424,01,Lester Prairie Public School Dist.,2012,0
0432,01,Mahnomen Public School District,2012,28.95
0435,01,Waubun-Ogema-White Earth Public Sch,2012,1.96
0441,01,Marshall County Central Schools,2012,0
0447,01,Grygla Public School District,2012,0
0458,01,Truman Public School District,2012,5.88
0463,01,Eden Valley-Watkins School District,2012,1.79
0465,01,Litchfield Public School District,2012,3.7
0466,01,Dassel-Cokato Public School Dist.,2012,1.76
0473,01,Isle Public School District,2012,10.42
0477,01,Princeton Public School District,2012,2.39
0480,01,Onamia Public School District,2012,16
0482,01,Little Falls Public School District,2012,2.11
0484,01,Pierz Public School District,2012,3.45
0485,01,Royalton Public School District,2012,3.33
0486,01,Swanville Public School District,2012,6.82
0487,01,Upsala Public School District,2012,0
0492,01,Austin Public School District,2012,8.63
0495,01,Grand Meadow Public School District,2012,4
0497,01,Lyle Public School District,2012,20
0499,01,Leroy-Ostrander Public Schools,2012,5
0500,01,Southland Public School District,2012,1.54
0505,01,Fulda Public School District,2012,2.17
0507,01,Nicollet Public School District,2012,11.54
0508,01,St. Peter Public School District,2012,1.6
0511,01,Adrian Public School District,2012,0
0514,01,Ellsworth Public School District,2012,0
0518,01,Worthington Public School District,2012,11.16
0531,01,Byron Public School District,2012,0.78
0533,01,Dover-Eyota Public School District,2012,0
0534,01,Stewartville Public School District,2012,0.85
0535,01,Rochester Public School District,2012,5.06
0542,01,Battle Lake Public School District,2012,0
0544,01,Fergus Falls Public School District,2012,5.12
0545,01,Henning Public School District,2012,0
0547,01,Parkers Prairie Public School Dist.,2012,0
0548,01,Pelican Rapids Public School Dist.,2012,5.56
0549,01,Perham-Dent Public School District,2012,7.81
0550,01,Underwood Public School District,2012,3.45
0553,01,New York Mills Public School Dist.,2012,9.3
0561,01,Goodridge Public School District,2012,0
0564,01,Thief River Falls School District,2012,2.2
0577,01,Willow River Public School District,2012,6.25
0578,01,Pine City Public School District,2012,2.26
0581,01,Edgerton Public School District,2012,7.14
0592,01,Climax-Shelly Public Schools,2012,8.33
0593,01,Crookston Public School District,2012,8.74
0595,01,East Grand Forks Public School Dist,2012,6.72
0599,01,Fertile-Beltrami School District,2012,2.5
0600,01,Fisher Public School District,2012,0
0601,01,Fosston Public School District,2012,2.78
0621,01,Mounds View Public School District,2012,1.86
0622,01,North St Paul-Maplewood Oakdale Public School District,2012,3.33
0623,01,Roseville Public School District,2012,3
0624,01,White Bear Lake School District,2012,1.85
0625,01,St. Paul Public School District,2012,7.11
0630,01,Red Lake Falls Public School Dist.,2012,12.5
0640,01,Wabasso Public School District,2012,2.33
