districtNumber,districtType,districtName,year,dropRate
0716,01,Belle Plaine Public School District,2013,4.76
0717,01,Jordan Public School District,2013,2.29
0719,01,Prior Lake-Savage Area Schools,2013,2.93
0720,01,Shakopee Public School District,2013,5.06
0721,01,New Prague Area Schools,2013,1.42
0726,01,Becker Public School District,2013,2.96
0727,01,Big Lake Public School District,2013,0.44
0728,01,Elk River Public School District,2013,1.75
0738,01,Holdingford Public School District,2013,2.56
0739,01,Kimball Public School District,2013,3.23
0740,01,Melrose Public School District,2013,0
0741,01,Paynesville Public School District,2013,0
0742,01,St. Cloud Public School District,2013,4.33
0743,01,Sauk Centre Public School District,2013,1.09
0745,01,Albany Public School District,2013,0.79
0748,01,Sartell-St. Stephen School District,2013,0.4
0750,01,Rocori Public School District,2013,1.64
0756,01,Blooming Prairie Public School Dist,2013,0
0761,01,Owatonna Public School District,2013,5.97
0763,01,Medford Public School District,2013,3.08
0768,01,Hancock Public School District,2013,0
0771,01,Chokio-Alberta Public School Dist.,2013,0
0775,01,Kerkhoven-Murdock-Sunburg,2013,0
0777,01,Benson Public School District,2013,2.94
0786,01,Bertha-Hewitt Public School District,2013,5.88
0787,01,Browerville Public School District,2013,0
0803,01,Wheaton Area Public School District,2013,0
0811,01,Wabasha-Kellogg Public School Dist.,2013,0
0813,01,Lake City Public School District,2013,2.3
0818,01,Verndale Public School District,2013,10
0820,01,Sebeka Public School District,2013,0
0821,01,Menahga Public School District,2013,2.04
0829,01,Waseca Public School District,2013,2.63
0831,01,Forest Lake Public School District,2013,3.36
0832,01,Mahtomedi Public School District,2013,0
0833,01,South Washington County School Dist,2013,2.34
0834,01,Stillwater Area Public School Dist.,2013,1.33
0836,01,Butterfield Public School District,2013,0
0837,01,Madelia Public School District,2013,11.76
0840,01,St. James Public School District,2013,3.3
0846,01,Breckenridge Public School District,2013,5.48
0850,01,Rothsay Public School District,2013,0
0857,01,Lewiston-Altura Public School Dist.,2013,1.67
0858,01,St. Charles Public School District,2013,1.41
0861,01,Winona Area Public School District,2013,3.67
0876,01,Annandale Public School District,2013,1.72
0877,01,Buffalo-Hanover-Montrose Public Sch,2013,2.78
0879,01,Delano Public School District,2013,3.11
0881,01,Maple Lake Public School District,2013,1.32
0882,01,Monticello Public School District,2013,1.45
0883,01,Rockford Public School District,2013,2.56
0885,01,St. Michael-Albertville School Dist,2013,2.47
0891,01,Canby Public School District,2013,0
0911,01,Cambridge-Isanti Public School Dist,2013,2.4
0912,01,Milaca Public School District,2013,5.84
0914,01,Ulen-Hitterdal Public School Dist,2013,0
0915,52,Southern Plains Education Coop.,2013,17.86
0916,06,Northeast Metro 916,2013,9.55
0917,06,Intermediate School District 917,2013,12
0926,83,Region 4-Lakes Country Service Coop,2013,27.27
0966,51,Wright Technical Center,2013,9.3
0991,83,Region 6 And 8-Sw/Wc Service Cooperative,2013,7.32
1000,70,Perpich Center For Arts Education,2013,0
1094,34,Fond Du Lac Ojibwe,2013,18.18
1435,34,Circle Of Life,2013,NA
2071,01,Lake Crystal-Wellcome Memorial,2013,1.72
2125,01,Triton School District,2013,10.98
2134,01,United South Central School Dist.,2013,9.09
2135,01,Maple River School District,2013,1.16
2137,01,Kingsland Public School District,2013,5.77
2142,01,St. Louis County School District,2013,6.1
2143,01,Waterville-Elysian-Morristown Public School District,2013,0
2144,01,Chisago Lakes School District,2013,3.73
2149,01,Minnewaska School District,2013,1.3
2154,01,Eveleth-Gilbert School District,2013,1.33
2155,01,Wadena-Deer Creek School District,2013,3.45
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2013,0
2164,01,Dilworth-Glyndon-Felton,2013,2.53
2165,01,Hinckley-Finlayson School District,2013,3.61
2167,01,Lakeview School District,2013,0
2168,01,Nrheg School District,2013,5.26
2169,01,Murray County Central School Dist.,2013,1.72
2170,01,Staples-Motley School District,2013,0
2171,01,Kittson Central School District,2013,0
2172,01,Kenyon-Wanamingo School District,2013,0
2174,01,Pine River-Backus School District,2013,5.1
2176,01,Warren-Alvarado-Oslo School Dist.,2013,2.94
2180,01,Maccray School District,2013,1.69
2184,01,Luverne Public School District,2013,3.8
2190,01,Yellow Medicine East,2013,0
2198,01,Fillmore Central,2013,0
2215,01,Norman County East School District,2013,3.85
2310,01,Sibley East School District,2013,1.22
2311,01,Clearbrook-Gonvick School District,2013,17.5
2342,01,West Central Area,2013,3.64
2358,01,Tri-County School District,2013,5.26
2364,01,Belgrade-Brooten-Elrosa Public School District,2013,1.89
2365,01,G.f.w. Public School District,2013,2.67
2396,01,A.c.g.c. Public School District,2013,0
2397,01,Le Sueur-Henderson School District,2013,1.03
2448,01,Martin County West School District,2013,8.06
2527,01,Norman County West School District,2013,4.76
2534,01,Bird Island-Olivia-Lake Lillian Public School District,2013,3.92
2536,01,Granada Huntley-East Chain,2013,5.88
2580,01,East Central School District,2013,6.25
2609,01,Win-E-Mac School District,2013,4.35
2683,01,Greenbush-Middle River School Dist.,2013,0
2687,01,Howard Lake-Waverly-Winsted,2013,4.65
2689,01,Pipestone Area School District,2013,9.09
2711,01,Mesabi East School District,2013,2.13
2752,01,Fairmont Area School District,2013,1.57
2753,01,Long Prairie-Grey Eagle School District,2013,4.76
2754,01,Cedar Mountain School District,2013,3.03
2769,01,Morris Area Public Schools,2013,2.33
2805,01,Zumbrota-Mazeppa School District,2013,4.35
2835,01,Janesville-Waldorf-Pemberton,2013,0
2853,01,Lac Qui Parle Valley School Dist.,2013,1.3
2854,01,Ada-Borup Public School District,2013,2.56
2856,01,Stephen-Argyle Central Schools,2013,0
2859,01,Glencoe-Silver Lake School District,2013,0.75
2860,01,Blue Earth Area Public School,2013,4.49
2884,01,Red Rock Central School District,2013,0
2886,01,Glenville-Emmons School District,2013,3.03
2888,01,Clinton-Graceville-Beardsley,2013,0
2889,01,Lake Park Audubon School District,2013,0
2890,01,Renville County West School Dist.,2013,6.98
2895,01,Jackson County Central School Dist.,2013,2.6
2897,01,Redwood Area School District,2013,8.91
2898,01,Westbrook-Walnut Grove Schools,2013,0
2899,01,Plainview-Elgin-Millville,2013,3.15
2902,01,Rtr Public Schools,2013,2.63
2903,01,Ortonville Public Schools,2013,5.88
2904,01,Tracy Area Public School District,2013,1.64
2905,01,Tri-City United School District,2013,0.85
2906,01,Red Lake County Central Public Schools,2013,NA
2908,01,Brandon-Evansville Public Schools,2013,NA
4000,07,City Academy,2013,0
4003,07,"New Heights School, Inc.",2013,5.56
4007,07,Minnesota New Country School,2013,8.7
4008,07,Pact Charter School,2013,0
4015,07,Community Of Peace Academy,2013,0
4017,07,Minnesota Transitions Charter School,2013,4.91
4025,07,Cyber Village Academy,2013,NA
4026,07,E.c.h.o. Charter School,2013,7.69
4027,07,Higher Ground Academy,2013,0
4031,07,Jennings Community School,2013,16.67
4036,07,Face To Face Academy,2013,8.33
4039,07,High School For Recording Arts,2013,11.58
4043,07,Math And Science Academy,2013,0
4049,07,Northwest Passage High School,2013,19.35
4053,07,North Lakes Academy,2013,9.68
4056,07,Rosa Parks Charter High School,2013,19.12
4057,07,El Colegio Charter School,2013,48.48
4059,07,Crosslake Community Charter School,2013,NA
4066,07,Kato Public Charter School,2013,0
4074,07,Afsa High School,2013,2.08
4075,07,Avalon School,2013,8.06
4080,07,Pillager Area Charter School,2013,20.83
4081,07,Discovery Public School Faribault,2013,18.18
4082,07,Bluesky Charter School,2013,28.42
4085,07,Harbor City International Charter,2013,2.63
4087,07,Sage Academy Charter School,2013,15
4091,07,Arcadia Charter School,2013,0
4092,07,Watershed High School,2013,0
4093,07,New Century Academy,2013,25.81
4095,07,Trio Wolf Creek Distance Learning,2013,14.04
4098,07,Nova Classical Academy,2013,0
4102,07,Minnesota Internship Center,2013,19.17
4103,07,Hmong College Prep Academy,2013,5.26
4104,07,Paladin Career And Technical High School,2013,7.45
4105,07,Great River School,2013,2.63
4106,07,Treknorth High School,2013,0
4107,07,Voyageurs Expeditionary,2013,19.05
4110,07,Pim Arts High School,2013,1.54
4111,07,Augsburg Fairview Academy,2013,6.52
4112,07,St Paul Conservatory Performing Art,2013,1.96
4118,07,Kaleidoscope Charter School,2013,NA
4119,07,Academic Arts High School,2013,21.74
4120,07,St. Croix Preparatory Academy,2013,3.33
4121,07,Ubah Medical Academy Charter School,2013,3.17
4122,07,Eagle Ridge Academy Charter School,2013,0
4126,07,Prairie Seeds Academy,2013,6.56
4131,07,Metro Schools Charter,2013,1.47
4132,07,Twin Cities Academy,2013,0
4146,07,Northern Lights Community School,2013,7.14
4150,07,Minnesota Online High School,2013,11.59
4151,07,Edvisions Off Campus School,2013,28
4160,07,Spectrum High School,2013,0
4163,07,Learning For Leadership Charter,2013,0
4166,07,East Range Academy Of Tech-Science,2013,15.69
4178,07,Lincoln International School,2013,20
4183,07,Lionsgate Academy,2013,10
4190,07,Rivers Edge Academy,2013,21.05
4200,07,Step Academy Charter School,2013,NA
4204,07,Rochester Stem Academy,2013,NA
4207,07,Vermilion Country School,2013,NA
4210,07,Upper Mississippi Academy,2013,NA
4217,07,Technical Academies Of Minnesota,2013,NA
4237,07,Career Pathways,2013,NA
6004,61,Freshwater Ed. Dist.,2013,6.25
6012,61,Zumbro Education District,2013,16.67
6013,61,Hiawatha Valley Ed. District,2013,14.81
6014,61,Runestone Area Ed. District,2013,8.89
6018,61,Mn River Valley Education District,2013,0
6026,61,West Central Education District,2013,16.67
6049,61,River Bend Education District,2013,31.58
6051,61,Goodhue County Education District,2013,0
6074,50,Central Minnesota Jt. Powers Dist.,2013,2.08
6076,50,Northland Learning Center,2013,26.92
6079,52,Rum River Special Education Coop,2013,NA
6083,52,Southern Mn Education Consortium,2013,NA
0000,01,Minneapolis-St. Paul International Airport,2013,NA
2759,01,Eagle Valley,2013,NA
0323,02,Franconia,2013,NA
0815,02,Prinsburg,2013,NA
0025,01,Pine Point,2013,NA
0264,01,Herman-Norcross,2013,NA
0402,01,Hendricks,2013,NA
0403,01,Ivanhoe,2013,NA
0404,01,Lake Benton,2013,NA
0415,01,Lynd,2013,NA
0635,01,Milroy,2013,NA
0707,01,Nett Lake,2013,NA
0801,01,Browns Valley,2013,NA
0852,01,Campbell-Tintah,2013,NA
2907,01,Round Lake-Brewster,2013,NA
0001,01,Aitkin Public School District,2014,3
0001,03,Minneapolis Public School District,2014,7.55
0002,01,Hill City Public School District,2014,0
0004,01,Mcgregor Public School District,2014,3.7
0006,03,South St. Paul Public School Dist.,2014,6.69
0011,01,Anoka-Hennepin Public School District,2014,2.18
0012,01,Centennial Public School District,2014,1.36
0013,01,Columbia Heights Public School Dist,2014,6.7
0014,01,Fridley Public School District,2014,1.18
0015,01,St. Francis Public School District,2014,2.31
0016,01,Spring Lake Park Public Schools,2014,4.02
0022,01,Detroit Lakes Public School Dist.,2014,4.48
0023,01,Frazee-Vergas Public School Dist.,2014,2.94
0031,01,Bemidji Public School District,2014,6.56
0032,01,Blackduck Public School District,2014,1.96
0036,01,Kelliher Public School District,2014,7.14
0038,01,Red Lake Public School District,2014,47.5
0047,01,Sauk Rapids-Rice Public Schools,2014,3.57
0051,01,Foley Public School District,2014,0.78
0075,01,St. Clair Public School District,2014,0
0077,01,Mankato Public School District,2014,6.77
0081,01,Comfrey Public School District,2014,0
0084,01,Sleepy Eye Public School District,2014,6.67
0085,01,Springfield Public School District,2014,2.56
0088,01,New Ulm Public School District,2014,0.69
0091,01,Barnum Public School District,2014,1.89
0093,01,Carlton Public School District,2014,5.88
0094,01,Cloquet Public School District,2014,2.02
0095,01,Cromwell-Wright Public Schools,2014,0
0097,01,Moose Lake Public School District,2014,2.13
0099,01,Esko Public School District,2014,0.95
0100,01,Wrenshall Public School District,2014,4
0108,01,Central Public School District,2014,0.95
0110,01,Waconia Public School District,2014,1.05
0111,01,Watertown-Mayer Public School Dist.,2014,0
0112,01,Eastern Carver County Public School,2014,1.76
0113,01,Walker-Hackensack-Akeley Schl. Dist,2014,2.22
0115,01,Cass Lake-Bena Public Schools,2014,7.5
0116,01,Pillager Public School District,2014,6.15
0118,01,Northland Community Schools,2014,5.56
0129,01,Montevideo Public School District,2014,1.04
0138,01,North Branch Public Schools,2014,5.71
0139,01,Rush City Public School District,2014,4.76
0146,01,Barnesville Public School District,2014,7.94
0150,01,Hawley Public School District,2014,2.82
0152,01,Moorhead Public School District,2014,7
0160,70,Minnesota State Academies,2014,0
0162,01,Bagley Public School District,2014,4.94
0166,01,Cook County Public Schools,2014,2.86
0173,01,Mountain Lake Public Schools,2014,4.88
0177,01,Windom Public School District,2014,1.75
0181,01,Brainerd Public School District,2014,4.12
0182,01,Crosby-Ironton Public School Dist.,2014,12
0186,01,Pequot Lakes Public Schools,2014,0.9
0191,01,Burnsville Public School District,2014,3.55
0192,01,Farmington Public School District,2014,1.36
0194,01,Lakeville Public School District,2014,1.49
0195,01,Randolph Public School District,2014,0
0196,01,Rosemount-Apple Valley-Eagan,2014,1.91
0197,01,West St. Paul-Mendota Hts.-Eagan,2014,1.33
0199,01,Inver Grove Heights Schools,2014,4.09
0200,01,Hastings Public School District,2014,1.11
0203,01,Hayfield Public School District,2014,5.77
0204,01,Kasson-Mantorville School District,2014,2.45
0206,01,Alexandria Public School District,2014,2.75
0213,01,Osakis Public School District,2014,1.22
0227,01,Chatfield Public Schools,2014,1.69
0229,01,Lanesboro Public School District,2014,0
0238,01,Mabel-Canton Public School Dist.,2014,0
0239,01,Rushford-Peterson Public Schools,2014,2.44
0241,01,Albert Lea Public School District,2014,10
0242,01,Alden-Conger Public School District,2014,3.23
0252,01,Cannon Falls Public School District,2014,4.76
0253,01,Goodhue Public School District,2014,4.17
0255,01,Pine Island Public School Dist.,2014,1.28
0256,01,Red Wing Public School District,2014,2.56
0261,01,Ashby Public School District,2014,5.26
0270,01,Hopkins Public School District,2014,1.84
0271,01,Bloomington Public School District,2014,1.37
0272,01,Eden Prairie Public School District,2014,1.72
0273,01,Edina Public School District,2014,0.32
0276,01,Minnetonka Public School District,2014,0.56
0277,01,Westonka Public School District,2014,1.33
0278,01,Orono Public School District,2014,0.82
0279,01,Osseo Public School District,2014,2.8
0280,01,Richfield Public School District,2014,3.45
0281,01,Robbinsdale Public School District,2014,5.45
0282,01,St. Anthony-New Brighton Schools,2014,0
0283,01,St. Louis Park Public School Dist.,2014,2.62
0284,01,Wayzata Public School District,2014,1.26
0286,01,Brooklyn Center School District,2014,14.54
0287,06,Intermediate School District 287,2014,10.78
0288,06,Southwest Metro Intermediate 288,2014,NA
0294,01,Houston Public School District,2014,17.67
0297,01,Spring Grove School District,2014,0
0299,01,Caledonia Public School District,2014,1.43
0300,01,La Crescent-Hokah School District,2014,1.6
0306,01,Laporte Public School District,2014,8.33
0308,01,Nevis Public School District,2014,4.26
0309,01,Park Rapids Public School District,2014,6.96
0314,01,Braham Public School District,2014,3.92
0316,01,Greenway Public School District,2014,1.56
0317,01,Deer River Public School District,2014,13.46
0318,01,Grand Rapids Public School District,2014,3.36
0319,01,Nashwauk-Keewatin School District,2014,6.82
0330,01,Heron Lake-Okabena School District,2014,3.03
0332,01,Mora Public School District,2014,5.19
0333,01,Ogilvie Public School District,2014,8.82
0345,01,New London-Spicer School District,2014,1.64
0347,01,Willmar Public School District,2014,9.6
0356,01,Lancaster Public School District,2014,9.09
0361,01,International Falls School District,2014,8.6
0362,01,Littlefork-Big Falls School Dist.,2014,3.13
0363,01,South Koochiching School District,2014,0
0378,01,Dawson-Boyd Public School District,2014,0
0381,01,Lake Superior Public School Dist.,2014,5.26
0390,01,Lake Of The Woods School District,2014,5.41
0391,01,Cleveland Public School District,2014,2.7
0413,01,Marshall Public School District,2014,4.62
0414,01,Minneota Public School District,2014,7.14
0423,01,Hutchinson Public School District,2014,0.89
0424,01,Lester Prairie Public School Dist.,2014,0
0432,01,Mahnomen Public School District,2014,13.33
0435,01,Waubun-Ogema-White Earth Public Sch,2014,2.22
0441,01,Marshall County Central Schools,2014,3.13
0447,01,Grygla Public School District,2014,6.25
0458,01,Truman Public School District,2014,9.09
0463,01,Eden Valley-Watkins School District,2014,2.63
0465,01,Litchfield Public School District,2014,2.16
0466,01,Dassel-Cokato Public School Dist.,2014,2.04
0473,01,Isle Public School District,2014,5.26
0477,01,Princeton Public School District,2014,1.23
0480,01,Onamia Public School District,2014,16.98
0482,01,Little Falls Public School District,2014,2.56
0484,01,Pierz Public School District,2014,0
0485,01,Royalton Public School District,2014,0
0486,01,Swanville Public School District,2014,11.43
0487,01,Upsala Public School District,2014,3.7
0492,01,Austin Public School District,2014,9.15
0495,01,Grand Meadow Public School District,2014,0
0497,01,Lyle Public School District,2014,0
0499,01,Leroy-Ostrander Public Schools,2014,0
0500,01,Southland Public School District,2014,2
0505,01,Fulda Public School District,2014,9.38
0507,01,Nicollet Public School District,2014,0
0508,01,St. Peter Public School District,2014,2.88
0511,01,Adrian Public School District,2014,4.17
0514,01,Ellsworth Public School District,2014,0
0518,01,Worthington Public School District,2014,12.37
0531,01,Byron Public School District,2014,1.8
0533,01,Dover-Eyota Public School District,2014,2.63
0534,01,Stewartville Public School District,2014,2.65
0535,01,Rochester Public School District,2014,3.97
0542,01,Battle Lake Public School District,2014,5.71
0544,01,Fergus Falls Public School District,2014,7.49
0545,01,Henning Public School District,2014,0
0547,01,Parkers Prairie Public School Dist.,2014,2.33
0548,01,Pelican Rapids Public School Dist.,2014,6.58
0549,01,Perham-Dent Public School District,2014,3.82
0550,01,Underwood Public School District,2014,2.63
0553,01,New York Mills Public School Dist.,2014,6.25
0561,01,Goodridge Public School District,2014,NA
0564,01,Thief River Falls School District,2014,5.33
0577,01,Willow River Public School District,2014,10.81
0578,01,Pine City Public School District,2014,5.69
0581,01,Edgerton Public School District,2014,0
0592,01,Climax-Shelly Public Schools,2014,NA
0593,01,Crookston Public School District,2014,4.76
0595,01,East Grand Forks Public School Dist,2014,6.49
0599,01,Fertile-Beltrami School District,2014,2.56
0600,01,Fisher Public School District,2014,4.76
0601,01,Fosston Public School District,2014,3.64
0621,01,Mounds View Public School District,2014,1.84
0622,01,North St Paul-Maplewood Oakdale Public School District,2014,3.46
0623,01,Roseville Public School District,2014,3.35
0624,01,White Bear Lake School District,2014,2.59
0625,01,St. Paul Public School District,2014,6.86
0630,01,Red Lake Falls Public School Dist.,2014,0
0640,01,Wabasso Public School District,2014,4.76
0656,01,Faribault Public School District,2014,4.35
0659,01,Northfield Public School District,2014,0.97
0671,01,Hills-Beaver Creek School District,2014,0
0676,01,Badger Public School District,2014,0
0682,01,Roseau Public School District,2014,2.88
0690,01,Warroad Public School District,2014,3.53
0695,01,Chisholm Public School District,2014,4.44
0696,01,Ely Public School District,2014,2.38
0698,01,Floodwood Public School District,2014,4
0700,01,Hermantown Public School District,2014,0
0701,01,Hibbing Public School District,2014,8.72
0704,01,Proctor Public School District,2014,4.13
0706,01,Virginia Public School District,2014,4.03
0709,01,Duluth Public School District,2014,7.34
0712,01,Mountain Iron-Buhl School District,2014,0
0716,01,Belle Plaine Public School District,2014,1.65
0717,01,Jordan Public School District,2014,1.75
0719,01,Prior Lake-Savage Area Schools,2014,1.88
0720,01,Shakopee Public School District,2014,2.94
0721,01,New Prague Area Schools,2014,1.67
0726,01,Becker Public School District,2014,1.65
0727,01,Big Lake Public School District,2014,1.46
0728,01,Elk River Public School District,2014,2.18
0738,01,Holdingford Public School District,2014,0
0739,01,Kimball Public School District,2014,2.04
0740,01,Melrose Public School District,2014,2.63
0741,01,Paynesville Public School District,2014,0
0742,01,St. Cloud Public School District,2014,5.74
0743,01,Sauk Centre Public School District,2014,6.85
0745,01,Albany Public School District,2014,1.5
0748,01,Sartell-St. Stephen School District,2014,0.41
0750,01,Rocori Public School District,2014,1.06
0756,01,Blooming Prairie Public School Dist,2014,0
0761,01,Owatonna Public School District,2014,5.26
0763,01,Medford Public School District,2014,5.56
0768,01,Hancock Public School District,2014,0
0771,01,Chokio-Alberta Public School Dist.,2014,0
0775,01,Kerkhoven-Murdock-Sunburg,2014,0
0777,01,Benson Public School District,2014,0
0786,01,Bertha-Hewitt Public School District,2014,3.33
0787,01,Browerville Public School District,2014,0
0803,01,Wheaton Area Public School District,2014,0
0811,01,Wabasha-Kellogg Public School Dist.,2014,0
0813,01,Lake City Public School District,2014,1.39
0818,01,Verndale Public School District,2014,0
0820,01,Sebeka Public School District,2014,0
0821,01,Menahga Public School District,2014,0
0829,01,Waseca Public School District,2014,3.61
0831,01,Forest Lake Public School District,2014,4.83
0832,01,Mahtomedi Public School District,2014,0.35
0833,01,South Washington County School Dist,2014,1.2
0834,01,Stillwater Area Public School Dist.,2014,1.41
0836,01,Butterfield Public School District,2014,12.5
0837,01,Madelia Public School District,2014,16.28
0840,01,St. James Public School District,2014,5.13
0846,01,Breckenridge Public School District,2014,4.69
0850,01,Rothsay Public School District,2014,14.29
0857,01,Lewiston-Altura Public School Dist.,2014,2.82
0858,01,St. Charles Public School District,2014,0
0861,01,Winona Area Public School District,2014,5.26
0876,01,Annandale Public School District,2014,7.41
0877,01,Buffalo-Hanover-Montrose Public Sch,2014,0.94
0879,01,Delano Public School District,2014,1.46
0881,01,Maple Lake Public School District,2014,1.56
0882,01,Monticello Public School District,2014,1.74
0883,01,Rockford Public School District,2014,1.85
0885,01,St. Michael-Albertville School Dist,2014,0.28
0891,01,Canby Public School District,2014,2.27
0911,01,Cambridge-Isanti Public School Dist,2014,2.91
0912,01,Milaca Public School District,2014,8.53
0914,01,Ulen-Hitterdal Public School Dist,2014,6.25
0915,52,Southern Plains Education Coop.,2014,16.67
0916,06,Northeast Metro 916,2014,12.14
0917,06,Intermediate School District 917,2014,12.71
0926,83,Region 4-Lakes Country Service Coop,2014,4
0966,51,Wright Technical Center,2014,8.7
0991,83,Region 6 And 8-Sw/Wc Service Cooperative,2014,4.88
1000,70,Perpich Center For Arts Education,2014,0
1094,34,Fond Du Lac Ojibwe,2014,31.25
1435,34,Circle Of Life,2014,NA
2071,01,Lake Crystal-Wellcome Memorial,2014,5.17
2125,01,Triton School District,2014,3.51
2134,01,United South Central School Dist.,2014,8.62
2135,01,Maple River School District,2014,6.25
2137,01,Kingsland Public School District,2014,0
2142,01,St. Louis County School District,2014,1.32
2143,01,Waterville-Elysian-Morristown Public School District,2014,1.52
2144,01,Chisago Lakes School District,2014,1.6
2149,01,Minnewaska School District,2014,2.53
2154,01,Eveleth-Gilbert School District,2014,2.6
2155,01,Wadena-Deer Creek School District,2014,4.55
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2014,2.78
2164,01,Dilworth-Glyndon-Felton,2014,4.3
2165,01,Hinckley-Finlayson School District,2014,5.88
2167,01,Lakeview School District,2014,0
2168,01,Nrheg School District,2014,2.9
2169,01,Murray County Central School Dist.,2014,4.44
2170,01,Staples-Motley School District,2014,2.06
2171,01,Kittson Central School District,2014,0
2172,01,Kenyon-Wanamingo School District,2014,1.79
2174,01,Pine River-Backus School District,2014,4
2176,01,Warren-Alvarado-Oslo School Dist.,2014,0
2180,01,Maccray School District,2014,2
2184,01,Luverne Public School District,2014,1.05
2190,01,Yellow Medicine East,2014,3.17
2198,01,Fillmore Central,2014,4.76
2215,01,Norman County East School District,2014,3.7
2310,01,Sibley East School District,2014,3.53
2311,01,Clearbrook-Gonvick School District,2014,5.88
2342,01,West Central Area,2014,0
2358,01,Tri-County School District,2014,0
2364,01,Belgrade-Brooten-Elrosa Public School District,2014,0
2365,01,G.f.w. Public School District,2014,3.28
2396,01,A.c.g.c. Public School District,2014,3.85
2397,01,Le Sueur-Henderson School District,2014,1.43
2448,01,Martin County West School District,2014,3.92
2527,01,Norman County West School District,2014,0
2534,01,Bird Island-Olivia-Lake Lillian Public School District,2014,4.23
2536,01,Granada Huntley-East Chain,2014,5
2580,01,East Central School District,2014,15.28
2609,01,Win-E-Mac School District,2014,4.26
2683,01,Greenbush-Middle River School Dist.,2014,3.33
2687,01,Howard Lake-Waverly-Winsted,2014,3.9
2689,01,Pipestone Area School District,2014,10.84
2711,01,Mesabi East School District,2014,1.75
2752,01,Fairmont Area School District,2014,6.5
2753,01,Long Prairie-Grey Eagle School District,2014,0
2754,01,Cedar Mountain School District,2014,2.78
2769,01,Morris Area Public Schools,2014,1.33
2805,01,Zumbrota-Mazeppa School District,2014,1.16
2835,01,Janesville-Waldorf-Pemberton,2014,2.38
2853,01,Lac Qui Parle Valley School Dist.,2014,0
2854,01,Ada-Borup Public School District,2014,4.44
2856,01,Stephen-Argyle Central Schools,2014,3.13
2859,01,Glencoe-Silver Lake School District,2014,0.95
2860,01,Blue Earth Area Public School,2014,3.53
2884,01,Red Rock Central School District,2014,0
2886,01,Glenville-Emmons School District,2014,3.57
2888,01,Clinton-Graceville-Beardsley,2014,2.86
2889,01,Lake Park Audubon School District,2014,0
2890,01,Renville County West School Dist.,2014,5.56
2895,01,Jackson County Central School Dist.,2014,1.06
2897,01,Redwood Area School District,2014,8.89
2898,01,Westbrook-Walnut Grove Schools,2014,5.13
2899,01,Plainview-Elgin-Millville,2014,0.8
2902,01,Rtr Public Schools,2014,4.26
2903,01,Ortonville Public Schools,2014,5.45
2904,01,Tracy Area Public School District,2014,0
2905,01,Tri-City United School District,2014,1.77
2906,01,Red Lake County Central Public Schools,2014,0
2908,01,Brandon-Evansville Public Schools,2014,0
4000,07,City Academy,2014,0
4003,07,"New Heights School, Inc.",2014,0
4007,07,Minnesota New Country School,2014,13.33
4008,07,Pact Charter School,2014,2.17
4015,07,Community Of Peace Academy,2014,1.75
4017,07,Minnesota Transitions Charter School,2014,5.2
4025,07,Cyber Village Academy,2014,NA
4026,07,E.c.h.o. Charter School,2014,0
4027,07,Higher Ground Academy,2014,0
4031,07,Jennings Community School,2014,6.06
4036,07,Face To Face Academy,2014,14.29
4039,07,High School For Recording Arts,2014,11.54
4043,07,Math And Science Academy,2014,0
4049,07,Northwest Passage High School,2014,20.45
4053,07,North Lakes Academy,2014,10.81
4056,07,Rosa Parks Charter High School,2014,20.51
4057,07,El Colegio Charter School,2014,24
4059,07,Crosslake Community Charter School,2014,NA
4066,07,Kato Public Charter School,2014,25
4074,07,Afsa High School,2014,5.45
4075,07,Avalon School,2014,2.33
4080,07,Pillager Area Charter School,2014,6.67
4081,07,Discovery Public School Faribault,2014,7.69
4082,07,Bluesky Charter School,2014,25.71
4085,07,Harbor City International Charter,2014,2.04
4087,07,Sage Academy Charter School,2014,4.17
4091,07,Arcadia Charter School,2014,0
4092,07,Watershed High School,2014,9.52
4093,07,New Century Academy,2014,12.5
4095,07,Trio Wolf Creek Distance Learning,2014,25.86
4098,07,Nova Classical Academy,2014,0
4102,07,Minnesota Internship Center,2014,17.04
4103,07,Hmong College Prep Academy,2014,5.68
4104,07,Paladin Career And Technical High School,2014,1.05
4105,07,Great River School,2014,0
4106,07,Treknorth High School,2014,7.69
4107,07,Voyageurs Expeditionary,2014,37.04
4110,07,Pim Arts High School,2014,5.56
4111,07,Augsburg Fairview Academy,2014,15.25
4112,07,St Paul Conservatory Performing Art,2014,0
4118,07,Kaleidoscope Charter School,2014,NA
4119,07,Academic Arts High School,2014,13.16
4120,07,St. Croix Preparatory Academy,2014,0
4121,07,Ubah Medical Academy Charter School,2014,1.27
4122,07,Eagle Ridge Academy Charter School,2014,0
4126,07,Prairie Seeds Academy,2014,3.17
4131,07,Metro Schools Charter,2014,0
4132,07,Twin Cities Academy,2014,2.86
4146,07,Northern Lights Community School,2014,10.34
4150,07,Minnesota Online High School,2014,12.68
4151,07,Edvisions Off Campus School,2014,10
4160,07,Spectrum High School,2014,0
4163,07,Learning For Leadership Charter,2014,9.09
4166,07,East Range Academy Of Tech-Science,2014,16.28
4178,07,Lincoln International School,2014,11.32
4183,07,Lionsgate Academy,2014,0
4190,07,Rivers Edge Academy,2014,12.5
4200,07,Step Academy Charter School,2014,NA
