districtNumber,districtType,districtName,year,gradRate
0415,01,Lynd,2012,NA
0423,01,Hutchinson,2012,NA
0441,01,Marshall County Central,2012,NA
0447,01,Grygla,2012,NA
0458,01,Truman,2012,NA
0463,01,Eden Valley-Watkins,2012,NA
0466,01,Dassel-Cokato,2012,NA
0473,01,Isle,2012,NA
0477,01,Princeton,2012,NA
0482,01,Little Falls,2012,NA
0484,01,Pierz,2012,NA
0485,01,Royalton,2012,NA
0486,01,Swanville,2012,NA
0487,01,Upsala,2012,NA
0495,01,Grand Meadow,2012,NA
0497,01,Lyle,2012,NA
0499,01,Leroy-Ostrander,2012,NA
0500,01,Southland,2012,NA
0505,01,Fulda,2012,NA
0507,01,Nicollet,2012,NA
0511,01,Adrian,2012,NA
0514,01,Ellsworth,2012,NA
0531,01,Byron,2012,NA
0533,01,Dover-Eyota,2012,NA
0534,01,Stewartville,2012,NA
0542,01,Battle Lake,2012,NA
0544,01,Fergus Falls,2012,NA
0545,01,Henning,2012,NA
0547,01,Parkers Prairie,2012,NA
0550,01,Underwood,2012,NA
0553,01,New York Mills,2012,NA
0561,01,Goodridge,2012,NA
0577,01,Willow River,2012,NA
0578,01,Pine City,2012,NA
0581,01,Edgerton,2012,NA
0592,01,Climax-Shelly,2012,NA
0595,01,East Grand Forks,2012,NA
0599,01,Fertile-Beltrami,2012,NA
0600,01,Fisher,2012,NA
0601,01,Fosston,2012,NA
0630,01,Red Lake Falls,2012,NA
0600,01,Fisher,2012,NA
0635,01,Milroy,2012,NA
0640,01,Wabasso,2012,NA
0671,01,Hills-Beaver Creek,2012,NA
0676,01,Badger,2012,NA
0682,01,Roseau,2012,NA
0695,01,Chisholm,2012,NA
0696,01,Ely,2012,NA
0698,01,Floodwood,2012,NA
0700,01,Hermantown,2012,NA
0701,01,Hibbing,2012,NA
0704,01,Proctor,2012,NA
0706,01,Virginia,2012,NA
0707,01,Nett Lake,2012,NA
0712,01,Mountain Iron-Buhl,2012,NA
0716,01,Belle Plaine,2012,NA
0726,01,Becker,2012,NA
0738,01,Holdingford,2012,NA
0739,01,Kimball,2012,NA
0741,01,Paynesville,2012,NA
0743,01,Sauk Centre,2012,NA
0745,01,Albany,2012,NA
0748,01,Sartell-St. Stephen,2012,NA
0756,01,Blooming Prairie,2012,NA
0763,01,Medford,2012,NA
0768,01,Hancock,2012,NA
0771,01,Chokio-Alberta,2012,NA
0775,01,Kerkhoven-Murdock-Sunburg,2012,NA
0777,01,Benson,2012,NA
0786,01,Bertha-Hewitt,2012,NA
0787,01,Browerville,2012,NA
0801,01,Browns Valley,2012,NA
0803,01,Wheaton Area,2012,NA
0811,01,Wabasha-Kellogg,2012,NA
0813,01,Lake City,2012,NA
0815,02,Prinsburg,2012,NA
0818,01,Verndale,2012,NA
0820,01,Sebeka,2012,NA
0821,01,Menahga,2012,NA
0836,01,Butterfiled-Odin,2012,NA
0846,01,Breckenridge,2012,NA
0850,01,Rothsay,2012,NA
0852,01,Campbell-Tintah,2012,NA
0857,01,Lewiston-Altura,2012,NA
0876,01,Annandale,2012,NA
0879,01,Delano,2012,NA
0881,01,Maple Lake,2012,NA
0883,01,Rockford,2012,NA
0891,01,Canby,2012,NA
0912,01,Milaca,2012,NA
0914,01,Ulen-Hitterdal,2012,NA
2071,01,Lake Crystal-Wellcome Memorial,2012,NA
2125,01,Triton,2012,NA
2134,01,United South Central,2012,NA
2135,01,Maple River,2012,NA
2137,01,Kingsland,2012,NA
2143,01,Waterville-Elysian-Morristown,2012,NA
2144,01,Chisago Lakes,2012,NA
2149,01,Minnewaska,2012,NA
2154,01,Eveleth-Gilbert,2012,NA
2155,01,Wadena-Deer Creek,2012,NA
2159,01,Buffalo Lake-Hector-Stewart,2012,NA
2164,01,Dilworth-Glyndon-Felton,2012,NA
2165,01,Hinkcley-Finlayson,2012,NA
2167,01,Lakeview,2012,NA
2168,01,N.R.H.E.G.,2012,NA
2169,01,Murray County Central,2012,NA
2170,01,Staples-Motley,2012,NA
2171,01,Kittson Central,2012,NA
2172,01,Kenyon-Wanamingo,2012,NA
2174,01,Pine River-Backus,2012,NA
2176,01,Warren-Alvarado-Oslo,2012,NA
2180,01,M.A.C.C.R.A.Y,2012,NA
2184,01,Luverne,2012,NA
2190,01,Yellow Medicine East,2012,NA
2198,01,Fillmore Central,2012,NA
2215,01,Norman County East,2012,NA
2311,01,Clearbrook-Gonvick,2012,NA
2342,01,West Central Area,2012,NA
2358,01,Tri-County,2012,NA
2364,01,Belgrade-Brooten-Elrosa,2012,NA
2396,01,A.C.G.C.,2012,NA
2448,01,Martin County West,2012,NA
2527,01,Norman County West,2012,NA
2534,01,Bird Island-Olivia-Lake Lillian,2012,NA
2536,01,Granada-Huntley-East Chain,2012,NA
2580,01,East Central,2012,NA
2609,01,Win-E-Mac,2012,NA
2683,01,Greenbush-Middle River,2012,NA
2687,01,Howard Lake-Waverly-Winsted,2012,NA
2689,01,Pipestone Area,2012,NA
2711,01,Mesabi East,2012,NA
2754,01,Cedar Mountain,2012,NA
2759,01,Eagle Valley,2012,NA
2769,01,Morris Area,2012,NA
2805,01,Zumbrota-Mazeppa,2012,NA
2835,01,Janesville-Waldorf-Pemberton,2012,NA
2853,01,Lac qui Parle Valley,2012,NA
2854,01,Ada-Borup,2012,NA
2856,01,Stephen-Argyle Central,2012,NA
2860,01,Blue Earth Area,2012,NA
2884,01,Red Rock Central,2012,NA
2886,01,Glenville-Emmons,2012,NA
2888,01,Clinton-Graceville-Beardsley,2012,NA
2889,01,Lake Park-Audubon,2012,NA
2895,01,Jackson Coutny Central,2012,NA
2899,01,Plainview-Elgin-Millville,2012,NA
2902,01,Russell-Tyler-Ruthton,2012,NA
2903,01,Ortonville,2012,NA
2904,01,Tracy Area,2012,NA
2906,01,Red Lake County Central,2012,NA
2908,01,Brandon-Evansville,2012,NA
2907,01,Round Lake-Brewster,2012,NA
0162,01,Bagley,2012,NA
0031,01,Bemidji,2012,NA
0911,01,Cambrdige-Isanti,2012,NA
0115,01,Cass Lake-Bena,2012,NA
0094,01,Cloquet,2012,NA
0166,01,Cook County,2012,NA
0317,01,Deer River,2012,NA
0022,01,Detroit Lakes,2012,NA
0318,01,Grand Rapids,2012,NA
0424,01,Lester Prairie,2012,NA
0432,01,Mahnomen,2012,NA
0832,01,Mahtomedi,2012,NA
0480,01,Onamia,2012,NA
0038,01,Red Lake,2012,NA
2897,01,Redwood Area,2012,NA
0047,01,Sauk Rapids-Rice,2012,NA
0015,01,St. Francis,2012,NA
2142,01,St. Louis County,2012,NA
0885,01,St. Michael-Albertville,2012,NA
0690,01,Warroad,2012,NA
0435,01,Waubun-Ogema-White Earth,2012,NA
2898,01,Westbrook-Walnut Grove,2012,NA
0861,01,Winona Area,2012,NA
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2013,0.427821522309711
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2013,0.72972972972973
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2013,0.632478632478632
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2013,0.928571428571429
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2013,0.74468085106383
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2013,0.705882352941177
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2013,0.576923076923077
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2013,0.631578947368421
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2013,0.727272727272727
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2013,0.727272727272727
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2013,0.4
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2013,NA
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2013,0.52112676056338
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2013,0.833333333333333
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2013,0.72972972972973
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2013,0.844444444444444
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2013,0.689655172413793
0199,01,INVER GROVE HEIGHTS SCHOOLS,2013,0.608695652173913
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2013,0.7
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2013,0.525
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2013,0.685714285714286
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2013,0.736111111111111
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2013,0.653846153846154
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2013,0.928571428571429
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2013,0.823529411764706
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2013,0.572916666666667
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2013,0.5375
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2013,0.6
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2013,0.833333333333333
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2013,0.75
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2013,0.805555555555556
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2013,0.571428571428571
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2013,0.0923076923076923
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2013,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2013,0.230769230769231
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2013,0.430232558139535
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2013,0.583333333333333
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2013,NA
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2013,0.551020408163265
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2013,NA
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2013,0.605263157894737
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2013,0.573529411764706
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2013,0.833333333333333
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2013,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2013,NA
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2013,0.555555555555556
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2013,0.760869565217391
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,2013,0.75
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2013,0.696969696969697
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2013,0.857142857142857
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2013,0.658227848101266
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2013,0.659574468085106
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2013,0.742857142857143
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2013,0.857142857142857
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2013,NA
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2013,NA
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2013,0.63013698630137
0721,01,NEW PRAGUE AREA SCHOOLS,2013,NA
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2013,NA
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2013,0.88
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2013,0.857142857142857
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2013,0.483870967741935
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2013,NA
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2013,0.531914893617021
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2013,NA
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2013,0.529411764705882
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2013,0.792207792207792
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2013,0.8
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2013,0.705882352941177
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2013,0.837837837837838
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2013,NA
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2013,0.866666666666667
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2013,NA
0916,06,NORTHEAST METRO 916,2013,0.125
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2013,0.148936170212766
0991,83,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE,2013,NA
2310,01,SIBLEY EAST SCHOOL DISTRICT,2013,NA
2365,01,G.F.W. PUBLIC SCHOOL DISTRICT,2013,NA
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2013,0.666666666666667
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2013,NA
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DISTRICT,2013,0.590909090909091
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2013,NA
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2013,0.5
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2013,0.818181818181818
4000,07,CITY ACADEMY,2013,NA
4015,07,COMMUNITY OF PEACE ACADEMY,2013,0.846153846153846
4017,07,MINNESOTA TRANSITIONS CHARTER SCHOOL,2013,0.172413793103448
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2013,NA
4057,07,EL COLEGIO CHARTER SCHOOL,2013,0.0714285714285714
4082,07,BLUESKY CHARTER SCHOOL,2013,0.181818181818182
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2013,NA
4126,07,PRAIRIE SEEDS ACADEMY,2013,NA
4132,07,TWIN CITIES ACADEMY,2013,NA
4178,07,LINCOLN INTERNATIONAL SCHOOL,2013,0.291666666666667
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2013,0.307692307692308
6049,61,RIVER BEND EDUCATION DISTRICT,2013,0.333333333333333
0000,01,Minneapolis-St. Paul International Airport,2013,NA
0001,01,Aitkin,2013,NA
0002,01,Hill City,2013,NA
0004,01,McGregor,2013,NA
0023,01,Frazee-Vergas,2013,NA
0025,01,Pine Point,2013,NA
0032,01,Blackduck,2013,NA
0036,01,Kelliher,2013,NA
0051,01,Foley,2013,NA
0075,01,St. Clair,2013,NA
0081,01,Comfrey,2013,NA
0084,01,Sleepy Eye,2013,NA
0085,01,Springfield,2013,NA
0088,01,New Ulm,2013,NA
0091,01,Barnum,2013,NA
0093,01,Carlton,2013,NA
0095,01,Cromwell-Wright,2013,NA
0097,01,Moose Lake,2013,NA
0099,01,Esko,2013,NA
0100,01,Wrenshall,2013,NA
0108,01,Central,2013,NA
0111,01,Watertown-Mayer,2013,NA
0113,01,Walker-Hackensack-Akeley,2013,NA
0116,01,Pillager,2013,NA
0118,01,Northland Community,2013,NA
0129,01,Montevideo,2013,NA
0138,01,North Branch,2013,NA
0139,01,Rush City,2013,NA
0146,01,Barnesville,2013,NA
0150,01,Hawley,2013,NA
0173,01,Mountain Lake,2013,NA
0177,01,Windom,2013,NA
0182,01,Crosby-Ironton,2013,NA
0186,01,Pequot Lakes,2013,NA
0195,01,Randolph,2013,NA
0203,01,Hayfield,2013,NA
0204,01,Kasson-Mantorville,2013,NA
0206,01,Alexandria,2013,NA
0213,01,Osakis,2013,NA
0227,01,Chatfield,2013,NA
0229,01,Lanesboro,2013,NA
0238,01,Mabel-Canton,2013,NA
0239,01,Rushford-Peterson,2013,NA
0242,01,Alden-Conger,2013,NA
0252,01,Cannon Falls,2013,NA
0253,01,Goodhue,2013,NA
0255,01,Pine Island,2013,NA
0256,01,Red Wing,2013,NA
0261,01,Ashby,2013,NA
0264,01,Herman-Norcross,2013,NA
0323,02,Franconia,2013,NA
0277,01,Westonka,2013,NA
0278,01,Orono,2013,NA
0297,01,Spring Grove,2013,NA
0299,01,Caledonia,2013,NA
0300,01,La Crescent-Hokah,2013,NA
0306,01,Laporte,2013,NA
0308,01,Nevis,2013,NA
0309,01,Park Rapids,2013,NA
0314,01,Braham,2013,NA
0316,01,Greenway,2013,NA
0319,01,Nashwauk-Keewatin,2013,NA
0330,01,Heron Lake-Okabena,2013,NA
0332,01,Mora,2013,NA
0333,01,Ogilvie,2013,NA
0345,01,New London-Spicer,2013,NA
0356,01,Lancaster,2013,NA
0361,01,International Falls,2013,NA
0362,01,Littlefork-Big Falls,2013,NA
0363,01,South Koochingching,2013,NA
0378,01,Dawson-Boyd,2013,NA
0381,01,Lake Superior,2013,NA
0390,01,Lake of the Woods,2013,NA
0391,01,Cleveland,2013,NA
0402,01,Hendricks,2013,NA
0403,01,Ivanhoe,2013,NA
0404,01,Lake Benton,2013,NA
0414,01,Minneota,2013,NA
0415,01,Lynd,2013,NA
0423,01,Hutchinson,2013,NA
0441,01,Marshall County Central,2013,NA
0447,01,Grygla,2013,NA
0458,01,Truman,2013,NA
0463,01,Eden Valley-Watkins,2013,NA
0466,01,Dassel-Cokato,2013,NA
0473,01,Isle,2013,NA
