districtNumber,districtType,districtName,year,gradRate
0196,01,Rosemount-Apple Valley-Eagan,2012,90.49
0197,01,West St. Paul-Mendota Hts.-Eagan,2012,87.12
0199,01,Inver Grove Heights Schools,2012,85.6
0200,01,Hastings Public School District,2012,92.88
0203,01,Hayfield Public School District,2012,83.82
0204,01,Kasson-Mantorville School District,2012,95.86
0206,01,Alexandria Public School District,2012,92.47
0213,01,Osakis Public School District,2012,94.37
0227,01,Chatfield Public Schools,2012,94.03
0229,01,Lanesboro Public School District,2012,91.67
0238,01,Mabel-Canton Public School Dist.,2012,83.33
0239,01,Rushford-Peterson Public Schools,2012,100
0241,01,Albert Lea Public School District,2012,67.2
0242,01,Alden-Conger Public School District,2012,77.78
0252,01,Cannon Falls Public School District,2012,89.32
0253,01,Goodhue Public School District,2012,88.68
0255,01,Pine Island Public School Dist.,2012,95
0256,01,Red Wing Public School District,2012,86.18
0261,01,Ashby Public School District,2012,87.5
0270,01,Hopkins Public School District,2012,82.26
0271,01,Bloomington Public School District,2012,82.48
0272,01,Eden Prairie Public School District,2012,84.22
0273,01,Edina Public School District,2012,95.07
0276,01,Minnetonka Public School District,2012,96.1
0277,01,Westonka Public School District,2012,87.21
0278,01,Orono Public School District,2012,95.96
0279,01,Osseo Public School District,2012,82.19
0280,01,Richfield Public School District,2012,61.64
0281,01,Robbinsdale Public School District,2012,77.62
0282,01,St. Anthony-New Brighton Schools,2012,85.8
0283,01,St. Louis Park Public School Dist.,2012,84.19
0284,01,Wayzata Public School District,2012,88.5
0286,01,Brooklyn Center School District,2012,51.69
0287,06,Intermediate School District 287,2012,6.77
0288,06,Southwest Metro Intermediate 288,2012,NA
0294,01,Houston Public School District,2012,51.28
0297,01,Spring Grove School District,2012,96
0299,01,Caledonia Public School District,2012,94.74
0300,01,La Crescent-Hokah School District,2012,91.2
0306,01,Laporte Public School District,2012,80.95
0308,01,Nevis Public School District,2012,76.19
0309,01,Park Rapids Public School District,2012,73.77
0314,01,Braham Public School District,2012,90
0316,01,Greenway Public School District,2012,88.41
0317,01,Deer River Public School District,2012,86.21
0318,01,Grand Rapids Public School District,2012,82.62
0319,01,Nashwauk-Keewatin School District,2012,77.55
0330,01,Heron Lake-Okabena School District,2012,100
0332,01,Mora Public School District,2012,85.83
0333,01,Ogilvie Public School District,2012,88.33
0345,01,New London-Spicer School District,2012,90.16
0347,01,Willmar Public School District,2012,67.96
0356,01,Lancaster Public School District,2012,100
0361,01,International Falls School District,2012,81.82
0362,01,Littlefork-Big Falls School Dist.,2012,92
0363,01,South Koochiching School District,2012,81.82
0378,01,Dawson-Boyd Public School District,2012,89.47
0381,01,Lake Superior Public School Dist.,2012,84.21
0390,01,Lake Of The Woods School District,2012,92.59
0391,01,Cleveland Public School District,2012,100
0413,01,Marshall Public School District,2012,83.16
0414,01,Minneota Public School District,2012,97.44
0423,01,Hutchinson Public School District,2012,86.76
0424,01,Lester Prairie Public School Dist.,2012,87.88
0432,01,Mahnomen Public School District,2012,44.74
0435,01,Waubun-Ogema-White Earth Public Sch,2012,54.9
0441,01,Marshall County Central Schools,2012,96.3
0447,01,Grygla Public School District,2012,100
0458,01,Truman Public School District,2012,64.71
0463,01,Eden Valley-Watkins School District,2012,96.43
0465,01,Litchfield Public School District,2012,88.89
0466,01,Dassel-Cokato Public School Dist.,2012,89.41
0473,01,Isle Public School District,2012,64.58
0477,01,Princeton Public School District,2012,91.63
0480,01,Onamia Public School District,2012,66
0482,01,Little Falls Public School District,2012,86.84
0484,01,Pierz Public School District,2012,89.66
0485,01,Royalton Public School District,2012,91.67
0486,01,Swanville Public School District,2012,70.45
0487,01,Upsala Public School District,2012,100
0492,01,Austin Public School District,2012,75.89
0495,01,Grand Meadow Public School District,2012,84
0497,01,Lyle Public School District,2012,73.33
0499,01,Leroy-Ostrander Public Schools,2012,80
0500,01,Southland Public School District,2012,98.46
0505,01,Fulda Public School District,2012,93.48
0507,01,Nicollet Public School District,2012,88.46
0508,01,St. Peter Public School District,2012,89.6
0511,01,Adrian Public School District,2012,100
0514,01,Ellsworth Public School District,2012,94.74
0518,01,Worthington Public School District,2012,73.02
0531,01,Byron Public School District,2012,92.19
0533,01,Dover-Eyota Public School District,2012,91.94
0534,01,Stewartville Public School District,2012,88.03
0535,01,Rochester Public School District,2012,82.96
0542,01,Battle Lake Public School District,2012,97.44
0544,01,Fergus Falls Public School District,2012,64.16
0545,01,Henning Public School District,2012,96.43
0547,01,Parkers Prairie Public School Dist.,2012,100
0548,01,Pelican Rapids Public School Dist.,2012,91.67
0549,01,Perham-Dent Public School District,2012,81.25
0550,01,Underwood Public School District,2012,89.66
0553,01,New York Mills Public School Dist.,2012,88.37
0561,01,Goodridge Public School District,2012,94.12
0564,01,Thief River Falls School District,2012,87.91
0577,01,Willow River Public School District,2012,81.25
0578,01,Pine City Public School District,2012,86.47
0581,01,Edgerton Public School District,2012,85.71
0592,01,Climax-Shelly Public Schools,2012,91.67
0593,01,Crookston Public School District,2012,80.58
0595,01,East Grand Forks Public School Dist,2012,85.82
0599,01,Fertile-Beltrami School District,2012,95
0600,01,Fisher Public School District,2012,95.24
0601,01,Fosston Public School District,2012,94.44
0621,01,Mounds View Public School District,2012,88.71
0622,01,North St Paul-Maplewood Oakdale Public School District,2012,80.04
0623,01,Roseville Public School District,2012,79.21
0624,01,White Bear Lake School District,2012,92.3
0625,01,St. Paul Public School District,2012,68.02
0630,01,Red Lake Falls Public School Dist.,2012,78.13
0640,01,Wabasso Public School District,2012,86.05
0656,01,Faribault Public School District,2012,74.75
0659,01,Northfield Public School District,2012,91.69
0671,01,Hills-Beaver Creek School District,2012,93.55
