Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian or Alaska Native Count,Total American Indian or Alaska Native Percent,American Indian or Alaska Native Female Count,American Indian or Alaska Native Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced-Priced Meals Count,Total Students Eligible for Free or Reduced-Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English learner Identified Count,Total English learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced-Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English learner Identified Applied,Additional Suppression Homeless Applied
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,9,102,N,44,43.14%,58,56.86%,3,2.94%,3,0,1,0.98%,0,1,0,0.00%,0,0,1,0.98%,1,0,2,1.96%,2,0,91,89.22%,38,53,4,3.92%,0,4,11,10.78%,40,39.22%,14,13.73%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,10,109,N,48,44.04%,61,55.96%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,0.92%,0,1,108,99.08%,48,60,0,0.00%,0,0,1,0.92%,42,38.53%,17,15.60%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,11,95,N,48,50.53%,47,49.47%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.05%,0,1,1,1.05%,1,0,91,95.79%,46,45,2,2.11%,1,1,4,4.21%,39,41.05%,7,7.37%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,12,106,N,58,54.72%,48,45.28%,1,0.94%,1,0,0,0.00%,0,0,0,0.00%,0,0,1,0.94%,1,0,1,0.94%,1,0,102,96.23%,55,47,1,0.94%,0,1,4,3.77%,37,34.91%,19,17.92%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,All Grades,1251,N,598,47.80%,653,52.20%,10,0.80%,6,4,3,0.24%,1,2,0,0.00%,0,0,13,1.04%,5,8,18,1.44%,11,7,1173,93.76%,559,614,34,2.72%,16,18,78,6.24%,548,43.80%,183,14.63%,0,0.00%,0,0.00%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,ECSE,910,N,308,33.85%,602,66.15%,17,1.87%,7,10,39,4.29%,9,30,0,0.00%,0,0,192,21.10%,65,127,271,29.78%,98,173,366,40.22%,120,246,25,2.75%,9,16,544,59.78%,590,64.84%,,>=90%,288,31.65%,29,3.19%,N,Y,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,KG,3358,N,1650,49.14%,1708,50.86%,125,3.72%,58,67,171,5.09%,85,86,3,0.09%,0,3,653,19.45%,307,346,1121,33.38%,564,557,1195,35.59%,601,594,90,2.68%,35,55,2163,64.41%,2139,63.70%,307,9.14%,845,25.16%,235,7.00%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,1,3389,N,1708,50.40%,1681,49.60%,125,3.69%,72,53,202,5.96%,101,101,9,0.27%,4,5,643,18.97%,301,342,1155,34.08%,585,570,1173,34.61%,609,564,82,2.42%,36,46,2216,65.39%,2183,64.41%,378,11.15%,986,29.09%,233,6.88%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,2,3205,N,1535,47.89%,1670,52.11%,125,3.90%,57,68,177,5.52%,93,84,4,0.12%,0,4,620,19.34%,304,316,1064,33.20%,470,594,1135,35.41%,570,565,80,2.50%,41,39,2070,64.59%,2105,65.68%,350,10.92%,991,30.92%,213,6.65%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,3,3099,N,1538,49.63%,1561,50.37%,119,3.84%,70,49,173,5.58%,92,81,6,0.19%,5,1,647,20.88%,317,330,1043,33.66%,494,549,1055,34.04%,528,527,56,1.81%,32,24,2044,65.96%,1985,64.05%,453,14.62%,947,30.56%,194,6.26%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,4,3027,N,1458,48.17%,1569,51.83%,136,4.49%,66,70,181,5.98%,100,81,4,0.13%,2,2,592,19.56%,274,318,1107,36.57%,511,596,972,32.11%,482,490,35,1.16%,23,12,2055,67.89%,1947,64.32%,491,16.22%,839,27.72%,175,5.78%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,5,2622,N,1281,48.86%,1341,51.14%,130,4.96%,70,60,161,6.14%,78,83,0,0.00%,0,0,489,18.65%,252,237,903,34.44%,427,476,922,35.16%,447,475,17,0.65%,7,10,1700,64.84%,1644,62.70%,423,16.13%,630,24.03%,135,5.15%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,6,2392,N,1187,49.62%,1205,50.38%,108,4.52%,63,45,159,6.65%,86,73,1,0.04%,0,1,456,19.06%,225,231,907,37.92%,412,495,751,31.40%,398,353,10,0.42%,3,7,1641,68.60%,1596,66.72%,471,19.69%,539,22.53%,138,5.77%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,7,2489,N,1227,49.30%,1262,50.70%,121,4.86%,61,60,161,6.47%,82,79,2,0.08%,1,1,464,18.64%,227,237,983,39.49%,482,501,749,30.09%,371,378,9,0.36%,3,6,1740,69.91%,1638,65.81%,473,19.00%,578,23.22%,136,5.46%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,8,2408,N,1185,49.21%,1223,50.79%,114,4.73%,60,54,190,7.89%,99,91,2,0.08%,0,2,442,18.36%,207,235,905,37.58%,439,466,749,31.10%,375,374,6,0.25%,5,1,1659,68.90%,1562,64.87%,428,17.77%,523,21.72%,108,4.49%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,9,2333,N,1119,47.96%,1214,52.04%,101,4.33%,53,48,194,8.32%,99,95,2,0.09%,1,1,404,17.32%,188,216,908,38.92%,444,464,707,30.30%,326,381,17,0.73%,8,9,1626,69.70%,1553,66.57%,457,19.59%,523,22.42%,110,4.71%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,10,2300,N,1163,50.57%,1137,49.43%,100,4.35%,49,51,201,8.74%,107,94,0,0.00%,0,0,380,16.52%,169,211,892,38.78%,467,425,716,31.13%,364,352,11,0.48%,7,4,1584,68.87%,1532,66.61%,430,18.70%,449,19.52%,119,5.17%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,11,2151,N,1058,49.19%,1093,50.81%,72,3.35%,30,42,212,9.86%,100,112,2,0.09%,1,1,352,16.36%,157,195,816,37.94%,419,397,686,31.89%,344,342,11,0.51%,7,4,1465,68.11%,1378,64.06%,390,18.13%,343,15.95%,83,3.86%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,12,2600,N,1232,47.38%,1368,52.62%,89,3.42%,47,42,279,10.73%,137,142,2,0.08%,1,1,418,16.08%,205,213,1070,41.15%,508,562,732,28.15%,332,400,10,0.38%,2,8,1868,71.85%,1674,64.38%,627,24.12%,439,16.88%,94,3.62%,N,N,N,N
13-14,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,no data,11,11,no data,All Grades,36283,N,17649,48.64%,18634,51.36%,1482,4.08%,763,719,2500,6.89%,1268,1232,37,0.10%,15,22,6752,18.61%,3198,3554,13145,36.23%,6320,6825,11908,32.82%,5867,6041,459,1.27%,218,241,24375,67.18%,23526,64.84%,6588,18.16%,8920,24.58%,2002,5.52%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,ECSE,14,N,4,28.57%,10,71.43%,0,0.00%,0,0,0,0.00%,0,0,1,7.14%,0,1,0,0.00%,0,0,0,0.00%,0,0,12,85.71%,3,9,1,7.14%,1,0,2,14.29%,7,50.00%,,>=90%,0,0.00%,0,0.00%,N,Y,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,KG,20,N,11,55.00%,9,45.00%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,5.00%,1,0,0,0.00%,0,0,18,90.00%,9,9,1,5.00%,1,0,2,10.00%,13,65.00%,7,35.00%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,1,23,N,9,39.13%,14,60.87%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,4.35%,1,0,0,0.00%,0,0,22,95.65%,8,14,0,0.00%,0,0,1,4.35%,18,78.26%,5,21.74%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,2,18,N,6,33.33%,12,66.67%,1,5.56%,0,1,0,0.00%,0,0,0,0.00%,0,0,1,5.56%,0,1,0,0.00%,0,0,16,88.89%,6,10,0,0.00%,0,0,2,11.11%,12,66.67%,1,5.56%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,3,27,N,10,37.04%,17,62.96%,1,3.70%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,24,88.89%,9,15,2,7.41%,0,2,3,11.11%,18,66.67%,5,18.52%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,4,32,N,19,59.38%,13,40.63%,1,3.13%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,30,93.75%,17,13,1,3.13%,1,0,2,6.25%,21,65.63%,2,6.25%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,5,17,N,7,41.18%,10,58.82%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,17,100.00%,7,10,0,0.00%,0,0,0,0.00%,12,70.59%,3,17.65%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,6,19,N,10,52.63%,9,47.37%,2,10.53%,0,2,0,0.00%,0,0,0,0.00%,0,0,1,5.26%,0,1,0,0.00%,0,0,16,84.21%,10,6,0,0.00%,0,0,3,15.79%,13,68.42%,5,26.32%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,7,21,N,13,61.90%,8,38.10%,2,9.52%,2,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,19,90.48%,11,8,0,0.00%,0,0,2,9.52%,16,76.19%,2,9.52%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,8,16,N,5,31.25%,11,68.75%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,6.25%,1,0,0,0.00%,0,0,15,93.75%,4,11,0,0.00%,0,0,1,6.25%,8,50.00%,5,31.25%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,9,18,N,7,38.89%,11,61.11%,1,5.56%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,17,94.44%,7,10,0,0.00%,0,0,1,5.56%,11,61.11%,1,5.56%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,10,17,N,10,58.82%,7,41.18%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,17,100.00%,10,7,0,0.00%,0,0,0,0.00%,7,41.18%,1,5.88%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,11,36,N,20,55.56%,16,44.44%,1,2.78%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,35,97.22%,19,16,0,0.00%,0,0,1,2.78%,16,44.44%,8,22.22%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,12,17,N,8,47.06%,9,52.94%,1,5.88%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,16,94.12%,8,8,0,0.00%,0,0,1,5.88%,10,58.82%,3,17.65%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,All Grades,295,N,139,47.12%,156,52.88%,10,3.39%,5,5,0,0.00%,0,0,1,0.34%,0,1,5,1.69%,3,2,0,0.00%,0,0,274,92.88%,128,146,5,1.69%,3,2,21,7.12%,182,61.69%,62,21.02%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,ECSE,15,N,7,46.67%,8,53.33%,7,46.67%,5,2,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,8,53.33%,2,6,0,0.00%,0,0,7,46.67%,6,40.00%,,>=90%,0,0.00%,0,0.00%,N,Y,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,KG,31,N,16,51.61%,15,48.39%,10,32.26%,6,4,1,3.23%,1,0,0,0.00%,0,0,0,0.00%,0,0,1,3.23%,0,1,18,58.06%,8,10,1,3.23%,1,0,13,41.94%,,>=90%,7,22.58%,0,0.00%,0,0.00%,Y,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,1,40,N,17,42.50%,23,57.50%,8,20.00%,2,6,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,32,80.00%,15,17,0,0.00%,0,0,8,20.00%,23,57.50%,5,12.50%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,2,30,N,14,46.67%,16,53.33%,6,20.00%,4,2,0,0.00%,0,0,0,0.00%,0,0,1,3.33%,0,1,0,0.00%,0,0,23,76.67%,10,13,0,0.00%,0,0,7,23.33%,24,80.00%,5,16.67%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,3,27,N,12,44.44%,15,55.56%,6,22.22%,1,5,1,3.70%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,19,70.37%,10,9,1,3.70%,0,1,8,29.63%,20,74.07%,2,7.41%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,4,32,N,22,68.75%,10,31.25%,6,18.75%,3,3,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,25,78.13%,18,7,1,3.13%,1,0,7,21.88%,26,81.25%,1,3.13%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,5,38,N,18,47.37%,20,52.63%,4,10.53%,2,2,0,0.00%,0,0,0,0.00%,0,0,1,2.63%,1,0,1,2.63%,0,1,32,84.21%,15,17,0,0.00%,0,0,6,15.79%,29,76.32%,7,18.42%,0,0.00%,2,5.26%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,6,35,N,14,40.00%,21,60.00%,9,25.71%,3,6,0,0.00%,0,0,0,0.00%,0,0,1,2.86%,1,0,0,0.00%,0,0,25,71.43%,10,15,0,0.00%,0,0,10,28.57%,28,80.00%,8,22.86%,0,0.00%,1,2.86%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,7,20,N,12,60.00%,8,40.00%,3,15.00%,1,2,0,0.00%,0,0,0,0.00%,0,0,1,5.00%,1,0,1,5.00%,0,1,15,75.00%,10,5,0,0.00%,0,0,5,25.00%,,>=90%,3,15.00%,0,0.00%,1,5.00%,Y,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,8,24,N,9,37.50%,15,62.50%,5,20.83%,3,2,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,19,79.17%,6,13,0,0.00%,0,0,5,20.83%,14,58.33%,2,8.33%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,9,37,N,15,40.54%,22,59.46%,6,16.22%,2,4,0,0.00%,0,0,0,0.00%,0,0,1,2.70%,0,1,0,0.00%,0,0,30,81.08%,13,17,0,0.00%,0,0,7,18.92%,22,59.46%,6,16.22%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,10,26,N,15,57.69%,11,42.31%,4,15.38%,3,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,3.85%,0,1,21,80.77%,12,9,0,0.00%,0,0,5,19.23%,20,76.92%,5,19.23%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,11,25,N,13,52.00%,12,48.00%,4,16.00%,2,2,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,21,84.00%,11,10,0,0.00%,0,0,4,16.00%,14,56.00%,2,8.00%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,12,29,N,17,58.62%,12,41.38%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,29,100.00%,17,12,0,0.00%,0,0,0,0.00%,17,58.62%,3,10.34%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,All Grades,409,N,201,49.14%,208,50.86%,78,19.07%,37,41,2,0.49%,2,0,0,0.00%,0,0,5,1.22%,3,2,4,0.98%,0,4,317,77.51%,157,160,3,0.73%,2,1,92,22.49%,289,70.66%,71,17.36%,0,0.00%,4,0.98%,N,N,N,N
13-14,19,Dakota,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,000,no data,11,11,no data,ECSE,78,N,33,42.31%,45,57.69%,0,0.00%,0,0,1,1.28%,0,1,0,0.00%,0,0,14,17.95%,5,9,14,17.95%,9,5,46,58.97%,19,27,3,3.85%,0,3,32,41.03%,36,46.15%,,>=90%,0,0.00%,4,5.13%,N,Y,N,N
13-14,19,Dakota,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,000,no data,11,11,no data,KG,276,N,144,52.17%,132,47.83%,0,0.00%,0,0,5,1.81%,2,3,0,0.00%,0,0,79,28.62%,36,43,17,6.16%,10,7,149,53.99%,84,65,26,9.42%,12,14,127,46.01%,135,48.91%,28,10.14%,43,15.58%,1,0.36%,N,N,N,N
13-14,19,Dakota,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,000,no data,11,11,no data,1,292,N,134,45.89%,158,54.11%,0,0.00%,0,0,3,1.03%,1,2,0,0.00%,0,0,76,26.03%,39,37,23,7.88%,11,12,168,57.53%,76,92,22,7.53%,7,15,124,42.47%,157,53.77%,54,18.49%,38,13.01%,1,0.34%,N,N,N,N
13-14,19,Dakota,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,000,no data,11,11,no data,2,272,N,129,47.43%,143,52.57%,2,0.74%,2,0,3,1.10%,1,2,0,0.00%,0,0,75,27.57%,36,39,9,3.31%,6,3,158,58.09%,71,87,25,9.19%,13,12,114,41.91%,145,53.31%,32,11.76%,37,13.60%,2,0.74%,N,N,N,N
