districtNumber,districtType,districtName,year,percentIdentified
0362,01,LITTLEFORK-BIG FALLS SCHOOL DISTRICT,2019,0
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2019,NA
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2019,NA
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DISTRICT,2019,0
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2019,NA
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2019,NA
0397,52,LAKE AGASSIZ EDUCATION COOPERATIVE,2019,NA
0398,52,MIDWEST SPECIAL EDUCATION COOPERATIVE,2019,0
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2019,NA
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2019,NA
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2019,NA
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2019,0.152380952380952
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2019,NA
0415,01,LYND PUBLIC SCHOOL DISTRICT,2019,NA
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2019,0.0370244565217391
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DISTRICT,2019,NA
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2019,0
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCHOOLS,2019,NA
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2019,NA
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2019,NA
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2019,NA
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2019,0.00720906282183316
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2019,0.023447401774398
0466,01,DASSEL-COKATO PUBLIC SCHOOL DISTRICT,2019,0.008
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2019,NA
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2019,0.00492325514045757
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2019,0
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2019,0.0244479495268139
0484,01,PERZ PUBLIC SCHOOL DISTRICT,2019,0.00753138075313808
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2019,NA
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2019,NA
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2019,0
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2019,0.186850557339883
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2019,NA
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2019,NA
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2019,NA
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2019,0.0261780104712042
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2019,NA
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2019,NA
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2019,0.0868210151380231
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2019,NA
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2019,NA
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2019,0.282786885245902
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2019,0.00851466414380322
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2019,NA
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2019,0.00521821631878558
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2019,0.104301970580072
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2019,0.00233644859813084
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2019,0.0124567474048443
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2019,NA
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DISTRICT,2019,0
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DISTRICT,2019,NA
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2019,0.0445317616240995
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2019,NA
0553,01,NEW YORK MILLS PUBLIC SCHOOL DISTRICT,2019,0
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2019,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2019,0.0103960396039604
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2019,NA
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2019,0.00376411543287327
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2019,0.0819672131147541
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2019,NA
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2019,0.0394626364399664
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DISTRICT,2019,0.0854961832061069
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2019,0
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2019,NA
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2019,0.00162866449511401
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2019,0.0536923977586351
0622,01,NORTH ST. PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,2019,0.122871946706144
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2019,0.14800783801437
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2019,0.0364559819413093
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2019,0.297034265885925
0630,01,RED LAKE FALLS PUBLIC SCHOOL DISTRICT,2019,NA
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2019,NA
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2019,NA
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2019,0.228368017524644
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2019,0.0619621342512909
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2019,NA
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2019,NA
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2019,0.00338123415046492
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2019,0.029940119760479
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2019,NA
0696,01,ELY PUBLIC SCHOOL DISTRICT,2019,NA
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2019,NA
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2019,0.004739336492891
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2019,0.00166181969256336
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2019,0.000554323725055432
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2019,0.00169971671388102
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2019,NA
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2019,0.00631748219618654
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2019,0
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2019,0.0129071911493546
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2019,0.0393081761006289
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2019,0.0286642033366924
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2019,0.117081379973555
0721,01,NEW PRAGUE AREA SCHOOLS,2019,0.0058465855940131
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2019,0.0101971447994562
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2019,0.0176701570680628
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2019,0.0209217264081931
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2019,0.00281954887218045
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2019,NA
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2019,0.148009015777611
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2019,0.00754310344827586
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2019,0.239603575592693
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2019,0.0446265938069217
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2019,0.00735294117647059
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2019,0.0103092783505155
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2019,0.0585480093676815
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DISTRICT,2019,0.0118577075098814
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2019,0.0836606441476826
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2019,0.0280583613916947
