districtNumber,districtType,districtName,year,percentIdentified
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2017,0
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2017,0.00879648140743703
0484,01,PERZ PUBLIC SCHOOL DISTRICT,2017,0.00582362728785358
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2017,0
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2017,NA
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2017,0
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2017,0.156976744186047
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2017,NA
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2017,NA
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2017,NA
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2017,0.0244444444444444
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2017,NA
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2017,0.00260416666666667
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2017,0.0728041333959605
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2017,NA
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2017,NA
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2017,0.313796212804328
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2017,0.00543478260869565
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2017,NA
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2017,0.00914340712223292
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2017,0.109577271165082
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2017,0
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2017,0.00795660036166365
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2017,NA
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DISTRICT,2017,0
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DISTRICT,2017,0.194413407821229
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2017,0.033130493576741
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2017,NA
0553,01,NEW YORK MILLS PUBLIC SCHOOL DISTRICT,2017,NA
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2017,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2017,0.0137322216772928
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2017,NA
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2017,0.00301568154402895
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2017,NA
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2017,0
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2017,0.0635424940428912
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DISTRICT,2017,0.0584795321637427
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2017,NA
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2017,NA
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2017,NA
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2017,0.047680858428522
0622,01,NORTH ST. PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,2017,0.105813069908815
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2017,0.151483602290474
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2017,0.0347754332193799
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2017,0.340986257073565
0630,01,RED LAKE FALLS PUBLIC SCHOOL DISTRICT,2017,0
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2017,NA
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2017,NA
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2017,0.218215319821006
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2017,0.066583850931677
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2017,NA
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2017,NA
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2017,0.00255972696245734
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2017,0.0342801175318315
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2017,NA
0696,01,ELY PUBLIC SCHOOL DISTRICT,2017,NA
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2017,NA
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2017,0.00560485754320411
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2017,0.0016359918200409
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2017,0.00162074554294976
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2017,0.00120264582080577
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2017,NA
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2017,0.00585000585000585
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2017,NA
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2017,0.00845921450151057
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2017,0.037548315847598
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2017,0.0274183976261128
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2017,0.119701348747592
0721,01,NEW PRAGUE AREA SCHOOLS,2017,0.00529355149181906
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2017,0.00902777777777778
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2017,0.0166453265044814
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2017,0.0232997957485438
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2017,0.00367309458218549
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2017,NA
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2017,0.144613159797542
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2017,0.00842105263157895
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2017,0.22832075086717
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2017,0.0372492836676218
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2017,0.00924321201617562
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2017,0.00993630573248408
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2017,0.0587951807228916
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DISTRICT,2017,0.00809716599190283
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2017,0.100281350482315
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2017,0.046927374301676
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2017,NA
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DISTRICT,2017,NA
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2017,NA
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2017,NA
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DISTRICT,2017,0.00225225225225225
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2017,NA
0801,01,BROWNS VALLEY PUBLIC SCHOOL DISTRICT,2017,NA
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2017,NA
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DISTRICT,2017,NA
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2017,0.0232185748598879
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2017,NA
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2017,NA
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2017,NA
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2017,0.0350601779173208
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2017,0.0150517403574788
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2017,0.0144526445264453
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DISTRICT,2017,0.0619663856521506
0834,01,STILLWATER AREA PUBLIC SCHOOL DISTRICT,2017,0.0224961110446332
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2017,NA
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2017,0.1875
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2017,0.112488083889418
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2017,NA
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2017,0
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DISTRICT,2017,NA
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DISTRICT,2017,0.00668449197860963
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2017,0.0390946502057613
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2017,0.0317613089509143
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2017,0.00978260869565217
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOLS,2017,0.00923708518645227
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2017,0.00554455445544554
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2017,0
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2017,0.0305324865657059
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2017,0.0388856645385955
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,2017,0.0162265351574928
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2017,0.00186915887850467
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,2017,0.0116164599330577
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2017,0.00108108108108108
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DISTRICT,2017,NA
0915,52,SOUTHERN PLAINS EDUCATION COOPERATIVE,2017,NA
0916,06,NORTHEAST METRO 916,2017,NA
0916,06,NORTHEAST METRO 917,2017,NA
0916,06,NORTHEAST METRO 918,2017,NA
0916,06,NORTHEAST METRO 919,2017,NA
0916,06,NORTHEAST METRO 920,2017,NA
0916,06,NORTHEAST METRO 921,2017,NA
0916,06,NORTHEAST METRO 922,2017,NA
0916,06,NORTHEAST METRO 923,2017,NA
0916,06,NORTHEAST METRO 924,2017,NA
0916,06,NORTHEAST METRO 925,2017,NA
0916,06,NORTHEAST METRO 926,2017,NA
0916,06,NORTHEAST METRO 927,2017,NA
0916,06,NORTHEAST METRO 928,2017,NA
0916,06,NORTHEAST METRO 929,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 918,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 919,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 920,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 921,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 922,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 923,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 924,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 925,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 926,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 927,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 928,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 929,2017,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 930,2017,NA
0926,83,REGION 4-LAKES COUNTRY SERVICE COOPERATIVE,2017,NA
0935,52,FERGUS FALLS AREA SPECIAL EDUCATION COOPERATIVE,2017,NA
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2017,NA
0966,51,WRIGHT TECHNICAL CENTER,2017,NA
0991,83,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE,2017,NA
0998,52,BEMIDJI REGIONAL INTERDISTRICT COUNCIL,2017,0
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2017,0
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2017,NA
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2017,0
2125,01,TRITON SCHOOL DISTRICT,2017,0.05231037489102
2134,01,UNITED SOUTH CENTRAL SCHOOL DISTRICT,2017,0.0223463687150838
2135,01,MAPLE RIVER SCHOOL DISTRICT,2017,0
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2017,0
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2017,NA
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN PUBLIC SCHOOL DISTRICT,2017,0.0113924050632911
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2017,0.00588928150765607
2149,01,MINNEWASKA SCHOOL DISTRICT,2017,0.00321285140562249
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2017,0
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2017,0
2159,01,BUFFALO LAKE-HECTOR-STEWART PUBLIC SCHOOLS,2017,0.0575139146567718
2164,01,DILWORTH-GLYNDON-FELTON,2017,0.0210970464135021
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2017,0.0104602510460251
2167,01,LAKEVIEW SCHOOL DISTRICT,2017,0.0106544901065449
2168,01,NRHEG SCHOOL DISTRICT,2017,0
2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,2017,0.00683994528043776
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2017,0
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2017,NA
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2017,0.0311377245508982
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2017,0.00313152400835073
2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,2017,NA
2180,01,MACCRAY SCHOOL DISTRICT,2017,0.00431034482758621
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2017,0.0313234142521535
2190,01,YELLOW MEDICINE EAST,2017,0.021505376344086
2198,01,FILLMORE CENTRAL,2017,NA
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2017,NA
2310,01,SIBLEY EAST SCHOOL DISTRICT,2017,NA
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2017,0
2342,01,WEST CENTRAL AREA,2017,NA
2358,01,TRI-COUNTY SCHOOL DISTRICT,2017,NA
2364,01,BELGRADE-BROOTEN-ELROSA PUBLIC SCHOOL DISTRICT,2017,0.0421216848673947
2365,01,G.F.W. PUBLIC SCHOOL DISTRICT,2017,0.0691994572591588
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2017,0.02460024600246
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2017,0.0475266731328807
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2017,NA
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2017,NA
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN PUBLIC SCHOOL DISTRICT,2017,0.056547619047619
2536,01,GRANADA HUNTLEY EAST CHAIN,2017,NA
2580,01,EAST CENTRAL SCHOOL DISTRICT,2017,NA
2609,01,WIN-E-MAC SCHOOL DISTRICT,2017,NA
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT,2017,NA
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2017,0.0103537532355479
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2017,0.0901856763925729
2711,01,MESABI EAST SCHOOL DISTRICT,2017,NA
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2017,0.0430984274898078
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DISTRICT,2017,NA
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2017,0
2769,01,MORRIS AREA PUBLIC SCHOOLS,2017,NA
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2017,0.00827814569536424
2835,01,JANESVILLE-WALDORF-PEMBERTON,2017,0
2853,01,LAC QUI PARLE VALLEY SCHOOL DISTRICT,2017,0.0559254327563249
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2017,0.00720720720720721
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2017,NA
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2017,0.0559006211180124
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2017,0.0235807860262009
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2017,NA
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2017,NA
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2017,NA
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2017,0.00144300144300144
2890,01,RENVILLE COUNTY WEST SCHOOL DISTRICT,2017,NA
2895,01,JACKSON COUNTY CENTRAL SCHOOL DISTRICT,2017,0.00512382578992314
2897,01,REDWOOD AREA SCHOOL DISTRICT,2017,0.00620017714791851
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2017,0.1525
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2017,0.0167672702883971
2902,01,RTR PUBLIC SCHOOLS,2017,NA
2903,01,ORTONVILLE PUBLIC SCHOOLS,2017,0
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2017,0.0754226267880364
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2017,0.0678314491264132
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCHOOLS,2017,NA
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2017,NA
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2017,0
4000,07,CITY ACADEMY,2017,NA
4001,07,BLUFFVIEW MONTESSORI,2017,0.01
4003,07,"NEW HEIGHTS SCHOOL, INC.",2017,NA
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2017,NA
4005,07,METRO DEAF SCHOOL,2017,NA
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2017,NA
4008,07,PACT CHARTER SCHOOL,2017,0.00154798761609907
4011,07,ATHLOS LEADERSHIP ACADEMY,2017,0.102422907488987
4015,07,COMMUNITY OF PEACE ACADEMY,2017,NA
4016,07,WORLD LEARNER CHARTER SCHOOL,2017,0.00961538461538462
4017,07,MINNESOTA TRANSITIONS CHARTER SCHOOL,2017,0.132851035843473
4018,07,ACHIEVE LANGUAGE ACADEMY,2017,0.536105032822757
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2017,0.00421348314606742
4025,07,CYBER VILLAGE ACADEMY,2017,NA
4026,07,E.C.H.O. CHARTER SCHOOL,2017,NA
4027,07,HIGHER GROUND ACADEMY,2017,0.0617608409986859
4029,07,ST. PAUL CITY SCHOOL,2017,NA
4031,07,JENNINGS COMMUNITY SCHOOL,2017,NA
4035,07,LIFE PREP,2017,0.189102564102564
4036,07,FACE TO FACE ACADEMY,2017,NA
4038,07,SOJOURNER TRUTH ACADEMY,2017,0.167553191489362
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2017,0
4043,07,MATH AND SCIENCE ACADEMY,2017,0.0078740157480315
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2017,0
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2017,NA
4053,07,NORTH LAKES ACADEMY,2017,0.0126262626262626
4054,07,LA CRESCENT MONTESSORI AND STEM SCHOOL,2017,NA
4055,07,NERSTRAND CHARTER SCHOOL,2017,0
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2017,NA
4057,07,EL COLEGIO CHARTER SCHOOL,2017,0.452380952380952
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHARTER,2017,0
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2017,NA
4064,07,RIVERWAY LEARNING COMMUNITY CHARTER,2017,NA
4066,07,KATO PUBLIC CHARTER SCHOOL,2017,NA
4067,07,AURORA CHARTER SCHOOL,2017,NA
4068,07,EXCELL ACADEMY CHARTER,2017,0.238916256157635
4070,07,HOPE COMMUNITY ACADEMY,2017,0.534246575342466
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCHOOL,2017,NA
4074,07,AFSA HIGH SCHOOL,2017,0
4075,07,AVALON SCHOOL,2017,0
4078,07,TWIN CITIES INTERNATIONAL SCHOOLS,2017,0.306997742663657
4079,07,FRIENDSHIP ACADEMY OF FINE ARTS CHARTER,2017,0
4080,07,PILLAGER AREA CHARTER SCHOOL,2017,NA
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2017,NA
4082,07,BLUESKY CHARTER SCHOOL,2017,NA
4083,07,RIDGEWAY COMMUNITY SCHOOL,2017,0
4084,07,NORTH SHORE COMMUNITY SCHOOL,2017,0
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2017,0
4087,07,SAGE ACADEMY CHARTER SCHOOL,2017,0.027027027027027
4088,07,URBAN ACADEMY CHARTER SCHOOL,2017,0.453947368421053
4089,07,NEW CITY SCHOOL,2017,0.0956175298804781
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2017,0
4091,07,ARCADIA CHARTER SCHOOL,2017,0
4092,07,WATERSHED HIGH SCHOOL,2017,NA
4093,07,NEW CENTURY ACADEMY,2017,0
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2017,NA
4097,07,"PARTNERSHIP ACADEMY, INC.",2017,NA
4098,07,NOVA CLASSICAL ACADEMY,2017,0.0380549682875264
4100,07,GREAT EXPECTATIONS,2017,NA
4102,07,MINNESOTA INTERNSHIP CENTER,2017,0.0268199233716475
4103,07,HMONG COLLEGE PREP ACADEMY,2017,0.341729067392784
4104,07,PALADIN CAREER AND TECHNICAL HIGH SCHOOL,2017,0
4105,07,GREAT RIVER SCHOOL,2017,0.00930232558139535
4106,07,TREKNORTH HIGH SCHOOL,2017,0
4107,07,VOYAGEURS EXPEDITIONARY,2017,0.00952380952380952
4110,07,PIM ARTS HIGH SCHOOL,2017,0
4111,07,AUGSBURG FAIRVIEW ACADEMY,2017,NA
4112,07,ST. PAUL CONSERVATORY PERFORMING ARTS,2017,0
4113,07,SPERO ACADEMY,2017,0.043010752688172
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEMY,2017,NA
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2017,NA
4119,07,ACADEMIC ARTS HIGH SCHOOL,2017,NA
4120,07,ST. CROIX PREPARATORY ACADEMY,2017,0.00602928509905254
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2017,0.348703170028818
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2017,0.0863895680521597
4124,07,BEACON ACADEMY,2017,0.0438144329896907
4126,07,PRAIRIE SEEDS ACADEMY,2017,0.419736842105263
4127,07,TEAM ACADEMY,2017,0.151785714285714
4131,07,METRO SCHOOLS CHARTER,2017,NA
4132,07,TWIN CITIES ACADEMY,2017,0.0664451827242525
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2017,0.249258160237389
4137,07,SWAN RIVER MONTESSORI CHARTER SCHOOL,2017,NA
4139,07,LOVEWORKS ACADEMY FOR ARTS,2017,0
4140,07,YINGHUA ACADEMY,2017,0.0285714285714286
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2017,0.204941860465116
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCHOOL,2017,0.709480122324159
4144,07,GREEN ISLE COMMUNITY SCHOOL,2017,NA
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2017,NA
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2017,NA
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2017,NA
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2017,0
4152,07,TWIN CITIES GERMAN IMMERSION CHARTER SCHOOL,2017,0.0211538461538462
4153,07,DUGSI ACADEMY,2017,NA
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2017,NA
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2017,0.108935128518972
4160,07,SPECTRUM HIGH SCHOOL,2017,0.0119581464872945
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2017,NA
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2017,0.0254237288135593
4164,07,LAURA JEFFREY ACADEMY CHARTER,2017,0
4166,07,EAST RANGE ACADEMY OF TECHNOLOGY AND SCIENCE,2017,0
4167,07,INTERNATIONAL SPANISH LANGUAGE ACADEMY,2017,0.00630914826498423
4168,07,GLACIAL HILLS ELEMENTARY,2017,NA
4169,07,STONEBRIDGE WORLD SCHOOL,2017,0.245901639344262
4170,07,HIAWATHA ACADEMIES,2017,0.609876543209876
4171,07,NOBLE ACADEMY,2017,0.520190023752969
4172,07,CLARKFIELD CHARTER SCHOOL,2017,NA
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2017,NA
4178,07,LINCOLN INTERNATIONAL SCHOOL,2017,NA
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2017,0.665217391304348
4183,07,LIONSGATE ACADEMY,2017,0
4184,07,ASPEN ACADEMY,2017,0.101659751037344
4185,07,DAVINCI ACADEMY,2017,0.0226757369614512
4186,07,GLOBAL ACADEMY,2017,0.354312354312354
4187,07,NATURAL SCIENCE ACADEMY,2017,NA
4188,07,COLOGNE ACADEMY,2017,0.00164744645799012
4189,07,BRIGHT WATER ELEMENTARY,2017,NA
4190,07,RIVERS EDGE ACADEMY,2017,NA
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2017,0.00396825396825397
4192,07,BEST ACADEMY,2017,0.362622036262204
4193,07,COLLEGE PREPARATORY ELEMENTARY,2017,0.725490196078431
4194,07,CANNON RIVER STEM SCHOOL,2017,0.0404624277456647
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2017,NA
4198,07,DISCOVERY WOODS,2017,NA
4199,07,PARNASSUS PREPARATORY CHARTER SCHOOL,2017,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2017,0.31294964028777
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2017,0.0902255639097744
4204,07,ROCHESTER STEM ACADEMY,2017,0.292452830188679
4205,07,HENNEPIN ELEMENTARY SCHOOL,2017,0.730769230769231
4207,07,VERMILION COUNTRY SCHOOL,2017,NA
4208,07,NASHA SHKOLA CHARTER SCHOOL,2017,NA
4209,07,MASTERY SCHOOL,2017,0.0253164556962025
4210,07,UPPER MISSISSIPPI ACADEMY,2017,0
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2017,0.265895953757225
4213,07,PRODEO ACADEMY,2017,0.205776173285199
4215,07,SEJONG ACADEMY OF MINNESOTA,2017,NA
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2017,0.0263157894736842
4218,07,VENTURE ACADEMY,2017,0.256809338521401
4219,07,NORTHEAST COLLEGE PREP,2017,0.619771863117871
4220,07,AGAMIM CLASSICAL ACADEMY,2017,0.161073825503356
4221,07,DISCOVERY CHARTER SCHOOL,2017,0.177083333333333
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEMY CHARTER SCHOOL,2017,NA
4224,07,STAR OF THE NORTH ACADEMY CHARTER SCHOOL,2017,0.245398773006135
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2017,NA
4226,07,BDOTE LEARNING CENTER,2017,NA
4227,07,ART AND SCIENCE ACADEMY,2017,0
4228,07,WOODBURY LEADERSHIP ACADEMY,2017,NA
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE ACADEMY,2017,NA
4230,07,MINNESOTA EXCELLENCE IN LEARNING ACADEMY,2017,0.248780487804878
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2017,NA
