DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,05,22,28,388,361,409,377,180,180,1,0,45,35,355,371,1400,1352,2026,2752,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,06,17,17,403,316,429,329,197,183,0,0,22,20,280,256,1348,1121,1933,2469,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,07,20,31,397,361,384,364,173,160,0,0,27,25,321,265,1322,1206,1942,2528,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,08,15,21,443,411,425,370,176,160,0,0,25,22,295,226,1379,1210,2068,2589,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,09,25,15,493,477,392,378,179,179,0,0,28,15,268,262,1385,1326,2181,2711,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,10,17,8,530,484,348,310,173,180,0,0,17,26,316,247,1401,1255,2093,2656,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,11,11,8,522,565,321,348,161,158,1,1,22,24,266,268,1304,1372,2142,2676,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,12,13,19,609,589,380,359,175,157,1,0,29,21,323,266,1530,1411,2352,2941,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,All Grades,234,250,5961,5589,5482,4987,2744,2515,7,6,703,764,4521,4102,19652,18213,29242,37865,District,EC-12,, ,
13-14,63,Red Lake                                     ,0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST. ,000, ,01,01,EC,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,2,1,5,District,EC-12,, ,
13-14,63,Red Lake                                     ,0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST. ,000, ,01,01,KG,0,0,0,0,0,0,1,0,0,0,1,0,19,14,21,14,2,35,District,EC-12,, ,
13-14,63,Red Lake                                     ,0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST. ,000, ,01,01,01,0,0,0,0,0,0,1,1,0,0,1,2,9,8,11,11,5,22,District,EC-12,, ,
13-14,63,Red Lake                                     ,0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST. ,000, ,01,01,02,0,0,0,0,0,0,0,1,0,0,0,0,10,9,10,10,1,20,District,EC-12,, ,
