dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0547,01,PARKERS PRAIRIE,56,010,PARKERS PRAIRIE EL.,56,243,63,45,0,34,247,63,47,0,38,04
04-05,0547,01,PARKERS PRAIRIE,56,020,PARKERS PRAIRIE SEC.,56,319,56,44,0,36,319,56,44,0,36,04
04-05,0548,01,PELICAN RAPIDS,56,010,PELICAN RAPIDS EL.,56,515,183,81,151,57,519,185,81,151,61,04
04-05,0548,01,PELICAN RAPIDS,56,020,PELICAN RAPIDS SEC.,56,604,159,59,137,68,604,159,59,137,68,04
04-05,0549,01,PERHAM,56,010,HEART OF THE LAKE EL.,56,400,113,55,3,60,417,114,56,3,77,04
04-05,0549,01,PERHAM,56,020,PRAIRIE WIND MID.,56,480,103,74,13,54,480,103,74,13,54,04
04-05,0549,01,PERHAM,56,030,PERHAM SR.,56,609,86,58,1,61,609,86,58,1,61,04
04-05,0549,01,PERHAM,56,040,DENT EL.,56,74,15,22,0,6,74,15,22,0,6,04
04-05,0549,01,PERHAM,56,080,PERHAM AREA LEARNING CNTR.,56,26,10,2,0,5,26,10,2,0,5,04
04-05,0550,01,UNDERWOOD,56,010,UNDERWOOD EL.,56,262,87,31,1,26,263,87,31,1,27,04
04-05,0550,01,UNDERWOOD,56,020,UNDERWOOD SEC.,56,236,41,36,1,33,236,41,36,1,33,04
04-05,0553,01,NEW YORK MILLS,56,010,NEW YORK MILLS EL.,56,381,142,53,0,43,395,144,54,0,57,04
04-05,0553,01,NEW YORK MILLS,56,020,NEW YORK MILLS SEC.,56,372,97,46,0,49,372,97,46,0,49,04
04-05,0561,01,GOODRIDGE,57,010,GOODRIDGE EL.,57,94,39,14,0,10,94,39,14,0,10,01
04-05,0561,01,GOODRIDGE,57,020,GOODRIDGE SEC.,57,79,27,16,0,10,79,27,16,0,10,01
04-05,0564,01,THIEF RIVER FALLS,57,031,CHALLENGER EL.,57,827,202,97,17,121,850,205,97,17,144,01
04-05,0564,01,THIEF RIVER FALLS,57,060,FRANKLIN MID.,57,477,80,51,11,64,477,80,51,11,64,01
04-05,0564,01,THIEF RIVER FALLS,57,070,LINCOLN SR.,57,677,102,47,3,69,677,102,47,3,69,01
04-05,0564,01,THIEF RIVER FALLS,57,075,NORTHWEST ALC,57,33,6,0,0,1,33,6,0,0,1,01
04-05,0577,01,WILLOW RIVER,58,030,WILLOW RIVER EL.,58,232,91,36,0,25,235,91,36,0,28,07E
04-05,0577,01,WILLOW RIVER,58,040,WILLOW RIVER SEC.,58,213,80,32,0,24,213,80,32,0,24,07E
04-05,0577,01,WILLOW RIVER,58,050,WILLOW RIVER ALP,58,17,0,0,0,1,17,0,0,0,1,07E
04-05,0578,01,PINE CITY,58,010,PINE CITY EL.,58,812,234,89,1,60,825,235,89,1,73,07E
04-05,0578,01,PINE CITY,58,020,PINE CITY SEC.,58,797,150,69,1,58,797,150,69,1,58,07E
04-05,0578,01,PINE CITY,58,692,PINE CITY ALC,58,55,9,1,0,7,55,9,1,0,7,07E
04-05,0581,01,EDGERTON,59,010,EDGERTON SEC.,59,153,25,28,1,26,153,25,28,1,26,08
04-05,0581,01,EDGERTON,59,020,EDGERTON EL.,59,143,33,22,4,22,144,34,22,4,23,08
04-05,0584,01,RUTHTON,59,010,R.T.R. EL.,59,236,41,43,0,28,243,42,45,0,35,08
04-05,0592,01,CLIMAX,60,010,CLIMAX EL.,60,73,35,13,0,13,74,36,13,0,14,01
04-05,0592,01,CLIMAX,60,020,CLIMAX SEC.,60,78,34,11,0,15,78,34,11,0,15,01
04-05,0593,01,CROOKSTON,60,010,WASHINGTON EL.,60,257,98,36,32,30,257,98,36,32,30,01
04-05,0593,01,CROOKSTON,60,020,NEW PATHS AREA LEARNING CTR.,60,66,35,4,13,9,66,35,4,13,9,01
04-05,0593,01,CROOKSTON,60,030,CROOKSTON PRE-K,60,0,0,0,0,0,14,1,0,0,14,01
04-05,0593,01,CROOKSTON,60,080,HIGHLAND EL.,60,517,181,65,70,116,517,181,65,70,116,01
04-05,0593,01,CROOKSTON,60,090,CROOKSTON SEC.,60,610,130,57,48,85,610,130,57,48,85,01
04-05,0593,01,CROOKSTON,60,100,RED RIVER JUVENILE CENTER,60,6,2,0,1,3,6,2,0,1,3,01
04-05,0595,01,EAST GRAND FORKS,60,110,SOUTH POINT,60,399,95,35,9,63,399,95,35,9,63,01
04-05,0595,01,EAST GRAND FORKS,60,120,NEW HEIGHTS EL.,60,365,105,45,9,28,389,105,45,9,52,01
04-05,0595,01,EAST GRAND FORKS,60,310,CENTRAL MID.,60,408,87,42,15,58,408,87,42,15,58,01
04-05,0595,01,EAST GRAND FORKS,60,320,EAST GRAND FORKS SR.,60,572,87,37,3,61,572,87,37,3,61,01
04-05,0599,01,FERTILE-BELTRAMI,60,010,FERTILE-BELTRAMI EL.,60,242,75,39,0,26,250,78,39,0,34,01
04-05,0599,01,FERTILE-BELTRAMI,60,020,FERTILE-BELTRAMI SEC.,60,296,74,29,0,40,296,74,29,0,40,01
04-05,0600,01,FISHER,60,001,FISHER EL.,60,128,40,7,0,16,128,40,7,0,16,01
04-05,0600,01,FISHER,60,002,FISHER SEC.,60,177,42,9,0,26,182,43,9,0,31,01
04-05,0601,01,FOSSTON,60,010,MAGELSSEN EL.,60,326,111,49,1,38,336,114,49,1,48,01
04-05,0601,01,FOSSTON,60,020,FOSSTON SEC.,60,313,86,44,0,37,313,86,44,0,37,01
04-05,0611,01,CYRUS,61,010,CYRUS TECHNOLOGY EL.,61,55,15,3,0,12,55,15,3,0,12,04
04-05,0621,01,MOUNDS VIEW,62,025,BEL AIR EL.,62,514,165,49,38,56,514,165,49,38,56,11
04-05,0621,01,MOUNDS VIEW,62,026,ISLAND LAKE EL.,62,566,58,32,24,48,566,58,32,24,48,11
04-05,0621,01,MOUNDS VIEW,62,029,PIKE LAKE EL.,62,491,84,31,24,78,491,84,31,24,78,11
04-05,0621,01,MOUNDS VIEW,62,030,PINEWOOD EL.,62,558,112,69,21,60,558,112,69,21,60,11
04-05,0621,01,MOUNDS VIEW,62,033,SNAIL LAKE EL.,62,498,18,15,11,32,498,18,15,11,32,11
04-05,0621,01,MOUNDS VIEW,62,034,SUNNYSIDE EL.,62,486,116,53,27,63,486,116,53,27,63,11
04-05,0621,01,MOUNDS VIEW,62,035,TURTLE LAKE EL.,62,645,42,11,10,57,645,42,11,10,57,11
04-05,0621,01,MOUNDS VIEW,62,036,VALENTINE HILLS EL.,62,483,40,15,21,49,483,40,15,21,49,11
04-05,0621,01,MOUNDS VIEW,62,038,SPEECH PROGRAM - SP ED PROGRAM,62,0,0,0,0,0,21,0,0,0,21,11
04-05,0621,01,MOUNDS VIEW,62,039,BRIDGES PROGRAM,62,11,3,0,0,11,11,3,0,0,11,11
04-05,0621,01,MOUNDS VIEW,62,042,LEXINGTON CAMPUS - ECSE,62,0,0,0,0,0,75,0,0,0,75,11
04-05,0621,01,MOUNDS VIEW,62,059,MOUNDS VIEW ADULT BASIC ED.,62,14,0,1,0,1,14,0,1,0,1,11
04-05,0621,01,MOUNDS VIEW,62,060,MOUNDS VIEW ALC,62,152,25,12,0,28,152,25,12,0,28,11
04-05,0621,01,MOUNDS VIEW,62,061,CAREER AND LIFE TRANSITION,62,52,3,0,0,52,52,3,0,0,52,11
04-05,0621,01,MOUNDS VIEW,62,062,OAK GROVE SP. ED. MID.,62,13,7,0,0,13,13,7,0,0,13,11
04-05,0621,01,MOUNDS VIEW,62,063,OAK GROVE SR. SP. ED.,62,51,26,3,0,51,51,26,3,0,51,11
04-05,0621,01,MOUNDS VIEW,62,064,MOUNDS VIEW SR.,62,1935,83,38,5,129,1935,83,38,5,129,11
04-05,0621,01,MOUNDS VIEW,62,065,IRONDALE SR.,62,1578,221,101,14,161,1578,221,101,14,161,11
04-05,0621,01,MOUNDS VIEW,62,066,EDGEWOOD MID.,62,522,120,60,10,56,522,120,60,10,56,11
04-05,0621,01,MOUNDS VIEW,62,067,HIGHVIEW MID.,62,820,148,52,13,89,820,148,52,13,89,11
04-05,0621,01,MOUNDS VIEW,62,068,OGAT,62,15,2,0,0,15,15,2,0,0,15,11
04-05,0621,01,MOUNDS VIEW,62,070,CHIPPEWA MID.,62,1120,72,37,6,91,1120,72,37,6,91,11
04-05,0621,01,MOUNDS VIEW,62,600,SHARED TIME PROGRAM,62,6,0,0,1,5,6,0,0,1,5,11
04-05,0621,01,MOUNDS VIEW,62,699,EARLY INTERVENTION ALLIANCE-SP ED,62,0,0,0,0,0,24,0,0,0,24,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,027,CARVER EL.,62,563,114,26,56,45,563,114,26,56,45,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,028,CASTLE EL.,82,582,129,36,31,74,582,129,36,31,74,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,029,COWERN EL.,62,439,87,54,30,50,439,87,54,30,50,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,030,EAGLE POINT EL.,82,430,36,16,22,39,430,36,16,22,39,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,031,GLADSTONE CENTER,62,0,0,0,0,0,121,1,0,0,121,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,033,OAKDALE EL.,82,569,150,50,36,74,569,150,50,36,74,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,034,RICHARDSON EL.,62,517,200,46,47,74,517,200,46,47,74,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,035,WEAVER EL.,62,475,102,54,55,69,475,102,54,55,69,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,036,WEBSTER EL.,62,362,119,43,31,57,362,119,43,31,57,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,037,SKYVIEW COMMUNITY EL.,82,576,84,23,21,62,576,84,23,21,62,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,040,622 ALT MID./HIGH SCHOOL,62,107,36,7,0,18,107,36,7,0,18,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,041,TEEP,62,6,3,0,0,6,6,3,0,0,6,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,043,TRANSITIONS,62,17,7,1,0,16,17,7,1,0,16,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,054,SKYVIEW COMMUNITY MID.,82,871,127,52,30,90,871,127,52,30,90,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,055,JOHN GLENN MID.,62,918,255,73,80,115,918,255,73,80,115,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,056,MAPLEWOOD MID.,62,864,171,77,58,119,864,171,77,58,119,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,057,NORTH SR.,62,2060,331,136,70,229,2060,331,136,70,229,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,058,TARTAN SR.,82,1745,220,100,32,147,1745,220,100,32,147,11
04-05,0622,01,NORTH ST PAUL-MAPLEWOOD,62,061,FAIRVIEW ADOLESCENT PROGRAM,62,5,0,0,0,0,5,0,0,0,0,11
04-05,0623,01,ROSEVILLE,62,069,ROSEVILLE AREA SR.,62,2148,294,114,75,228,2148,294,114,75,228,11
04-05,0623,01,ROSEVILLE,62,070,ROSEVILLE AREA MID.,62,883,176,62,71,105,883,176,62,71,105,11
04-05,0623,01,ROSEVILLE,62,073,PARKVIEW CENTER EL.,62,704,49,39,36,65,704,49,39,36,65,11
04-05,0623,01,ROSEVILLE,62,721,BRIMHALL EL.,62,542,154,34,107,61,542,154,34,107,61,11
04-05,0623,01,ROSEVILLE,62,722,CENTRAL PARK EL.,62,380,100,25,60,56,380,100,25,60,56,11
04-05,0623,01,ROSEVILLE,62,723,EDGERTON EL.,62,384,114,36,73,30,384,114,36,73,30,11
04-05,0623,01,ROSEVILLE,62,724,FALCON HEIGHTS EL.,62,383,51,25,23,33,383,51,25,23,33,11
04-05,0623,01,ROSEVILLE,62,728,LITTLE CANADA EL.,62,437,103,38,53,37,437,103,38,53,37,11
04-05,0623,01,ROSEVILLE,62,731,WILLIAMS EL.,62,409,46,21,30,52,409,46,21,30,52,11
04-05,0623,01,ROSEVILLE,62,732,FAIRVIEW PROGRAM,62,1,0,0,0,1,68,6,2,0,68,11
04-05,0624,01,WHITE BEAR LAKE,62,029,WBL DISTRICT CENTER,62,0,0,0,0,0,9,0,0,0,9,11
04-05,0624,01,WHITE BEAR LAKE,62,054,WHITE BEAR NORTH CAMPUS ALC,62,20,6,4,0,1,20,6,4,0,1,11
04-05,0624,01,WHITE BEAR LAKE,62,055,WHITE BEAR NORTH CAMPUS SR.,62,1464,166,75,17,153,1464,166,75,17,153,11
04-05,0624,01,WHITE BEAR LAKE,62,056,NORMANDY PARK EDUCATION CENTER,62,0,0,0,0,0,112,0,0,0,112,11
04-05,0624,01,WHITE BEAR LAKE,62,057,CENTRAL MID.,62,1019,89,48,0,132,1019,89,48,0,132,11
04-05,0624,01,WHITE BEAR LAKE,62,058,CENTRAL ALC,62,31,7,2,0,5,31,7,2,0,5,11
04-05,0624,01,WHITE BEAR LAKE,62,059,SUNRISE PARK MID.,62,909,138,58,21,105,909,138,58,21,105,11
04-05,0624,01,WHITE BEAR LAKE,62,060,SUNRISE PARK ALC,45,41,14,3,0,0,41,14,3,0,0,11
04-05,0624,01,WHITE BEAR LAKE,62,095,WHITE BEAR SOUTH CAMPUS SR.,62,1276,94,48,9,97,1276,94,48,9,97,11
04-05,0624,01,WHITE BEAR LAKE,62,096,WHITE BEAR SOUTH CAMPUS ALC,62,30,5,3,4,17,30,5,3,4,17,11
04-05,0624,01,WHITE BEAR LAKE,62,827,BIRCH LAKE EL.,62,305,62,26,2,39,305,62,26,2,39,11
04-05,0624,01,WHITE BEAR LAKE,62,828,OTTER LAKE EL.,62,613,45,19,0,88,613,45,19,0,88,11
04-05,0624,01,WHITE BEAR LAKE,62,830,HUGO EL.,82,496,46,23,30,52,496,46,23,30,52,11
04-05,0624,01,WHITE BEAR LAKE,62,831,LAKEAIRES EL.,62,431,62,33,42,47,431,62,33,42,47,11
04-05,0624,01,WHITE BEAR LAKE,62,832,LINCOLN EL.,62,441,43,19,1,65,441,43,19,1,65,11
04-05,0624,01,WHITE BEAR LAKE,62,833,PARKVIEW EL.,62,517,79,23,0,46,517,79,23,0,46,11
04-05,0624,01,WHITE BEAR LAKE,62,834,VADNAIS HEIGHTS EL.,62,486,67,34,69,53,486,67,34,69,53,11
04-05,0624,01,WHITE BEAR LAKE,62,836,WILLOW LANE EL.,62,358,98,19,48,41,358,98,19,48,41,11
04-05,0624,01,WHITE BEAR LAKE,62,837,WHITE BEAR ALC,62,158,36,6,1,30,158,36,6,1,30,11
04-05,0624,01,WHITE BEAR LAKE,62,839,WHITE BEAR TRANSITION PLUS,62,58,30,1,0,58,58,30,1,0,58,11
04-05,0625,01,ST. PAUL,62,006,A. G. A. P. E. TEEN PARENT,62,88,73,2,36,18,88,73,2,36,18,11
04-05,0625,01,ST. PAUL,62,007,HOME/HOSPITAL INSTRUCTION,62,12,12,0,0,8,13,13,0,0,9,11
04-05,0625,01,ST. PAUL,62,039,BATTLE CREEK LEARNING CENTER,62,18,15,1,1,18,18,15,1,1,18,11
04-05,0625,01,ST. PAUL,62,041,WEBSTER LEARNING CENTER,62,21,18,2,1,21,21,18,2,1,21,11
04-05,0625,01,ST. PAUL,62,043,MAXFIELD LEARNING CENTER,62,21,20,0,1,21,21,20,0,1,21,11
04-05,0625,01,ST. PAUL,62,045,HIGHWOOD HILLS LEARNING CENTER,62,45,35,0,5,45,45,35,0,5,45,11
04-05,0625,01,ST. PAUL,62,047,RONDO LEARNING CENTER,62,19,14,3,0,19,19,14,3,0,19,11
04-05,0625,01,ST. PAUL,62,048,RIVERSIDE NEW CONNECTIONS,62,6,3,1,0,3,6,3,1,0,3,11
04-05,0625,01,ST. PAUL,62,049,HANCOCK LEARNING CENTER,62,24,19,1,1,24,24,19,1,1,24,11
04-05,0625,01,ST. PAUL,62,050,ST. PAUL OPEN SCH.,62,365,231,36,111,72,365,231,36,111,72,11
04-05,0625,01,ST. PAUL,62,067,TLC COMO EL.,62,52,52,0,52,0,52,52,0,52,0,11
04-05,0625,01,ST. PAUL,62,068,TLC HAYDEN HEIGHTS EL,62,27,27,0,27,0,27,27,0,27,0,11
04-05,0625,01,ST. PAUL,62,069,TLC PHALEN LAKE EL,62,62,62,0,62,0,62,62,0,62,0,11
04-05,0625,01,ST. PAUL,62,072,BUSH MEMORIAL,62,35,35,0,1,29,35,35,0,1,29,11
04-05,0625,01,ST. PAUL,62,090,FROST LAKE LEARNING CENTER,62,41,24,8,6,41,41,24,8,6,41,11
04-05,0625,01,ST. PAUL,62,150,BENJ. E. MAYS MAGNET/RONDO,62,372,280,37,106,64,372,280,37,106,64,11
04-05,0625,01,ST. PAUL,62,210,CENTRAL SR.,62,2091,822,200,498,202,2091,822,200,498,202,11
04-05,0625,01,ST. PAUL,62,212,COMO PARK SR.,62,1394,678,138,500,211,1394,678,138,500,211,11
04-05,0625,01,ST. PAUL,62,215,HARDING SR.,62,2123,1383,241,986,324,2123,1383,241,986,324,11
04-05,0625,01,ST. PAUL,62,220,HIGHLAND PARK SR.,62,1416,541,131,392,229,1416,541,131,392,229,11
04-05,0625,01,ST. PAUL,62,225,HUMBOLDT SR.,62,843,579,93,304,221,843,579,93,304,221,11
04-05,0625,01,ST. PAUL,62,230,JOHNSON SR.,62,1638,950,209,626,261,1638,950,209,626,261,11
04-05,0625,01,ST. PAUL,62,240,ARLINGTON SR.,62,1912,1452,218,1077,280,1912,1452,218,1077,280,11
04-05,0625,01,ST. PAUL,62,310,BATTLE CREEK MID.,62,698,476,91,299,162,698,476,91,299,162,11
04-05,0625,01,ST. PAUL,62,315,CLEVELAND JR.,62,409,327,44,246,63,409,327,44,246,63,11
04-05,0625,01,ST. PAUL,62,325,HAZEL PARK MIDDLE SCHOOL ACADEMY,62,763,512,109,331,164,763,512,109,331,164,11
04-05,0625,01,ST. PAUL,62,330,HIGHLAND PARK JR.,62,805,436,90,256,156,805,436,90,256,156,11
04-05,0625,01,ST. PAUL,62,335,HUMBOLDT JR.,62,460,363,49,159,104,460,363,49,159,104,11
04-05,0625,01,ST. PAUL,62,342,MURRAY JR.,62,812,400,101,249,174,812,400,101,249,174,11
04-05,0625,01,ST. PAUL,62,345,RAMSEY JR.,62,752,412,89,247,102,752,412,89,247,102,11
04-05,0625,01,ST. PAUL,62,352,WASHINGTON TECHNOLOGY MAGNET MID.,62,758,595,86,439,144,758,595,86,439,144,11
04-05,0625,01,ST. PAUL,62,410,ADAMS MAGNET EL.,62,694,161,101,214,49,694,161,101,214,49,11
04-05,0625,01,ST. PAUL,62,413,AMES EL.,62,263,201,23,105,42,263,201,23,105,42,11
04-05,0625,01,ST. PAUL,62,415,JOHN JOHNSON ACHIEVEMENT PLUS EL.,62,265,213,34,77,44,265,213,34,77,44,11
04-05,0625,01,ST. PAUL,62,422,BATTLE CREEK MAGNET EL.,62,523,265,88,271,61,523,265,88,271,61,11
04-05,0625,01,ST. PAUL,62,425,CHELSEA HEIGHTS EL.,62,434,147,50,87,53,434,147,50,87,53,11
04-05,0625,01,ST. PAUL,62,428,CHEROKEE HEIGHTS MAGNET EL.,62,449,336,51,179,73,449,336,51,179,73,11
04-05,0625,01,ST. PAUL,62,430,BRIDGE VIEW SP. ED.,62,163,73,20,1,163,163,73,20,1,163,11
04-05,0625,01,ST. PAUL,62,431,COMO PARK EL.,62,437,330,44,202,71,437,330,44,202,71,11
04-05,0625,01,ST. PAUL,62,432,COMO SPECIAL/HARTZELL,62,121,82,20,1,121,121,82,20,1,121,11
04-05,0625,01,ST. PAUL,62,433,DAYTONS BLUFF EL.,62,312,277,11,100,42,312,277,11,100,42,11
04-05,0625,01,ST. PAUL,62,435,EXPO/HARRIET BISHOP CENTER,62,664,258,51,186,101,664,258,51,186,101,11
04-05,0625,01,ST. PAUL,62,438,MUSEUM MAGNET/RONDO,62,324,151,45,103,35,324,151,45,103,35,11
04-05,0625,01,ST. PAUL,62,449,BRUCE F VENTO EL.,62,392,325,38,200,46,392,325,38,200,46,11
04-05,0625,01,ST. PAUL,62,452,EASTERN HEIGHTS EL.,62,322,212,45,110,74,322,212,45,110,74,11
04-05,0625,01,ST. PAUL,62,458,FARNSWORTH EL.,62,574,335,107,299,60,574,335,107,299,60,11
04-05,0625,01,ST. PAUL,62,460,FOUR SEASONS EL.,62,320,149,56,72,59,320,149,56,72,59,11
04-05,0625,01,ST. PAUL,62,461,FRANKLIN MAGNET EL.,62,395,300,52,248,32,395,300,52,248,32,11
04-05,0625,01,ST. PAUL,62,462,L'ETOILE DU NORD FRENCH IMMERSION,62,327,60,22,52,11,327,60,22,52,11,11
04-05,0625,01,ST. PAUL,62,464,FROST LAKE MAGNET EL.,62,548,350,87,373,75,548,350,87,373,75,11
04-05,0625,01,ST. PAUL,62,465,CROSSROADS MONTESSORI,62,298,113,46,85,49,298,113,46,85,49,11
04-05,0625,01,ST. PAUL,62,466,CROSSROADS SCIENCE,62,337,146,56,92,52,337,146,56,92,52,11
04-05,0625,01,ST. PAUL,62,467,GALTIER MAGNET EL.,62,341,250,42,89,44,341,250,42,89,44,11
04-05,0625,01,ST. PAUL,62,476,GROVELAND PARK EL.,62,364,110,17,52,35,364,110,17,52,35,11
04-05,0625,01,ST. PAUL,62,482,HANCOCK/HAMLINE MAGNET EL.,62,550,378,83,350,71,550,378,83,350,71,11
04-05,0625,01,ST. PAUL,62,488,HAYDEN HEIGHTS EL.,62,388,170,75,142,61,388,170,75,142,61,11
04-05,0625,01,ST. PAUL,62,491,HIGHLAND PARK EL.,62,361,181,23,86,24,361,181,23,86,24,11
04-05,0625,01,ST. PAUL,62,493,HILL MONTESSORI,62,393,119,45,100,45,393,119,45,100,45,11
04-05,0625,01,ST. PAUL,62,494,CAPITOL HILL MAGNET/RONDO,62,975,213,83,212,44,975,213,83,212,44,11
04-05,0625,01,ST. PAUL,62,496,HIGHWOOD HILLS EL.,62,303,219,37,179,40,303,219,37,179,40,11
04-05,0625,01,ST. PAUL,62,497,HOMECROFT EL.,62,242,190,28,200,36,242,190,28,200,36,11
04-05,0625,01,ST. PAUL,62,500,JACKSON MAGNET EL.,62,472,357,59,320,32,472,357,59,320,32,11
04-05,0625,01,ST. PAUL,62,510,LINWOOD A+ MAGNET EL.,62,357,138,31,90,44,357,138,31,90,44,11
04-05,0625,01,ST. PAUL,62,512,LONGFELLOW MAGNET EL.,62,356,258,39,119,45,356,258,39,119,45,11
04-05,0625,01,ST. PAUL,62,518,MANN EL.,62,325,52,21,39,56,325,52,21,39,56,11
04-05,0625,01,ST. PAUL,62,524,MAXFIELD MAGNET EL.,62,343,305,19,64,70,343,305,19,64,70,11
04-05,0625,01,ST. PAUL,62,527,MISSISSIPPI MAGNET EL.,62,521,385,50,317,107,521,385,50,317,107,11
04-05,0625,01,ST. PAUL,62,528,MONROE COMMUNITY,62,490,338,53,175,70,490,338,53,175,70,11
04-05,0625,01,ST. PAUL,62,530,WORLD CULTURES MAGNET/MNDS PRK.,62,315,204,59,179,43,315,204,59,179,43,11
04-05,0625,01,ST. PAUL,62,533,NOKOMIS MONTESSORI/MAGNET,62,408,151,44,178,51,408,151,44,178,51,11
04-05,0625,01,ST. PAUL,62,536,NORTH END EL.,62,448,358,39,184,62,448,358,39,184,62,11
04-05,0625,01,ST. PAUL,62,538,PARKWAY EL.,62,346,262,46,160,48,346,262,46,160,48,11
04-05,0625,01,ST. PAUL,62,541,PHALEN LAKE EL.,62,521,413,50,267,55,521,413,50,267,55,11
04-05,0625,01,ST. PAUL,62,542,PROSPERITY HEIGHTS EL.,62,312,198,49,137,48,312,198,49,137,48,11
04-05,0625,01,ST. PAUL,62,545,RANDOLPH HEIGHTS EL.,62,297,79,18,21,38,297,79,18,21,38,11
04-05,0625,01,ST. PAUL,62,551,RIVERVIEW MAGNET EL.,62,222,161,26,111,26,222,161,26,111,26,11
04-05,0625,01,ST. PAUL,62,552,PAUL & SHEILA WELLSTONE EL.,62,392,332,32,257,36,392,332,32,257,36,11
04-05,0625,01,ST. PAUL,62,554,ROOSEVELT MAGNET EL.,62,459,356,57,251,35,459,356,57,251,35,11
04-05,0625,01,ST. PAUL,62,557,ST. ANTHONY PARK EL.,62,399,69,29,60,35,399,69,29,60,35,11
04-05,0625,01,ST. PAUL,62,563,SHERIDAN EL.,62,283,140,63,96,33,283,140,63,96,33,11
04-05,0625,01,ST. PAUL,62,570,EASTSIDE WORKPLACE KDGN.,62,21,1,1,3,1,21,1,1,3,1,11
04-05,0625,01,ST. PAUL,62,578,WEBSTER MAGNET EL.,62,879,611,91,167,113,879,611,91,167,113,11
04-05,0625,01,ST. PAUL,62,579,AMERICAN INDIAN/MOUNDS PARK,62,316,250,31,82,52,316,250,31,82,52,11
04-05,0625,01,ST. PAUL,62,600,SHARED TIME NONPUBLIC,62,57,2,0,0,56,57,2,0,0,56,11
04-05,0625,01,ST. PAUL,62,606,PROJECT ACHIEVE,62,25,19,2,1,25,25,19,2,1,25,11
04-05,0625,01,ST. PAUL,62,608,FOCUS BEYOND,62,461,103,9,79,461,461,103,9,79,461,11
04-05,0625,01,ST. PAUL,62,648,JOHN A. JOHNSON EARLY EDUCATION,62,0,0,0,0,0,27,20,4,0,27,11
04-05,0625,01,ST. PAUL,62,649,EARLY EDUCATION CROSSROADS,62,0,0,0,0,0,36,21,6,0,36,11
04-05,0625,01,ST. PAUL,62,652,ARLINGTON HOUSE SP ED,62,6,6,0,1,2,6,6,0,1,2,11
04-05,0625,01,ST. PAUL,62,653,BOOTH BROWN HOUSE,62,5,5,0,3,0,5,5,0,3,0,11
04-05,0625,01,ST. PAUL,62,654,BRUCE F VENTO LEARNING CENTER,62,31,26,4,2,31,31,26,4,2,31,11
04-05,0625,01,ST. PAUL,62,668,EARLY ED. JACKSON,62,0,0,0,0,0,5,5,0,0,5,11
04-05,0625,01,ST. PAUL,62,675,UNITED HOSP ADOLESCENT PROGRAM,62,15,4,0,1,2,15,4,0,1,2,11
04-05,0625,01,ST. PAUL,62,678,JUVENILE SERVICE CENTER,62,68,68,0,8,28,68,68,0,8,28,11
04-05,0625,01,ST. PAUL,62,684,EL. AUTISTIC PROG/BATTLE CREEK EL.,62,18,9,5,6,18,18,9,5,6,18,11
04-05,0625,01,ST. PAUL,62,685,EARLY EDUCATION-RONDO,62,0,0,0,0,0,221,94,20,0,221,11
04-05,0625,01,ST. PAUL,62,687,EARLY EDUCATION-HILL,62,0,0,0,0,0,29,17,5,0,29,11
04-05,0625,01,ST. PAUL,62,690,EARLY EDUCATION-RIVERVIEW,62,0,0,0,0,0,11,9,2,0,11,11
04-05,0625,01,ST. PAUL,62,694,EARLY EDUCATION-WHEELOCK,62,0,0,0,0,0,93,50,17,0,93,11
04-05,0625,01,ST. PAUL,62,695,PAS EAST,62,24,22,1,2,24,24,22,1,2,24,11
04-05,0625,01,ST. PAUL,62,696,EARLY EDUCATION-HIGHWOOD HILLS,62,0,0,0,0,0,37,22,7,0,37,11
04-05,0625,01,ST. PAUL,62,698,EARLY ED. EXPO/HARRIET BISHOP,62,0,0,0,0,0,43,6,8,0,43,11
04-05,0625,01,ST. PAUL,62,699,ECSE INCLUSION,62,0,0,0,0,0,62,35,1,0,62,11
04-05,0625,01,ST. PAUL,62,710,ALC UNIDALE,62,354,170,20,4,28,354,170,20,4,28,11
