dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0001,03,MINNEAPOLIS,27,325,IDT-MERRIAM PARK,62,36,30,4,10,8,36,30,4,10,8,11
04-05,0001,03,MINNEAPOLIS,27,348,M.E.R.C.,27,50,30,11,3,9,50,30,11,3,9,11
04-05,0001,03,MINNEAPOLIS,27,349,LORING-NICOLLET,27,52,16,3,1,3,52,16,3,1,3,11
04-05,0001,03,MINNEAPOLIS,27,351,URBAN LEAGUE ST. ACADEMY,27,84,74,6,2,8,84,74,6,2,8,11
04-05,0001,03,MINNEAPOLIS,27,352,EDISON SR.,27,1196,840,86,361,183,1196,840,86,361,183,11
04-05,0001,03,MINNEAPOLIS,27,353,BROADWAY EDUCATION PLACE,27,201,182,5,42,29,201,182,5,42,29,11
04-05,0001,03,MINNEAPOLIS,27,354,HENRY SR.,27,1419,940,134,251,155,1419,940,134,251,155,11
04-05,0001,03,MINNEAPOLIS,27,357,PLYMOUTH YOUTH CENTER CAPRI,27,95,73,5,12,10,95,73,5,12,10,11
04-05,0001,03,MINNEAPOLIS,27,358,NORTH SR.,27,1134,827,99,179,218,1134,827,99,179,218,11
04-05,0001,03,MINNEAPOLIS,27,360,ROOSEVELT SR.,27,1345,888,139,402,212,1345,888,139,402,212,11
04-05,0001,03,MINNEAPOLIS,27,361,CENTER SCHOOL,27,43,36,0,0,8,43,36,0,0,8,11
04-05,0001,03,MINNEAPOLIS,27,362,SOUTH SR.,27,1837,544,109,148,159,1837,544,109,148,159,11
04-05,0001,03,MINNEAPOLIS,27,363,WELLSTONE INTERNATIONAL HIGH,27,212,190,3,168,0,212,190,3,168,0,11
04-05,0001,03,MINNEAPOLIS,27,364,SOUTHWEST SR.,27,1618,537,54,324,177,1618,537,54,324,177,11
04-05,0001,03,MINNEAPOLIS,27,365,CITY INC. N.,27,78,67,6,19,8,78,67,6,19,8,11
04-05,0001,03,MINNEAPOLIS,27,367,P.M. HIGH SCHOOL,27,101,54,13,1,0,101,54,13,1,0,11
04-05,0001,03,MINNEAPOLIS,27,368,WASHBURN SR.,27,1276,601,100,241,140,1276,601,100,241,140,11
04-05,0001,03,MINNEAPOLIS,27,369,KATAHDIN,27,34,29,1,2,11,34,29,1,2,11,11
04-05,0001,03,MINNEAPOLIS,27,372,SPAN HIGH,27,108,79,9,2,100,108,79,9,2,100,11
04-05,0001,03,MINNEAPOLIS,27,373,MENLO PARK,27,71,42,7,2,12,71,42,7,2,12,11
04-05,0001,03,MINNEAPOLIS,27,374,WORK OPPORTUNITY CTR.,27,188,130,14,23,18,188,130,14,23,18,11
04-05,0001,03,MINNEAPOLIS,27,376,EDISON EVENING PROGRAM,27,16,8,0,14,0,16,8,0,14,0,11
04-05,0001,03,MINNEAPOLIS,27,380,TRANSITION PLUS SERVICES,27,220,160,9,20,207,220,160,9,20,207,11
04-05,0001,03,MINNEAPOLIS,27,382,HARRISON EDUCATION CNTR,27,52,46,0,1,52,52,46,0,1,52,11
