DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,01        ,1,0,3,2,4,1,2,5,98,75,108,83,18,191,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,02        ,1,0,9,3,2,0,1,4,90,99,103,106,20,209,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,03        ,0,0,4,4,3,3,4,3,103,95,114,105,21,219,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,04        ,0,1,3,5,3,3,10,7,96,89,112,105,32,217,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,05        ,1,0,3,3,1,1,7,3,94,114,106,121,19,227,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,06        ,1,0,2,9,3,5,7,2,125,119,138,135,29,273,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,07        ,0,2,4,1,2,0,4,3,132,132,142,138,16,280,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,08        ,1,1,6,3,1,4,2,7,104,130,114,145,25,259,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,09        ,0,0,4,5,2,2,1,4,150,127,157,138,18,295,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,10        ,1,0,1,7,5,4,3,2,129,139,139,152,23,291,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,11        ,0,0,5,4,0,1,2,3,147,139,154,147,15,301,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,12        ,0,0,2,4,3,2,4,2,135,141,144,149,17,293,District,EC-12,  , ,  
10-11,82,Washington                                   ,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   ,000, ,11,11,All Grades,6,5,52,53,32,29,52,52,1499,1484,1641,1623,281,3264,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,EC        ,1,1,17,9,12,5,20,10,125,65,175,90,75,265,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,KG        ,1,2,55,62,38,26,55,31,457,445,606,566,270,1172,District,EC-12,  , ,  
