DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,All Grades,289,148,47,NULL,NULL,59,302,154,47,NULL,NULL,72,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,9,3,NULL,NULL,NULL,9,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,KG        ,24,9,5,NULL,NULL,6,24,9,5,NULL,NULL,6,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,01        ,29,20,4,NULL,NULL,6,29,20,4,NULL,NULL,6,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,02        ,31,19,2,NULL,NULL,7,31,19,2,NULL,NULL,7,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,03        ,33,18,6,NULL,NULL,7,33,18,6,NULL,NULL,7,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,04        ,19,15,1,NULL,NULL,2,19,15,1,NULL,NULL,2,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,05        ,26,14,2,NULL,NULL,4,26,14,2,NULL,NULL,4,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,06        ,31,13,5,NULL,NULL,2,31,13,5,NULL,NULL,2,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,07        ,21,17,2,NULL,NULL,4,21,17,2,NULL,NULL,4,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,08        ,30,12,6,NULL,NULL,5,30,12,6,NULL,NULL,5,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,09        ,19,7,2,NULL,NULL,3,19,7,2,NULL,NULL,3,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,10        ,34,18,2,NULL,NULL,11,34,18,2,NULL,NULL,11,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,11        ,34,11,7,NULL,NULL,4,34,11,7,NULL,NULL,4,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,12        ,38,17,4,NULL,NULL,9,38,17,4,NULL,NULL,9,  , ,EC-12,  
10-11,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03 ,All Grades,369,190,48,NULL,NULL,70,378,193,48,NULL,NULL,79,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,71,18,2,NULL,NULL,71,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,KG        ,264,90,24,33,33,22,264,90,24,33,33,22,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,01        ,267,110,22,39,39,35,267,110,22,39,39,35,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,02        ,258,106,26,36,36,31,258,106,26,36,36,31,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,03        ,252,106,18,22,22,33,252,106,18,22,22,33,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,04        ,240,100,13,18,18,37,240,100,13,18,18,37,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,05        ,238,95,27,18,18,34,238,95,27,18,18,34,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,06        ,226,100,11,14,14,42,226,100,11,14,14,42,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,07        ,232,76,25,4,4,38,232,76,25,4,4,38,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,08        ,226,70,21,8,8,25,226,70,21,8,8,25,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,09        ,237,67,24,7,7,30,237,67,24,7,7,30,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,10        ,202,43,19,5,5,17,202,43,19,5,5,17,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,11        ,271,55,20,3,3,31,271,55,20,3,3,31,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,12        ,241,63,17,3,3,29,241,63,17,3,3,29,  , ,EC-12,  
10-11,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11 ,All Grades,3154,1081,267,210,210,404,3225,1099,269,210,210,475,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,772,128,9,NULL,NULL,772,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,KG        ,2564,642,212,294,268,238,2564,642,212,294,268,238,  , ,EC-12,  
