Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
13-Dec,19,Dakota,191,1,BURNSVILLE PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,703,417,286,59.3,40.7,51.2,5.3,10.7,7.1,5.8,14.5,0.5,50.1-52.3,4,0,1,2,0,0,0,743,9478,9,Y,,,0
13-Dec,19,Dakota,192,1,FARMINGTON PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,424,320,104,75.5,24.5,55.6,5.8,11.7,7.8,6.7,12.3,0.6,54.4-56.8,1,1,0,1,0,0,0,453,6683,9,Y,,,0
13-Dec,19,Dakota,194,1,LAKEVILLE PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,873,707,166,81,19,58,6,12.1,8.3,6.8,12.1,0.4,57.2-58.8,0,0,1,2,0,1,0,919,10762,9,Y,,,0
13-Dec,19,Dakota,195,1,RANDOLPH PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,31,17,14,54.8,45.2,50.7,6.1,10.2,7.4,5.9,10.7,1.9,47.0-54.4,1,0,0,0,0,0,0,32,573,9,Y,,,0
13-Dec,19,Dakota,196,1,ROSEMOUNT-APPLE VALLEY-EAGAN,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,1987,1580,407,79.5,20.5,58.2,6,12,8.2,7,12.3,0.3,57.7-58.7,8,1,2,8,0,0,0,2186,26715,9,Y,,,0
13-Dec,19,Dakota,197,1,WEST ST. PAUL-MENDOTA HTS.-EAGAN,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,306,209,97,68.3,31.7,55.4,5.7,11.6,7.5,6.6,14.3,0.8,53.8-57.0,0,0,0,0,0,0,1,327,4667,9,Y,,,0
13-Dec,19,Dakota,199,1,INVER GROVE HEIGHTS SCHOOLS,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,248,158,90,63.7,36.3,53.7,5.7,11.4,7.5,6.1,13.9,0.9,52.0-55.4,2,2,0,1,0,0,0,280,3704,9,Y,,,0
13-Dec,19,Dakota,200,1,HASTINGS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,332,268,64,80.7,19.3,58.5,6.2,12.2,8.2,6.9,11.7,0.6,57.2-59.8,1,0,0,0,0,0,0,369,4586,9,Y,,,0
13-Dec,20,Dodge,203,1,HAYFIELD PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,51,31,20,60.8,39.2,54.8,5.8,11.4,7.6,6.3,12.6,1.8,51.3-58.3,0,0,0,0,0,0,0,51,750,9,Y,,,0
13-Dec,20,Dodge,204,1,KASSON-MANTORVILLE SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,157,127,30,80.9,19.1,58.2,6.1,12.3,8.3,7,10.4,0.8,56.6-59.8,2,0,0,0,0,0,0,160,2069,9,Y,,,0
13-Dec,21,Douglas,206,1,ALEXANDRIA PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,270,212,58,78.5,21.5,57.5,6,12.2,8.2,6.6,11.6,0.7,56.1-58.9,0,0,0,0,0,0,0,302,3848,9,Y,,,0
