districtNumber,districtType,districtName,year,averageScore,percentPassed
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2012,50.8,71
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2012,55.5,79.1
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2012,52.5,68.4
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2012,54.6,80.6
0332,01,MORA PUBLIC SCHOOL DISTRICT,2012,56.1,78.3
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2012,55.8,74.3
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2012,55.8,80.5
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2012,53.9,70.9
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2012,59.7,90
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2012,56.3,82.2
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2012,59.5,86.7
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2012,53.6,71.4
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2012,59.6,91.9
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2012,55,73.9
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2012,57,82.4
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2012,57.8,76.5
0392,01,LE CENTER PUBLIC SCHOOL DISTRICT,2012,57.1,84.1
0394,01,MONTGOMERY-LONSDALE SCHOOL DISTRICT,2012,55.9,80
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2012,NA,NA
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2012,53.1,67.9
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2012,55.7,77
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2012,58,84.6
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2012,55.2,76.9
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2012,58,86.7
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2012,56.3,79.6
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2012,51.9,74.3
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2012,54.7,69
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2012,53.9,65
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2012,55.5,75
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2012,57.2,89.3
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2012,55.6,76.9
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2012,57.5,85.2
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2012,53.1,72.5
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2012,55.7,82.5
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2012,48.3,55.3
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2012,57.2,81.9
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2012,52.1,66.7
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2012,57.1,84.4
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2012,51.8,64.5
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2012,57.6,77.8
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2012,54.5,73.9
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2012,53,65
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2012,NA,NA
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2012,55.8,82.6
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2012,58.5,83.3
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2012,61,100
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2012,51.9,61.1
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2012,59.5,87.3
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2012,57.5,82.9
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2012,56.2,88.2
0516,01,ROUND LAKE PUBLIC SCHOOL DISTRICT,2012,NA,NA
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2012,49.9,62.4
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2012,60.9,91.7
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2012,56.6,84.4
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2012,57.4,84.1
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2012,57.8,81.1
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2012,59.6,90
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2012,54.9,73.4
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2012,60.2,94.4
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2012,57.9,84.6
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2012,52.1,66.7
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2012,58.7,87.9
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2012,59.1,81.4
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2012,57,80
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2012,NA,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2012,54.8,73.8
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2012,52.9,74.4
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2012,57.6,78.3
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2012,56.8,85.7
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2012,NA,NA
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2012,50.6,61.1
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2012,55.5,84.2
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2012,53.6,73.3
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2012,58,86.4
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2012,59.7,92
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2012,60.9,89.9
0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,2012,54.3,76.2
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2012,56.8,78.4
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2012,58,82.4
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2012,49.8,60.8
0627,01,OKLEE PUBLIC SCHOOL DISTRICT,2012,54.4,81
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2012,57.5,89.3
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2012,57.7,89.5
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2012,53.1,70.4
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2012,59.2,82.6
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2012,54,86.4
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2012,59,82.4
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2012,56,84.4
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2012,54.9,80.5
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2012,55,76.2
0696,01,ELY PUBLIC SCHOOL DISTRICT,2012,53,74.4
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2012,54.1,68.2
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2012,57.4,83.2
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2012,56.9,79.9
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2012,55.9,80.3
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2012,58.5,91.3
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2012,56.8,80.2
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2012,55.8,80
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2012,54.1,75
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2012,58,85.7
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2012,58.5,87.2
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2012,55.9,77.8
0721,01,NEW PRAGUE AREA SCHOOLS,2012,59,86.7
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2012,57.5,85.3
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2012,57,83.6
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2012,58,87.2
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2012,61.1,91.9
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2012,56.2,82.6
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2012,57,83.2
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2012,58.2,88.6
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2012,53,69.7
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2012,59.1,85.7
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2012,58.4,92.3
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2012,59.9,88.3
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2012,58.3,92.3
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2012,57,90.9
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2012,57.4,83.8
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2012,59.2,77.4
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2012,57.6,93.8
0769,01,MORRIS PUBLIC SCHOOL DISTRICT,2012,59.7,93.8
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2012,57.8,80
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2012,56.5,85.4
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2012,56.7,79.7
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2012,54.6,76.5
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2012,60.3,88.2
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2012,57.2,83.3
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2012,55.4,81.3
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2012,58.8,95.2
