Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
9-Aug,45,Marshall,2856,1,STEPHEN-ARGYLE CENTRAL SCHOOLS,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,24,20,4,83.3,16.7,56,7.5,21.4,3.1,7.7,1.6,52.9-59.1,0,0,0,0,0,0,0,25,359,9,Y,45,Marshall,0
9-Aug,43,McLeod,2859,1,GLENCOE-SILVER LAKE SCHOOL DISTRICT,0,All Schools,6,06E,GRAD,20090413,10,R,1,All Categories,All Students,N,146,105,41,71.9,28.1,55.2,7,20.7,3,11.5,1,53.3-57.1,0,0,0,1,0,0,0,146,1607,9,Y,43,McLeod,0
9-Aug,22,Faribault,2860,1,BLUE EARTH AREA PUBLIC SCHOOL,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,97,81,16,83.5,16.5,57.6,7.4,21.4,3.1,12.3,1.3,55.1-60.1,0,0,0,0,0,0,0,102,1210,9,Y,22,Faribault,0
9-Aug,17,Cottonwood,2884,1,RED ROCK CENTRAL SCHOOL DISTRICT,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,38,31,7,81.6,18.4,55.9,6.9,21,2.9,12.6,2,51.9-59.9,0,0,0,0,0,0,0,37,466,9,Y,17,Cottonwood,0
9-Aug,24,Freeborn,2886,1,GLENVILLE-EMMONS SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20090413,10,R,1,All Categories,All Students,N,29,18,11,62.1,37.9,50.4,6.4,18.8,2.8,13,2.4,45.7-55.1,0,0,0,0,0,0,0,32,342,9,Y,24,Freeborn,0
9-Aug,43,McLeod,2887,1,MCLEOD WEST PUBLIC SCHOOL DISTRICT,0,All Schools,6,06E,GRAD,20090413,10,R,1,All Categories,All Students,N,16,11,5,68.8,31.3,52.3,6.9,19.4,2.7,11.1,2.8,46.8-57.8,0,0,0,0,0,0,0,17,241,9,Y,43,McLeod,0
9-Aug,6,Big Stone,2888,1,CLINTON-GRACEVILLE-BEARDSLEY,0,All Schools,6,06W,GRAD,20090413,10,R,1,All Categories,All Students,N,33,23,10,69.7,30.3,53.3,6.9,20.2,2.9,9.2,1.6,50.2-56.4,0,0,0,0,0,0,0,34,372,9,Y,6,Big Stone,0
9-Aug,3,Becker,2889,1,LAKE PARK AUDUBON SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20090413,10,R,1,All Categories,All Students,N,42,28,14,66.7,33.3,53,7.3,19.8,2.8,10.3,1.6,49.9-56.1,0,0,0,0,0,0,0,48,612,9,Y,3,Becker,0
9-Aug,65,Renville,2890,1,RENVILLE COUNTY WEST SCHOOL DIST.,0,All Schools,6,06E,GRAD,20090413,10,R,1,All Categories,All Students,N,37,23,14,62.2,37.8,54.5,6.2,20.4,2.9,15,2.5,49.7-59.3,0,0,0,0,0,0,0,48,577,9,Y,65,Renville,0
9-Aug,32,Jackson,2895,1,JACKSON COUNTY CENTRAL SCHOOL DIST.,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,88,79,9,89.8,10.2,60.7,7.8,22.5,3.1,11.9,1.3,58.2-63.2,0,0,0,0,0,0,0,95,1128,9,Y,32,Jackson,0
