districtNumber,districtType,districtName,year,averageScore,percentPassed
0500,01,Southland Public School District,2011,51.5,59.4
0505,01,Fulda Public School District,2011,52.8,61.9
0507,01,Nicollet Public School District,2011,57.3,77.8
0508,01,St. Peter Public School District,2011,52.6,68.4
0511,01,Adrian Public School District,2011,53.8,65.2
0514,01,Ellsworth Public School District,2011,56.1,72.2
0516,01,Round Lake Public School District,2011,55.3,76.9
0518,01,Worthington Public School District,2011,46.9,45.7
0531,01,Byron Public School District,2011,59.1,81
0533,01,Dover-Eyota Public School District,2011,57.1,71.6
0534,01,Stewartville Public School District,2011,54.1,64.9
0535,01,Rochester Public School District,2011,55.1,67.9
0542,01,Battle Lake Public School District,2011,53.1,61.1
0544,01,Fergus Falls Public School District,2011,49.8,52.9
0545,01,Henning Public School District,2011,51.5,65.5
0547,01,Parkers Prairie Public School Dist.,2011,53.7,55.6
0548,01,Pelican Rapids Public School Dist.,2011,50.2,49.3
0549,01,Perham-Dent Public School District,2011,54.9,70.8
0550,01,Underwood Public School District,2011,52.6,54.8
0553,01,New York Mills Public School Dist.,2011,55.8,76.9
0561,01,Goodridge Public School District,2011,43.6,27.8
0564,01,Thief River Falls School District,2011,51.4,55.9
0577,01,Willow River Public School District,2011,47.6,37.5
0578,01,Pine City Public School District,2011,53.9,62.7
0581,01,Edgerton Public School District,2011,50,65.4
0592,01,Climax-Shelly Public Schools,2011,52.5,60
0593,01,Crookston Public School District,2011,51.8,58.2
0595,01,East Grand Forks Public School Dist,2011,50.3,51.2
0599,01,Fertile-Beltrami School District,2011,56.6,80
0600,01,Fisher Public School District,2011,55.3,69.6
0601,01,Fosston Public School District,2011,47.8,47.1
0621,01,Mounds View Public School District,2011,59.6,78.9
0622,01,North St Paul-Maplewood School Dist,2011,51.2,55.3
0623,01,Roseville Public School District,2011,52.6,60.1
0624,01,White Bear Lake School District,2011,56.3,71.4
0625,01,St. Paul Public School District,2011,44.2,35.5
0627,01,Oklee Public School District,2011,49.2,47.4
0630,01,Red Lake Falls Public School Dist.,2011,52.2,52
0640,01,Wabasso Public School District,2011,55.4,63.4
0656,01,Faribault Public School District,2011,54.3,64.6
0659,01,Northfield Public School District,2011,55.9,74.2
