districtNumber,districtType,districtName,year,averageScore,percentPassed
6012,61,Zumbro Education District,2013,39.2,21.1
6013,61,Hiawatha Valley Ed. District,2013,40.7,18.2
6014,61,Runestone Area Ed. District,2013,46.1,42.9
6018,61,Mn River Valley Education District,2013,34.9,0
6026,61,West Central Education District,2013,40.4,33.3
6027,61,Mn Valley Education District,2013,NA,NA
6049,61,River Bend Education District,2013,40.7,21.7
6051,61,Goodhue County Education  Dist.,2013,NA,NA
6065,62,Metropolitan Learning Alliance,2013,33.5,5.3
6069,62,West Metro Education Program,2013,44.3,44.4
6074,50,Central Minnesota Jt. Powers Dist.,2013,NA,NA
6076,50,Northland Learning Center,2013,33.9,10
6079,52,Rum River Special Education Coop,2013,NA,NA
6383,61,Benton-Stearns Ed. District,2013,NA,NA
6979,61,Mid State Education District,2013,NA,NA
0001,01,Aitkin Public School District,2012,52.4,61.6
0001,03,Minneapolis Public School Dist.,2012,45.5,38.3
0002,01,Hill City Public School District,2012,43.6,44.4
0004,01,Mcgregor Public School District,2012,45.3,40.6
0006,03,South St. Paul Public School Dist.,2012,51.5,56.1
0011,01,Anoka-Hennepin Public School Dist.,2012,52.3,58.4
0012,01,Centennial Public School District,2012,59.2,78.6
0013,01,Columbia Heights Public School Dist,2012,44.3,31.2
0014,01,Fridley Public School District,2012,49.7,47.6
0015,01,St. Francis Public School District,2012,49.8,50.9
0016,01,Spring Lake Park Public Schools,2012,51.7,54.4
0022,01,Detroit Lakes Public School Dist.,2012,52.3,58.2
0023,01,Frazee-Vergas Public School Dist.,2012,51.8,60.4
0031,01,Bemidji Public School District,2012,51.4,57.4
0032,01,Blackduck Public School District,2012,53,60.6
0036,01,Kelliher Public School District,2012,55.4,52.4
0038,01,Red Lake Public School District,2012,35.1,2.1
0047,01,Sauk Rapids-Rice Public Schools,2012,53.7,60.1
0051,01,Foley Public School District,2012,51.6,56.1
0075,01,St. Clair Public School District,2012,51.6,51.2
0077,01,Mankato Public School District,2012,54.7,67.8
0081,01,Comfrey Public School District,2012,NA,NA
0084,01,Sleepy Eye Public School District,2012,49.1,35.9
0085,01,Springfield Public School District,2012,53.5,58.5
0088,01,New Ulm Public School District,2012,52.7,60.6
0091,01,Barnum Public School District,2012,50.2,47.8
0093,01,Carlton Public School District,2012,49.1,42.9
0094,01,Cloquet Public School District,2012,52.7,58
0095,01,Cromwell-Wright Public Schools,2012,52.9,61.9
0097,01,Moose Lake Public School District,2012,50.4,54.7
0099,01,Esko Public School District,2012,57.4,74.7
0100,01,Wrenshall Public School District,2012,48.4,25.9
0108,01,Central Public School District,2012,53.4,65.2
0110,01,Waconia Public School District,2012,54.8,72.4
0111,01,Watertown-Mayer Public School Dist.,2012,52.4,56.1
0112,01,Eastern Carver County Public School,2012,55.9,74
0113,01,Walker-Hackensack-Akeley Schl. Dist,2012,49.9,56.4
0115,01,Cass Lake-Bena Public Schools,2012,45.5,31.9
0116,01,Pillager Public School District,2012,54.1,65.4
0118,01,Northland Community Schools,2012,45.9,46.2
0129,01,Montevideo Public School District,2012,51.4,51.5
0138,01,North Branch Public Schools,2012,53.2,58.1
0139,01,Rush City Public School District,2012,49.2,59.3
0146,01,Barnesville Public School Dist.,2012,50.7,44.2
0150,01,Hawley Public School District,2012,53.7,67.9
0152,01,Moorhead Public School District,2012,50.5,56.7
0160,70,Minnesota State Academies,2012,37.3,19
0162,01,Bagley Public School District,2012,47.2,42.6
0166,01,Cook County Public Schools,2012,54.1,60.4
0173,01,Mountain Lake Public Schools,2012,53.4,66.7
0177,01,Windom Public School District,2012,50.3,55.1
0181,01,Brainerd Public School District,2012,54.1,66.1
0182,01,Crosby-Ironton Public School Dist.,2012,50.5,56.7
0186,01,Pequot Lakes Public Schools,2012,52.1,62.7
0191,01,Burnsville Public School District,2012,51.4,52.6
0192,01,Farmington Public School District,2012,53.9,69.3
0194,01,Lakeville Public School District,2012,55.1,68.2
0195,01,Randolph Public School District,2012,51.4,52.1
0196,01,Rosemount-Apple Valley-Eagan,2012,56,70.7
0197,01,West St. Paul-Mendota Hts.-Eagan,2012,52.1,60.5
0199,01,Inver Grove Heights Schools,2012,53.8,58.9
0200,01,Hastings Public School District,2012,55.3,69.9
0203,01,Hayfield Public School District,2012,43.3,28.6
0204,01,Kasson-Mantorville School District,2012,58.5,84.7
0206,01,Alexandria Public School District,2012,57.2,70.9
0207,01,Brandon Public School District,2012,55.6,61.9
0213,01,Osakis Public School District,2012,56.9,71.4
0227,01,Chatfield Public Schools,2012,52.2,55.8
0229,01,Lanesboro Public School District,2012,48,36.4
0238,01,Mabel-Canton Public School Dist.,2012,51.7,61.9
0239,01,Rushford-Peterson Public Schools,2012,53.8,71.7
0241,01,Albert Lea Public School District,2012,48.8,49.1
0242,01,Alden-Conger Public School District,2012,50.9,55.6
0252,01,Cannon Falls Public School District,2012,51.1,54.8
0253,01,Goodhue Public School District,2012,49.6,54.3
0255,01,Pine Island Public School Dist.,2012,54.2,62.8
0256,01,Red Wing Public School District,2012,53.5,60.6
0261,01,Ashby Public School District,2012,58.3,71.4
0264,01,Herman-Norcross School District,2012,NA,NA
0270,01,Hopkins Public School District,2012,53.6,63
0271,01,Bloomington Public School District,2012,53.6,64.1
0272,01,Eden Prairie Public School District,2012,57.8,75.6
0273,01,Edina Public School District,2012,60.6,85.9
0276,01,Minnetonka Public School District,2012,60.5,83.2
0277,01,Westonka Public School District,2012,58.2,80.4
0278,01,Orono Public School District,2012,59.6,82.2
0279,01,Osseo Public School District,2012,50.9,54.2
0280,01,Richfield Public School District,2012,45.6,35.9
0281,01,Robbinsdale Public School District,2012,48.6,46.1
0282,01,St. Anthony-New Brighton Schools,2012,54.9,66.1
0283,01,St. Louis Park Public School Dist.,2012,51.5,60.4
0284,01,Wayzata Public School District,2012,59.4,78.8
0286,01,Brooklyn Center School District,2012,42.8,27.1
0287,06,Intermediate School District 287,2012,36,8.8
0294,01,Houston Public School District,2012,48,44.4
0297,01,Spring Grove School District,2012,50,59.1
0299,01,Caledonia Public School District,2012,52.4,61.4
0300,01,La Crescent-Hokah School District,2012,55,64.8
0306,01,Laporte Public School District,2012,47.4,21.4
0308,01,Nevis Public School District,2012,50.4,62.5
0309,01,Park Rapids Public School District,2012,50.1,60.4
0314,01,Braham Public School District,2012,50,40
0316,01,Greenway Public School District,2012,50,40.8
0317,01,Deer River Public School District,2012,52.4,61.5
0318,01,Grand Rapids Public School District,2012,50.3,49.7
0319,01,Nashwauk-Keewatin School District,2012,45.5,34.9
0330,01,Heron Lake-Okabena School District,2012,46.8,41
0332,01,Mora Public School District,2012,48.9,47.7
0333,01,Ogilvie Public School District,2012,52.6,69.2
0345,01,New London-Spicer School District,2012,54.1,60.6
0347,01,Willmar Public School District,2012,46.9,42.1
0356,01,Lancaster Public School District,2012,43.5,20
0361,01,International Falls School District,2012,53.8,60.9
0362,01,Littlefork-Big Falls School Dist.,2012,53.5,53.3
0363,01,South Koochiching School District,2012,51.1,59.5
0378,01,Dawson-Boyd Public School District,2012,51.9,59.3
0381,01,Lake Superior Public School Dist.,2012,53,58.4
0390,01,Lake Of The Woods School District,2012,55.4,65.8
0391,01,Cleveland Public School District,2012,50.7,63.9
0402,01,Hendricks Public School District,2012,NA,NA
0403,01,Ivanhoe Public School District,2012,49.7,66.7
0413,01,Marshall Public School District,2012,50.4,53
0414,01,Minneota Public School District,2012,52.1,56.7
0423,01,Hutchinson Public School District,2012,53.7,64.8
0424,01,Lester Prairie Public School Dist.,2012,44.6,39.3
0432,01,Mahnomen Public School District,2012,49.2,51.1
0435,01,Waubun-Ogema-White Earth Public Sch,2012,47.2,41.4
0441,01,Marshall County Central Schools,2012,47,30
0447,01,Grygla Public School District,2012,50.2,41.2
0458,01,Truman Public School District,2012,43.9,34.4
0463,01,Eden Valley-Watkins School District,2012,58.2,79.3
0465,01,Litchfield Public School District,2012,51.9,57.1
0466,01,Dassel-Cokato Public School Dist.,2012,54,66
0473,01,Isle Public School District,2012,49.5,43.8
0477,01,Princeton Public School District,2012,50.5,49.5
0480,01,Onamia Public School District,2012,51.8,56.8
0482,01,Little Falls Public School District,2012,49.9,51.2
0484,01,Pierz Public School District,2012,50.7,53.2
0485,01,Royalton Public School District,2012,51.4,50
0486,01,Swanville Public School District,2012,51.5,57.7
0487,01,Upsala Public School District,2012,53.1,56.7
0492,01,Austin Public School District,2012,47.7,48.6
0495,01,Grand Meadow Public School District,2012,44.1,26.7
0497,01,Lyle Public School District,2012,49.6,57.1
0499,01,Leroy-Ostrander Public Schools,2012,52.9,62.5
0500,01,Southland Public School District,2012,54.1,66.7
0505,01,Fulda Public School District,2012,56.1,73.3
0507,01,Nicollet Public School District,2012,56.5,59.3
0508,01,St. Peter Public School District,2012,52.7,63.4
0511,01,Adrian Public School District,2012,58.3,88.4
0514,01,Ellsworth Public School District,2012,47.1,60
0516,01,Round Lake Public School District,2012,52.5,41.2
0518,01,Worthington Public School District,2012,46.5,42
0531,01,Byron Public School District,2012,56.1,70.5
0533,01,Dover-Eyota Public School District,2012,59.4,80.5
0534,01,Stewartville Public School District,2012,55,74
0535,01,Rochester Public School District,2012,53.3,62
0542,01,Battle Lake Public School District,2012,53.7,67.6
0544,01,Fergus Falls Public School District,2012,50.2,52.8
0545,01,Henning Public School District,2012,56.4,66.7
0547,01,Parkers Prairie Public School Dist.,2012,52,54.8
0548,01,Pelican Rapids Public School Dist.,2012,47.9,47.2
0549,01,Perham-Dent Public School District,2012,51.4,58
0550,01,Underwood Public School District,2012,53.5,67.5
0553,01,New York Mills Public School Dist.,2012,56,72.5
0561,01,Goodridge Public School District,2012,NA,NA
0564,01,Thief River Falls School District,2012,53,63.1
0577,01,Willow River Public School District,2012,44.2,32.1
0578,01,Pine City Public School District,2012,52.2,57.8
0581,01,Edgerton Public School District,2012,56.4,63.3
0592,01,Climax-Shelly Public Schools,2012,51.6,43.8
0593,01,Crookston Public School District,2012,49.1,50.5
0595,01,East Grand Forks Public School Dist,2012,50,54.6
0599,01,Fertile-Beltrami School District,2012,52.9,64.5
0600,01,Fisher Public School District,2012,56.4,76.5
0601,01,Fosston Public School District,2012,50.2,51.1
0621,01,Mounds View Public School District,2012,57.8,73.9
0622,01,North St Paul-Maplewood School Dist,2012,51.3,57
0623,01,Roseville Public School District,2012,52.9,59.3
0624,01,White Bear Lake School District,2012,53.7,64.8
0625,01,St. Paul Public School District,2012,45.3,36.6
0627,01,Oklee Public School District,2012,48.6,40
0630,01,Red Lake Falls Public School Dist.,2012,50.4,66.7
0640,01,Wabasso Public School District,2012,56.5,68.3
0656,01,Faribault Public School District,2012,52.3,60.7
0659,01,Northfield Public School District,2012,54.7,63.9
0671,01,Hills-Beaver Creek School District,2012,45.9,45.8
0676,01,Badger Public School District,2012,52.9,62.5
0682,01,Roseau Public School District,2012,54.1,60.2
0690,01,Warroad Public School District,2012,49.9,52.6
0695,01,Chisholm Public School District,2012,49,46.2
0696,01,Ely Public School District,2012,45.9,30.2
0698,01,Floodwood Public School District,2012,44.9,44.4
0700,01,Hermantown Public School District,2012,53.3,61.2
0701,01,Hibbing Public School District,2012,53.6,67.8
0704,01,Proctor Public School District,2012,48.5,44.4
0706,01,Virginia Public School District,2012,52.5,62
0709,01,Duluth Public School District,2012,50.6,51.8
0712,01,Mountain Iron-Buhl School District,2012,46.1,33.3
0716,01,Belle Plaine Public School District,2012,50.1,51
0717,01,Jordan Public School District,2012,50,52.4
0719,01,Prior Lake-Savage Area Schools,2012,56.1,70.5
0720,01,Shakopee Public School District,2012,52.7,62
0721,01,New Prague Area Schools,2012,52.9,61.8
0726,01,Becker Public School District,2012,54.3,62.8
0727,01,Big Lake Public School District,2012,52.8,58.9
0728,01,Elk River Public School District,2012,54.2,67.3
0738,01,Holdingford Public School District,2012,51.6,55.8
0739,01,Kimball Public School District,2012,47.2,46.8
0740,01,Melrose Public School District,2012,55.4,74.5
0741,01,Paynesville Public School District,2012,56.1,64.7
0742,01,St. Cloud Public School District,2012,46.1,44.5
0743,01,Sauk Centre Public School District,2012,56.3,67
0745,01,Albany Public School District,2012,53.2,67.4
0748,01,Sartell-St. Stephen School District,2012,56,69.9
0750,01,Rocori Public School District,2012,56.8,74.1
0756,01,Blooming Prairie Public School Dist,2012,52.5,62.5
0761,01,Owatonna Public School District,2012,52.1,57.2
0763,01,Medford Public School District,2012,53.5,64.9
0768,01,Hancock Public School District,2012,58.3,72.7
0769,01,Morris Public School District,2012,54.6,66.7
0771,01,Chokio-Alberta Public School Dist.,2012,54.5,66.7
0775,01,Kerkhoven-Murdock-Sunburg,2012,48.6,48.4
0777,01,Benson Public School District,2012,53.4,56.5
0786,01,Bertha-Hewitt Public School Dist.,2012,47.8,56.3
0787,01,Browerville Public School District,2012,50.4,51.2
0803,01,Wheaton Area Public School District,2012,54.5,70.6
0811,01,Wabasha-Kellogg Public School Dist.,2012,53.2,64
0813,01,Lake City Public School District,2012,52.3,65.6
0818,01,Verndale Public School District,2012,51.1,53.6
0820,01,Sebeka Public School District,2012,53.6,58.8
0821,01,Menahga Public School District,2012,55,60.5
0829,01,Waseca Public School District,2012,51.5,57.7
0831,01,Forest Lake Public School District,2012,53.2,65.4
0832,01,Mahtomedi Public School District,2012,59.9,82.2
0833,01,South Washington County School Dist,2012,56.4,71.5
0834,01,Stillwater Area Public School Dist.,2012,56.9,72.4
0836,01,Butterfield Public School District,2012,43.8,10
0837,01,Madelia Public School District,2012,47.2,44.2
0840,01,St. James Public School District,2012,46.9,50.6
0846,01,Breckenridge Public School District,2012,49,45.9
0850,01,Rothsay Public School District,2012,44.9,35.7
0852,01,Campbell-Tintah Public School Dist.,2012,53.5,50
0857,01,Lewiston-Altura Public School Dist.,2012,50.5,53.4
0858,01,St. Charles Public School District,2012,51.4,62.7
0861,01,Winona Area Public School District,2012,47.3,42.4
0876,01,Annandale Public School District,2012,51.5,57.3
0877,01,Buffalo-Hanover-Montrose Public Sch,2012,53.1,65.5
0879,01,Delano Public School District,2012,58.7,77.5
0881,01,Maple Lake Public School District,2012,51.2,50.7
0882,01,Monticello Public School District,2012,54.6,64.9
0883,01,Rockford Public School District,2012,54.7,64.5
0885,01,St. Michael-Albertville School Dist,2012,57.6,75.4
0891,01,Canby Public School District,2012,49.9,48.9
0911,01,Cambridge-Isanti Public School Dist,2012,54.1,61.3
0912,01,Milaca Public School District,2012,49.2,43.8
0914,01,Ulen-Hitterdal Public School Dist,2012,56.2,72
0915,52,Southern Plains Education Coop.,2012,35,16.7
0916,06,Northeast Metro 916,2012,33.2,4.8
0917,06,Intermediate School District 917,2012,37.4,10.3
0926,83,Region 4-Lakes Country Service Coop,2012,36.6,8.3
0930,53,Carver-Scott Educational Coop.,2012,34.9,3.9
0938,52,Meeker And Wright Special Education,2012,NA,NA
0957,51,Oak Land Vocational Cooperatve,2012,38,11.1
0966,51,Wright Technical Center,2012,37,2.8
0991,83,Regn 6 And 8-Sw/Wc Srv Cooperative,2012,35.2,5.3
0993,52,Mn River Valley Special Ed. Coop.,2012,NA,NA
1000,70,Perpich Center For Arts Education,2012,54.3,69.6
2071,01,Lake Crystal-Wellcome Memorial,2012,50.9,58.5
2125,01,Triton School District,2012,51.1,50.7
2134,01,United South Central School Dist.,2012,54.8,70.8
2135,01,Maple River School District,2012,53.4,57.3
2137,01,Kingsland Public School District,2012,47.6,45.8
2142,01,St. Louis County School District,2012,45.1,33.3
2143,01,Waterville-Elysian-Morristown,2012,55.3,70.2
2144,01,Chisago Lakes School District,2012,58,77
2149,01,Minnewaska School District,2012,52.2,59.7
2154,01,Eveleth-Gilbert School District,2012,49.3,53.7
2155,01,Wadena-Deer Creek School District,2012,51.4,55.4
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2012,51.4,57.1
2164,01,Dilworth-Glyndon-Felton,2012,54.5,68.5
2165,01,Hinckley-Finlayson School District,2012,47.3,48.6
2167,01,Lakeview School District,2012,53,68.8
2168,01,Nrheg School District,2012,53.7,66.2
2169,01,Murray County Central School Dist.,2012,53.8,69.8
2170,01,Staples-Motley School District,2012,49,49.5
2171,01,Kittson Central School District,2012,63,92
2172,01,Kenyon-Wanamingo School District,2012,55.6,61.3
2174,01,Pine River-Backus School District,2012,46.3,38.4
2176,01,Warren-Alvarado-Oslo School Dist.,2012,50.6,50
2180,01,M.a.c.c.r.a.y. School District,2012,48.3,42.1
2184,01,Luverne Public School District,2012,55.5,75.4
2190,01,Yellow Medicine East,2012,45.7,34.8
2198,01,Fillmore Central,2012,49.4,47.4
2215,01,Norman County East School District,2012,51.2,52.6
2310,01,Sibley East School District,2012,50,50
2311,01,Clearbrook-Gonvick School District,2012,50.7,43.6
2342,01,West Central Area,2012,57.6,73.1
2358,01,Tri-County School District,2012,51.3,44.4
2364,01,Belgrade-Brooten-Elrosa School Dist,2012,53.9,66.7
2365,01,G.f.w.,2012,50.9,50.6
2396,01,A.c.g.c.,2012,53.2,61.1
2397,01,Le Sueur-Henderson School District,2012,48.9,47.1
2448,01,Martin County West School District,2012,50.7,49.1
2527,01,Norman County West School District,2012,56.8,73.3
2534,01,Bird Island-Olivia-Lake Lillian,2012,55.3,74
2536,01,Granada Huntley-East Chain,2012,53.4,44.4
2580,01,East Central School District,2012,46.8,35.6
2609,01,Win-E-Mac School District,2012,56.4,68.2
2683,01,Greenbush-Middle River School Dist.,2012,54.9,71.1
2687,01,Howard Lake-Waverly-Winsted,2012,53.1,67.1
2689,01,Pipestone Area School District,2012,48,52.1
2711,01,Mesabi East School District,2012,47.1,38.3
2752,01,Fairmont Area School District,2012,55.5,73.1
2753,01,Long Prairie-Grey Eagle School Dist,2012,51.7,63.2
2754,01,Cedar Mountain School District,2012,46.7,36.4
2759,01,Eagle Valley Public School District,2012,NA,NA
2805,01,Zumbrota-Mazeppa School District,2012,53.8,63.2
2835,01,Janesville-Waldorf-Pemberton,2012,46.9,43.8
2853,01,Lac Qui Parle Valley School Dist.,2012,51.1,47.9
2854,01,Ada-Borup Public School District,2012,52.4,56.4
2856,01,Stephen-Argyle Central Schools,2012,49.3,51.9
2859,01,Glencoe-Silver Lake School District,2012,52,56.9
2860,01,Blue Earth Area Public School,2012,55.8,72.2
2884,01,Red Rock Central School District,2012,53.1,67.6
2886,01,Glenville-Emmons School District,2012,48.7,48.5
2888,01,Clinton-Graceville-Beardsley,2012,47.4,38.5
2889,01,Lake Park Audubon School District,2012,50.7,50
2890,01,Renville County West School Dist.,2012,51.3,60
2895,01,Jackson County Central School Dist.,2012,50,52.1
2897,01,Redwood Area School District,2012,46.4,36.8
2898,01,Westbrook-Walnut Grove Schools,2012,48,44.4
2899,01,Plainview-Elgin-Millville,2012,54.8,63.3
2902,01,Rtr Public Schools,2012,51.2,68.4
2903,01,Ortonville Public Schools,2012,53,66.7
2904,01,Tracy Area Public School District,2012,54.1,59
2905,01,Tri-City United School District,2012,NA,NA
4000,07,City Academy,2012,28.7,7.7
4003,07,"New Heights School, Inc.",2012,41.3,33.3
4005,07,Metro Deaf School,2012,NA,NA
4007,07,Minnesota New Country School,2012,37.7,9.1
4008,07,Pact Charter School,2012,51,54.2
4015,07,Community Of Peace Academy,2012,45.1,31.7
4017,07,Minnesota Transitions Charter Sch,2012,41.6,26.1
4025,07,Cyber Village Academy,2012,NA,NA
4026,07,E.c.h.o. Charter School,2012,46.5,38.5
4027,07,Higher Ground Academy,2012,52.5,66.7
4031,07,Jennings Community Learning Center,2012,NA,NA
4036,07,Face To Face Academy,2012,49.4,61.5
4039,07,High School For Recording Arts,2012,35.7,14.3
4043,07,Math And Science Academy,2012,59.6,89.3
4049,07,Northwest Passage High School,2012,39.3,15.6
4053,07,North Lakes Academy,2012,47,37.5
4056,07,Rochester Off-Campus Charter High,2012,41.5,7.1
4057,07,El Colegio Charter School,2012,NA,NA
4064,07,Riverway Learning Community Chtr,2012,NA,NA
4066,07,Riverbend Academy,2012,NA,NA
4074,07,Afsa High School,2012,48.8,40.7
4075,07,Avalon School,2012,45,38.2
4080,07,Pillager Area Charter School,2012,37.8,16.7
4081,07,Discovery Public School Faribault,2012,NA,NA
4082,07,Bluesky Charter School,2012,37.9,17
4085,07,Harbor City International Charter,2012,53.5,54.3
4087,07,Sage Academy Charter School,2012,38.9,16.7
4091,07,Arcadia Charter School,2012,48.5,46.2
4092,07,Watershed High School,2012,43.7,25
4093,07,New Century Charter School,2012,47.5,34.8
4095,07,Trio Wolf Creek Distance Learning,2012,40.4,5.4
4098,07,Nova Classical Academy,2012,63.5,85.7
4102,07,Minnesota Internship Center,2012,22.5,0
4103,07,Hmong College Prep Academy,2012,45.6,37.7
4104,07,Paladin Academy,2012,44.6,20
4105,07,Great River School,2012,52.6,61.5
4106,07,Treknorth High School,2012,49.2,53.1
4107,07,Voyageurs Expeditionary,2012,38.1,18.8
4109,07,Sobriety High,2012,38,0
4110,07,Main Street School Performing Arts,2012,50.4,48.1
4111,07,Augsburg Fairview Academy,2012,37.1,7.1
4112,07,St Paul Conservatory Performing Art,2012,55,72.6
4119,07,Academic Arts High School,2012,33.5,6.3
4120,07,St. Croix Preparatory Academy,2012,56.4,80
4121,07,Ubah Medical Academy Charter School,2012,45.3,31.6
4122,07,Eagle Ridge Academy Charter School,2012,63.3,93.3
4126,07,Prairie Seeds Academy,2012,40.4,19.6
4131,07,Metro Schools Charter,2012,37.4,22.7
4132,07,Twin Cities Academy High School,2012,57,65.4
4146,07,Northern Lights Community School,2012,40.5,10
4150,07,Minnesota Online High School,2012,39.8,20
4151,07,Edvisions Off Campus School,2012,32,0
4160,07,Spectrum High School,2012,55.8,78.6
4163,07,Learning For Leadership Charter,2012,NA,NA
4166,07,East Range Academy Of Tech-Science,2012,38.9,11.8
4173,07,Metro Tech Academy,2012,38,20
4177,07,Minisinaakwaang Leadership Academy,2012,NA,NA
4178,07,Lincoln International School,2012,30.9,0
4183,07,Lionsgate Academy,2012,42.4,25
4190,07,Rivers Edge Academy,2012,38.4,6.7
4200,07,Step Academy Charter School,2012,38.9,18.2
4204,07,Rochester Stem Academy,2012,NA,NA
6004,61,Freshwater Ed. Dist.,2012,38.1,4.8
6012,61,Zumbro Education District,2012,36.7,12.5
6013,61,Hiawatha Valley Ed. District,2012,40.9,11.8
6014,61,Runestone Area Ed. District,2012,38.4,20
6018,61,Mn River Valley Education District,2012,37.9,0
6026,61,West Central Education District,2012,NA,NA
6027,61,Mn Valley Education District,2012,NA,NA
6049,61,River Bend Education District,2012,36.3,4.2
6051,61,Goodhue County Education  Dist.,2012,NA,NA
6065,62,Metropolitan Learning Alliance,2012,36.9,11.8
6069,62,West Metro Education Program,2012,42.5,26.1
6074,50,Central Minnesota Jt. Powers Dist.,2012,NA,NA
6076,50,Northland Learning Center,2012,NA,NA
6079,52,Rum River Special Education Coop,2012,NA,NA
6383,61,Benton-Stearns Ed. District,2012,NA,NA
6979,61,Mid State Education District,2012,NA,NA
0001,01,Aitkin Public School District,2011,54.8,62.9
0001,03,Minneapolis Public School Dist.,2011,46.4,42.3
0002,01,Hill City Public School District,2011,52.9,62.5
0004,01,Mcgregor Public School District,2011,46.3,38.7
0006,03,South St. Paul Public School Dist.,2011,53.4,62.9
0011,01,Anoka-Hennepin Public School Dist.,2011,52.2,58.4
0012,01,Centennial Public School District,2011,60,84.2
0013,01,Columbia Heights Public School Dist,2011,46.5,44
0014,01,Fridley Public School District,2011,47.9,45.2
0015,01,St. Francis Public School District,2011,53.2,64.1
0016,01,Spring Lake Park Public Schools,2011,50.8,52.8
0022,01,Detroit Lakes Public School Dist.,2011,53.6,63.1
0023,01,Frazee-Vergas Public School Dist.,2011,49.3,51.1
0031,01,Bemidji Public School District,2011,52.2,56.6
0032,01,Blackduck Public School District,2011,49.8,46.9
0036,01,Kelliher Public School District,2011,56.3,76.9
0038,01,Red Lake Public School District,2011,31,0
0047,01,Sauk Rapids-Rice Public Schools,2011,52.3,59.2
0051,01,Foley Public School District,2011,49.9,51.5
0075,01,St. Clair Public School District,2011,49.7,45.5
0077,01,Mankato Public School District,2011,54.1,65.6
0081,01,Comfrey Public School District,2011,48.3,46.2
0084,01,Sleepy Eye Public School District,2011,47.8,46.2
0085,01,Springfield Public School District,2011,54,63.4
0088,01,New Ulm Public School District,2011,55.1,64.8
0091,01,Barnum Public School District,2011,52,59.5
0093,01,Carlton Public School District,2011,43.3,25
0094,01,Cloquet Public School District,2011,51.3,56.9
0095,01,Cromwell-Wright Public Schools,2011,53.3,76.5
0097,01,Moose Lake Public School District,2011,54.7,62.7
0099,01,Esko Public School District,2011,56.3,78.2
0100,01,Wrenshall Public School District,2011,46.7,43.8
0108,01,Central Public School District,2011,57.8,73.3
0110,01,Waconia Public School District,2011,54.3,70.1
0111,01,Watertown-Mayer Public School Dist.,2011,55.5,75.7
0112,01,Eastern Carver County Public School,2011,55.2,71.4
0113,01,Walker-Hackensack-Akeley Schl. Dist,2011,46.8,37.5
0115,01,Cass Lake-Bena Public Schools,2011,44.3,35.7
0116,01,Pillager Public School District,2011,57.1,82.4
0118,01,Northland Community Schools,2011,45.8,50
0129,01,Montevideo Public School District,2011,53.8,67
0138,01,North Branch Public Schools,2011,53.2,60.4
0139,01,Rush City Public School District,2011,50.4,48.6
0146,01,Barnesville Public School Dist.,2011,52.9,51
0150,01,Hawley Public School District,2011,55.5,69.6
0152,01,Moorhead Public School District,2011,52.4,58.5
0160,70,Minnesota State Academies,2011,44.9,60
0162,01,Bagley Public School District,2011,49.3,41.4
0166,01,Cook County Public Schools,2011,48.9,51.4
0173,01,Mountain Lake Public Schools,2011,47.6,40
0177,01,Windom Public School District,2011,54.1,63.2
0181,01,Brainerd Public School District,2011,54.7,66.8
0182,01,Crosby-Ironton Public School Dist.,2011,48.9,50.6
0186,01,Pequot Lakes Public Schools,2011,53.2,65.9
0191,01,Burnsville Public School District,2011,51.6,57.8
0192,01,Farmington Public School District,2011,51.5,57.7
0194,01,Lakeville Public School District,2011,57,77.2
0195,01,Randolph Public School District,2011,51.2,53.7
0196,01,Rosemount-Apple Valley-Eagan,2011,56.9,74.4
0197,01,West St. Paul-Mendota Hts.-Eagan,2011,51.8,61.6
0199,01,Inver Grove Heights Schools,2011,55.3,70.7
0200,01,Hastings Public School District,2011,56.1,71.5
0203,01,Hayfield Public School District,2011,50.5,53.1
0204,01,Kasson-Mantorville School District,2011,57.4,77.5
0206,01,Alexandria Public School District,2011,57.3,78.9
0207,01,Brandon Public School District,2011,53.9,56.3
0213,01,Osakis Public School District,2011,56.2,72
0227,01,Chatfield Public Schools,2011,49.9,53
0229,01,Lanesboro Public School District,2011,52,57.1
0238,01,Mabel-Canton Public School Dist.,2011,56.8,76.2
0239,01,Rushford-Peterson Public Schools,2011,57.4,78.4
0241,01,Albert Lea Public School District,2011,50.9,52.4
0242,01,Alden-Conger Public School District,2011,51.2,45.8
0252,01,Cannon Falls Public School District,2011,51.6,56.8
0253,01,Goodhue Public School District,2011,46.1,41.5
0255,01,Pine Island Public School Dist.,2011,54.1,63.4
0256,01,Red Wing Public School District,2011,53,62.4
0261,01,Ashby Public School District,2011,54.4,62.5
0264,01,Herman-Norcross School District,2011,NA,NA
0270,01,Hopkins Public School District,2011,52.2,57.8
0271,01,Bloomington Public School District,2011,53.5,63.6
0272,01,Eden Prairie Public School District,2011,57.6,75.9
0273,01,Edina Public School District,2011,61.6,85.4
0276,01,Minnetonka Public School District,2011,59.5,81.7
0277,01,Westonka Public School District,2011,59,78.8
0278,01,Orono Public School District,2011,57.1,78.6
0279,01,Osseo Public School District,2011,50.8,56.1
0280,01,Richfield Public School District,2011,47.3,45.1
0281,01,Robbinsdale Public School District,2011,48.6,49.6
0282,01,St. Anthony-New Brighton Schools,2011,58.4,79.8
0283,01,St. Louis Park Public School Dist.,2011,53.4,62.5
