districtNumber,districtType,districtName,year,percentEng
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2007,0.996557659208262
0297,01,SPRING GROVE SCHOOL DISTRICT,2007,0.997050147492625
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2007,0.998756218905473
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2007,1
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2007,1
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2007,0.99812382739212
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2007,0.99874843554443
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2007,0.986387434554974
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2007,0.999189627228525
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2007,1
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2007,0.991707696294377
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2007,1
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2007,0.853125
0332,01,MORA PUBLIC SCHOOL DISTRICT,2007,0.99946949602122
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2007,1
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2007,0.993730407523511
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2007,0.756284414651664
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2007,1
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2007,0.994672754946728
0362,01,LITTLEFORK-BIG FALLS SCHOOL DISTRICT,2007,0.988538681948424
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2007,0.997198879551821
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2007,0.99803536345776
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DISTRICT,2007,1
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2007,1
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2007,1
0397,52,LAKE AGASSIZ SPECIAL EDUCATION COOPERATIVE,2007,1
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2007,0.993827160493827
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2007,0.994117647058824
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2007,0.976608187134503
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2007,0.872135655362053
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2007,0.927312775330396
0415,01,LYND PUBLIC SCHOOL DISTRICT,2007,0.663793103448276
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2007,0.962862930452397
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DISTRICT,2007,0.920668058455115
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2007,1
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCHOOL,2007,0.998376623376623
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2007,1
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2007,1
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2007,0.968838526912181
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2007,0.996458087367178
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2007,0.950506186726659
0466,01,DASSEL-COKATO PUBLIC SCHOOL DISTRICT,2007,0.988286334056399
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2007,1
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2007,0.991637831603229
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2007,0.996119016817594
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2007,0.985021679148601
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2007,0.995150339476237
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2007,1
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2007,0.997361477572559
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2007,1
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2007,0.843104676002848
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2007,1
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2007,1
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2007,0.996845425867508
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2007,0.989425981873112
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2007,0.988372093023256
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2007,0.99
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2007,0.924002186987425
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2007,0.978787878787879
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2007,1
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2007,0.625117591721543
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2007,1
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2007,1
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2007,0.996080627099664
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2007,0.800349497597204
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2007,0.994392523364486
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2007,0.996130030959752
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2007,1
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DISTRICT,2007,0.989528795811518
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DISTRICT,2007,0.672022684310019
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2007,0.984888304862024
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2007,0.994082840236686
0553,01,NEW YORK MILLS PUBLIC SCHOOL DISTRICT,2007,1
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2007,1
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2007,0.932832080200501
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2007,0.995525727069351
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2007,0.998164014687883
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2007,0.976027397260274
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2007,0.947761194029851
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2007,0.878633720930233
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2007,0.967428571428571
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2007,0.995841995841996
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2007,0.966555183946488
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2007,0.995461422087746
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2007,0.940716102523968
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,2007,0.855949137148047
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2007,0.824952859836581
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2007,0.928160582227961
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2007,0.565647482014389
