fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hindi ,19,44,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Amharic,63,37,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Filipino, Pilipino",126,7,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kru,282,5,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Akan ,156,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Krahn,281,9,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Assyrian Neo-Aramaic,413,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Fang,229,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Thai,47,16,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Grebo,77,242,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Sapo,354,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Cantonese,108,2,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Swedish,46,4,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Serbian,128,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gola,243,2,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
