districtName,actCode,year,score
Onamia Ind School Dist 480,247498,2018,18.6
Orono Ind School District 278,247296,2018,25
Ortonville Ind Sch Dist 2903,247050,2018,19.6
Osakis Ind School District 213,247208,2018,21.9
Osseo Ind School District 279,247298,2018,19.9
Owatonna School Dist 761,247816,2018,20
Park Rapids Ind Sch Dist 309,247330,2018,19.5
Parkers Prairie Ind Sd 547,247582,2018,22.5
Paynesville Ind Sch Dist 741,247800,2018,18.9
Pelican Rapids Ind Sd 548,247584,2018,18.4
Pequot Lakes Ind Sch Dist 186,247166,2018,21.6
Perham-Dent Ind Sch Dist 549,247586,2018,20.6
Pierz School District 484,247508,2018,19.9
Pillager Ind School Dist 116,247108,2018,21.5
Pine City Sch District 578,247602,2018,20.4
Pine Island School Dist 255,247262,2018,22.1
Pine River-Backus Ind Sd 2174,247104,2018,20.3
Pipestone Area Sch Dist 2689,247614,2018,20.6
Plainview Elgin Millville Sd,247856,2018,20.7
Princeton Public Sch Dist 477,247500,2018,20.2
Prior Lake-Savage Area Sd 719,247766,2018,22.9
Proctor Ind School Dist 704,247748,2018,21.1
Randolph School District 195,247178,2018,21.1
Red Lake Co Central Isd 2906,247658,2018,16.6
Red Lake Falls Sch Dist 630,247662,2018,19.1
Red Lake Independent Sd 38,247036,2018,14.6
Red Rock Central Ind Sd 2884,247668,2018,21.2
Red Wing School District 256,247264,2018,20.8
Redwood Falls Sch Dist 2897,247674,2018,20.4
Renville Co West Sch Dist 2890,247698,2018,18.8
Richfield School District 280,247300,2018,18.3
Robbinsdale Ind Sch Dist 281,247302,2018,19.1
Rochester School District 535,247566,2018,22.3
Rockford School District 883,247918,2018,20.7
Rocori Ind Sch Dist 750,247808,2018,22.3
Roseau School District 682,247720,2018,20.8
Rosemount-Apple Vly-Eagan 196,247180,2018,23.1
Roseville Area Sch Dist 623,247652,2018,20.8
Rothsay School District 850,247896,2018,21
Royalton School District 485,247512,2018,21.5
Rush City Ind School Dist 139,247128,2018,20.3
Rushford-Peterson Isd 239,247240,2018,22.3
Russell Tyler Ruthton Sd 2902,247412,2018,21.3
Sartell-St Stephen Isd 748,247804,2018,23.2
Sauk Centre School Dist 743,247806,2018,20
Sauk Rapids-Rice Sch Dist 47,247042,2018,20.7
Sebeka Ind School District 820,247866,2018,20.1
Shakopee School District 720,247768,2018,21.2
Sibley East Ind Sch Dist 2310,247782,2018,20.7
Sleepy Eye School District 84,247068,2018,21
South Koochiching Sd 363,247382,2018,17.9
South St Paul Special Sd 6,247182,2018,20.5
South Washington Co Sd 833,247882,2018,22.4
Southland School District 500,247524,2018,19.9
Spring Grove School Dist 297,247322,2018,20.4
Spring Lake Park Sd 16,247018,2018,19.5
Springfield School District 85,247070,2018,21.6
St Anthony-New Brighton Sd 282,247304,2018,22.9
St Charles Ind School Dist 858,247900,2018,20.8
St Clair School District 75,247062,2018,21.3
St Cloud Ind Sch Dist 742,247802,2018,19.1
St James School District 840,247890,2018,17.6
St Louis Co Isd 2142,247756,2018,20.1
St Louis Park School Dist 283,247306,2018,21.6
St Michael-Albertville Sd 885,247916,2018,23.3
St Paul Independent Sd 625,247656,2018,18.1
St Peter Ind School Dist 508,247534,2018,21.8
Staples-Motley Isd 2170,247842,2018,19.8
Stephen-Argyle Central Sd 2856,247460,2018,21.1
Stewartville School Dist 534,247568,2018,21.7
Stillwater School Dist 834,247884,2018,23
Swanville School District 486,247504,2018,17.6
Thief River Falls Sd 564,247592,2018,20.1
Tracy Ind School District 2904,247428,2018,21
Tri-County Ind Sch Dist 2358,247372,2018,19.7
Triton Ind School Dist 2125,247192,2018,19.8
Truman School District 458,247474,2018,16.7
Ulen-Hitterdal Sch Dist 914,247142,2018,20.2
Underwood School District 550,247588,2018,21.7
United South Central Isd 2134,247222,2018,20.5
Upsala Area School Dist 487,247506,2018,17.4
Verndale Ind School Dist 818,247862,2018,17.9
Virginia Public Sch Dist 706,247752,2018,20.7
W St Paul-Mendota-Eagan Sd 197,247184,2018,21.2
Wabasha-Kellogg Isd 811,247858,2018,21.8
Wabasso School District 640,247678,2018,21.2
Waconia School District 110,247096,2018,23.1
Wadena-Deer Creek Sd 2155,247864,2018,19.7
Walker-Hackensack-Akeley 113,247112,2018,22
Warren-Alvarado-Oslo Sd 2176,247464,2018,19.3
Warroad School District 690,247722,2018,20
Waseca Public School Dist,247876,2018,21.3
Watertown-Mayer Sch Dist 111,247098,2018,21.2
Watrvle-Elysian-Mrstwn Sd 2143,247404,2018,19.1
Waubun-Ogema-White Earth Psd,247446,2018,19.3
Wayzata School District 284,247308,2018,25.6
West Central Area Sd 2342,247206,2018,20.4
Westbrook-Walnut Grove Sd 2898,247158,2018,19.3
Westonka Ind School Dist 277,247294,2018,24.1
Wheaton School District 803,247848,2018,20.9
White Bear Lake Area Isd 624,247654,2018,21.8
Willmar School District 347,247364,2018,18.7
Willow River School Dist 577,247606,2018,17.4
Win-E-Mac School Dist 2609,247632,2018,19.5
Windom School District 177,247160,2018,20
Winona Area Public School Dist,247902,2018,19.3
Worthington School Dist 518,247542,2018,18.7
Wrenshall School District 100,247088,2018,19.9
Wright School District 966,247920,2018,NA
