districtNumber,districtType,districtName,year,percentTakers
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2018,0.3108430145963658
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2018,0.29560336763330214
0199,01,INVER GROVE HEIGHTS SCHOOLS,2018,0.3234597156398104
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2018,0.3087557603686636
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2018,0.3224043715846995
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2018,0.29637526652452023
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2018,0.31216931216931215
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2018,0.29310344827586204
0227,01,CHATFIELD PUBLIC SCHOOLS,2018,0.3333333333333333
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2018,0.3968253968253968
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2018,0.3114754098360656
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2018,0.2348993288590604
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2018,0.29383313180169285
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2018,0.2857142857142857
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2018,0.34099616858237547
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2018,0.19863013698630136
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2018,0.3254901960784314
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2018,0.303886925795053
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2018,0.30434782608695654
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2018,0.3333333333333333
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2018,0.29148805878750766
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2018,0.2793168880455408
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2018,0.3094928478543563
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2018,0.3260340632603406
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2018,0.314874696847211
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2018,0.26380368098159507
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2018,0.33613445378151263
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2018,0.29917455204348703
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2018,0.2902519167579409
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2018,0.2897588255854596
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2018,0.3370998116760829
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2018,0.32594644506001846
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2018,0.33046202036021927
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2018,0.18614130434782608
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2018,0.11662198391420911
0297,01,SPRING GROVE SCHOOL DISTRICT,2018,0.2976190476190476
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2018,0.3181818181818182
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2018,0.29491525423728815
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2018,0.2830188679245283
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2018,0.31343283582089554
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2018,0.2471590909090909
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2018,0.3221476510067114
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2018,0.28879310344827586
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2018,0.26380368098159507
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2018,0.225
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2018,0.23846153846153847
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2018,0.4430379746835443
0332,01,MORA PUBLIC SCHOOL DISTRICT,2018,0.24296675191815856
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2018,0.18269230769230768
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2018,0.26006191950464397
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2018,0.27505112474437626
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2018,0.3684210526315789
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2018,0.3333333333333333
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2018,0.3116883116883117
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2018,0.25806451612903225
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2018,0.26356589147286824
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2018,0.25146198830409355
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2018,0.3404255319148936
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2018,0.29457364341085274
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2018,0.15625
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2018,0.28840579710144926
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2018,0.2986111111111111
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2018,0.265389876880985
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2018,0.3655913978494624
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2018,0.19285714285714287
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2018,0.22807017543859648
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2018,0.4125
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2018,0.20588235294117646
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2018,0.4594594594594595
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2018,0.31627906976744186
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2018,0.17784256559766765
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2018,0.28294573643410853
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2018,0.384
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2018,0.28797083839611176
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2018,0.2753623188405797
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2018,0.2012779552715655
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2018,0.24482758620689654
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2018,0.1736842105263158
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2018,0.28125
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2018,0.26136363636363635
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2018,0.25284339457567806
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2018,0.32
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2018,0.20967741935483872
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2018,0.3584905660377358
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2018,0.4132231404958678
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2018,0.32098765432098764
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2018,0.25609756097560976
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2018,0.2962962962962963
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2018,0.22972972972972974
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2018,0.15625
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2018,0.1868279569892473
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2018,0.324582338902148
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2018,0.2833333333333333
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2018,0.3
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2018,0.280688622754491
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2018,0.3185840707964602
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2018,0.23065693430656933
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2018,0.23529411764705882
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2018,0.23770491803278687
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2018,0.32160804020100503
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2018,0.2644628099173554
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2018,0.21818181818181817
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2018,0.2620689655172414
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2018,0.2222222222222222
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2018,0.30066815144766146
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2018,0.3269230769230769
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2018,0.2682926829268293
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2018,0.33766233766233766
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2018,0.25
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2018,0.2866666666666667
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2018,0.2909930715935335
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2018,0.2761904761904762
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2018,0.25
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2018,0.3416149068322981
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2018,0.3007142857142857
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2018,0.2791636096845194
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2018,0.29615384615384616
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2018,0.27532327586206895
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2018,0.26307506053268764
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2018,0.36
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2018,0.308411214953271
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2018,0.2538910505836576
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2018,0.29651162790697677
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2018,0.4142857142857143
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2018,0.36
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2018,0.34814814814814815
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2018,0.2384937238493724
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2018,0.22929936305732485
0696,01,ELY PUBLIC SCHOOL DISTRICT,2018,0.29770992366412213
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2018,0.28125
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2018,0.282
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2018,0.2309278350515464
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2018,0.23342175066312998
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2018,0.22839506172839505
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2018,0.2317790855590765
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2018,0.2857142857142857
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2018,0.29069767441860467
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2018,0.25245098039215685
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2018,0.3243110236220472
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2018,0.2992738589211618
0721,01,NEW PRAGUE AREA SCHOOLS,2018,0.29289940828402367
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2018,0.3092006033182504
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2018,0.35987748851454826
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2018,0.31040157998683343
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2018,0.3576923076923077
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2018,0.2122905027932961
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2018,0.26277372262773724
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2018,0.28888888888888886
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2018,0.21608231707317074
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2018,0.2623574144486692
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2018,0.2864450127877238
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2018,0.30385487528344673
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2018,0.2631578947368421
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2018,0.3008130081300813
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2018,0.3359307359307359
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2018,0.36097560975609755
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2018,0.19402985074626866
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2018,0.25
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2018,0.25892857142857145
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2018,0.2422680412371134
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2018,0.33962264150943394
