dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
00-01,0299,01,CALEDONIA,01,28,10,0,0,0,0,0,0,0,0,25,20,25,20,0,45,10
00-01,0299,01,CALEDONIA,02,28,10,0,0,0,0,1,0,0,1,32,33,33,34,2,67,10
00-01,0299,01,CALEDONIA,03,28,10,0,0,0,0,0,0,1,0,30,27,31,27,1,58,10
00-01,0299,01,CALEDONIA,04,28,10,0,1,0,0,0,1,1,0,33,23,34,25,3,59,10
00-01,0299,01,CALEDONIA,05,28,10,0,0,0,0,0,1,1,0,34,35,35,36,2,71,10
00-01,0299,01,CALEDONIA,06,28,10,0,0,0,0,0,0,1,0,36,27,37,27,1,64,10
00-01,0299,01,CALEDONIA,07,28,10,0,1,0,1,0,0,0,1,40,28,40,31,3,71,10
00-01,0299,01,CALEDONIA,08,28,10,0,0,0,0,0,0,0,0,37,30,37,30,0,67,10
00-01,0299,01,CALEDONIA,09,28,10,0,0,0,2,0,0,0,0,57,61,57,63,2,120,10
00-01,0299,01,CALEDONIA,10,28,10,0,1,0,0,0,0,0,0,67,48,67,49,1,116,10
00-01,0299,01,CALEDONIA,11,28,10,0,0,1,0,0,0,0,0,48,40,49,40,1,89,10
00-01,0299,01,CALEDONIA,12,28,10,0,1,1,0,1,0,0,0,59,54,61,55,3,116,10
00-01,0299,01,CALEDONIA,KG,28,10,0,0,0,0,0,0,0,0,19,39,19,39,0,58,10
00-01,0299,01,CALEDONIA,PK,28,10,0,0,0,0,0,0,0,0,5,3,5,3,0,8,10
00-01,0300,01,LACRESCENT-HOKAH,01,28,10,0,0,1,0,0,0,1,2,37,43,39,45,4,84,10
00-01,0300,01,LACRESCENT-HOKAH,02,28,10,0,0,0,2,0,2,1,0,44,57,45,61,5,106,10
00-01,0300,01,LACRESCENT-HOKAH,03,28,10,0,0,0,1,0,0,2,0,48,64,50,65,3,115,10
