DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,Total_Male,Total_Female,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,12,39,29,2,3,2,4,5,1,164,160,212,197,85,409,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,All Grades,486,416,27,24,40,33,46,42,2030,1801,2629,2316,1114,4945,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,EC,1,1,0,0,0,1,0,0,12,7,13,9,3,22,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,KG,2,2,1,0,1,1,1,1,18,26,23,30,9,53,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,01,1,2,0,0,1,0,2,0,15,22,19,24,6,43,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,02,2,0,0,0,0,1,0,0,25,20,27,21,3,48,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,03,2,1,0,0,2,0,1,1,23,19,28,21,7,49,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,04,3,1,0,0,1,0,0,0,26,18,30,19,5,49,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,05,1,1,0,0,1,0,0,0,20,21,22,22,3,44,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,06,5,0,1,0,0,0,0,0,25,17,31,17,6,48,District,EC-12,,,
