DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,06        ,0,0,0,0,0,0,0,0,12,5,12,5,0,17,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,07        ,1,0,0,0,0,0,0,0,13,9,14,9,1,23,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,08        ,0,0,0,0,0,0,0,0,7,12,7,12,0,19,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,09        ,0,0,0,0,0,0,0,0,17,19,17,19,0,36,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,10        ,1,0,0,0,0,0,0,1,10,7,11,8,2,19,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,11        ,0,0,0,0,0,0,0,0,11,8,11,8,0,19,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,12        ,0,0,0,0,0,0,0,0,12,8,12,8,0,20,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,All Grades,2,2,0,0,1,1,1,2,156,127,160,132,9,292,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,EC        ,1,0,0,0,0,0,0,0,3,3,4,3,1,7,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,KG        ,3,3,0,0,1,0,0,0,16,5,20,8,7,28,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,01        ,5,2,0,1,0,0,0,0,8,9,13,12,8,25,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,02        ,4,4,0,0,0,0,0,0,6,16,10,20,8,30,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,03        ,4,0,0,0,0,1,0,0,14,14,18,15,5,33,District,EC-12,  , ,  
