GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JSEE001,NAME_M,JSEM001
G2700710,2006-2010,,,Minnesota,27,Koochiching County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Koochiching County, Minnesota",1971,"Koochiching County, Minnesota",2
G2700730,2006-2010,,,Minnesota,27,Lac qui Parle County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lac qui Parle County, Minnesota",1949,"Lac qui Parle County, Minnesota",3
G2700750,2006-2010,,,Minnesota,27,Lake County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, Minnesota",1960,"Lake County, Minnesota",2
G2700770,2006-2010,,,Minnesota,27,Lake of the Woods County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake of the Woods County, Minnesota",1981,"Lake of the Woods County, Minnesota",3
G2700790,2006-2010,,,Minnesota,27,Le Sueur County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Le Sueur County, Minnesota",1972,"Le Sueur County, Minnesota",2
G2700810,2006-2010,,,Minnesota,27,Lincoln County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Minnesota",1953,"Lincoln County, Minnesota",2
G2700830,2006-2010,,,Minnesota,27,Lyon County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Minnesota",1966,"Lyon County, Minnesota",2
G2700850,2006-2010,,,Minnesota,27,McLeod County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McLeod County, Minnesota",1973,"McLeod County, Minnesota",1
G2700870,2006-2010,,,Minnesota,27,Mahnomen County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mahnomen County, Minnesota",1969,"Mahnomen County, Minnesota",3
G2700890,2006-2010,,,Minnesota,27,Marshall County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Minnesota",1965,"Marshall County, Minnesota",2
G2700910,2006-2010,,,Minnesota,27,Martin County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin County, Minnesota",1954,"Martin County, Minnesota",2
G2700930,2006-2010,,,Minnesota,27,Meeker County,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meeker County, Minnesota",1971,"Meeker County, Minnesota",2
G2700950,2006-2010,,,Minnesota,27,Mille Lacs County,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mille Lacs County, Minnesota",1978,"Mille Lacs County, Minnesota",2
G2700970,2006-2010,,,Minnesota,27,Morrison County,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morrison County, Minnesota",1974,"Morrison County, Minnesota",1
G2700990,2006-2010,,,Minnesota,27,Mower County,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mower County, Minnesota",1954,"Mower County, Minnesota",1
G2701010,2006-2010,,,Minnesota,27,Murray County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Murray County, Minnesota",1954,"Murray County, Minnesota",2
G2701030,2006-2010,,,Minnesota,27,Nicollet County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nicollet County, Minnesota",1974,"Nicollet County, Minnesota",1
G2701050,2006-2010,,,Minnesota,27,Nobles County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nobles County, Minnesota",1958,"Nobles County, Minnesota",2
G2701070,2006-2010,,,Minnesota,27,Norman County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norman County, Minnesota",1958,"Norman County, Minnesota",4
G2701090,2006-2010,,,Minnesota,27,Olmsted County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Olmsted County, Minnesota",1980,"Olmsted County, Minnesota",2
G2701110,2006-2010,,,Minnesota,27,Otter Tail County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Otter Tail County, Minnesota",1971,"Otter Tail County, Minnesota",1
G2701130,2006-2010,,,Minnesota,27,Pennington County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennington County, Minnesota",1970,"Pennington County, Minnesota",2
G2701150,2006-2010,,,Minnesota,27,Pine County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine County, Minnesota",1976,"Pine County, Minnesota",1
G2701170,2006-2010,,,Minnesota,27,Pipestone County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pipestone County, Minnesota",1953,"Pipestone County, Minnesota",2
G2701190,2006-2010,,,Minnesota,27,Polk County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Minnesota",1966,"Polk County, Minnesota",3
G2701210,2006-2010,,,Minnesota,27,Pope County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pope County, Minnesota",1968,"Pope County, Minnesota",3
G2701230,2006-2010,,,Minnesota,27,Ramsey County,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramsey County, Minnesota",1961,"Ramsey County, Minnesota",1
G2701250,2006-2010,,,Minnesota,27,Red Lake County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Red Lake County, Minnesota",1962,"Red Lake County, Minnesota",3
G2701270,2006-2010,,,Minnesota,27,Redwood County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Redwood County, Minnesota",1955,"Redwood County, Minnesota",2
G2701290,2006-2010,,,Minnesota,27,Renville County,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Renville County, Minnesota",1955,"Renville County, Minnesota",2
G2701310,2006-2010,,,Minnesota,27,Rice County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rice County, Minnesota",1975,"Rice County, Minnesota",1
G2701330,2006-2010,,,Minnesota,27,Rock County,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rock County, Minnesota",1955,"Rock County, Minnesota",2
G2701350,2006-2010,,,Minnesota,27,Roseau County,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roseau County, Minnesota",1977,"Roseau County, Minnesota",1
G2701370,2006-2010,,,Minnesota,27,St. Louis County,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Louis County, Minnesota",1958,"St. Louis County, Minnesota",2
G2701390,2006-2010,,,Minnesota,27,Scott County,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Minnesota",1993,"Scott County, Minnesota",1
G2701410,2006-2010,,,Minnesota,27,Sherburne County,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sherburne County, Minnesota",1992,"Sherburne County, Minnesota",1
G2701430,2006-2010,,,Minnesota,27,Sibley County,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sibley County, Minnesota",1955,"Sibley County, Minnesota",2
G2701450,2006-2010,,,Minnesota,27,Stearns County,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stearns County, Minnesota",1979,"Stearns County, Minnesota",2
G2701470,2006-2010,,,Minnesota,27,Steele County,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steele County, Minnesota",1967,"Steele County, Minnesota",2
G2701490,2006-2010,,,Minnesota,27,Stevens County,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stevens County, Minnesota",1961,"Stevens County, Minnesota",3
G2701510,2006-2010,,,Minnesota,27,Swift County,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swift County, Minnesota",1962,"Swift County, Minnesota",2
G2701530,2006-2010,,,Minnesota,27,Todd County,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Todd County, Minnesota",1969,"Todd County, Minnesota",2
G2701550,2006-2010,,,Minnesota,27,Traverse County,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Traverse County, Minnesota",1952,"Traverse County, Minnesota",3
G2701570,2006-2010,,,Minnesota,27,Wabasha County,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wabasha County, Minnesota",1971,"Wabasha County, Minnesota",2
G2701590,2006-2010,,,Minnesota,27,Wadena County,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wadena County, Minnesota",1972,"Wadena County, Minnesota",2
G2701610,2006-2010,,,Minnesota,27,Waseca County,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waseca County, Minnesota",1967,"Waseca County, Minnesota",3
G2701630,2006-2010,,,Minnesota,27,Washington County,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Minnesota",1988,"Washington County, Minnesota",2
G2701650,2006-2010,,,Minnesota,27,Watonwan County,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Watonwan County, Minnesota",1955,"Watonwan County, Minnesota",2
G2701670,2006-2010,,,Minnesota,27,Wilkin County,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilkin County, Minnesota",1960,"Wilkin County, Minnesota",4
G2701690,2006-2010,,,Minnesota,27,Winona County,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winona County, Minnesota",1961,"Winona County, Minnesota",2
G2701710,2006-2010,,,Minnesota,27,Wright County,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wright County, Minnesota",1990,"Wright County, Minnesota",1
G2701730,2006-2010,,,Minnesota,27,Yellow Medicine County,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yellow Medicine County, Minnesota",1953,"Yellow Medicine County, Minnesota",3
