DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,70,26,2,,,70,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,KG,284,111,21,35,35,36,284,111,21,35,35,36,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,01,288,123,33,40,40,33,288,123,33,40,40,33,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,02,257,102,25,23,23,31,257,102,25,23,23,31,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,03,260,110,23,24,24,41,260,110,23,24,24,41,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,04,255,99,25,27,27,36,255,99,25,27,27,36,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,05,262,106,20,20,20,42,262,106,20,20,20,42,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,06,239,100,22,16,16,42,239,100,22,16,16,42,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,07,253,86,26,6,6,30,253,86,26,6,6,30,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,08,221,74,23,8,8,47,221,74,23,8,8,47,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,09,243,73,26,3,3,46,243,73,26,3,3,46,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,10,246,72,17,2,2,30,246,72,17,2,2,30,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,11,250,73,24,1,1,30,250,73,24,1,1,30,, ,EC-12,
