GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH40E001,NAME_M,AH40M001
G2700210,2013-2017,,,Minnesota,27,Cass County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cass County, Minnesota",1986,"Cass County, Minnesota",2
G2700230,2013-2017,,,Minnesota,27,Chippewa County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chippewa County, Minnesota",1959,"Chippewa County, Minnesota",2
G2700250,2013-2017,,,Minnesota,27,Chisago County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chisago County, Minnesota",1990,"Chisago County, Minnesota",1
G2700270,2013-2017,,,Minnesota,27,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Minnesota",1976,"Clay County, Minnesota",1
G2700290,2013-2017,,,Minnesota,27,Clearwater County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clearwater County, Minnesota",1977,"Clearwater County, Minnesota",1
G2700310,2013-2017,,,Minnesota,27,Cook County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook County, Minnesota",1984,"Cook County, Minnesota",3
G2700330,2013-2017,,,Minnesota,27,Cottonwood County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cottonwood County, Minnesota",1958,"Cottonwood County, Minnesota",2
G2700350,2013-2017,,,Minnesota,27,Crow Wing County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crow Wing County, Minnesota",1983,"Crow Wing County, Minnesota",1
G2700370,2013-2017,,,Minnesota,27,Dakota County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dakota County, Minnesota",1986,"Dakota County, Minnesota",1
G2700390,2013-2017,,,Minnesota,27,Dodge County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dodge County, Minnesota",1976,"Dodge County, Minnesota",1
G2700410,2013-2017,,,Minnesota,27,Douglas County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Minnesota",1982,"Douglas County, Minnesota",2
G2700430,2013-2017,,,Minnesota,27,Faribault County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Faribault County, Minnesota",1951,"Faribault County, Minnesota",2
