DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,11,6,3,36,41,9,11,19,19,425,371,495,445,144,940,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,12,12,3,31,35,14,19,26,26,481,448,564,531,166,1095,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,All Grades,64,49,497,468,173,193,370,334,4293,3908,5397,4952,2148,10349,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,EC,1,0,9,3,3,3,15,9,73,34,101,49,43,150,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,KG,5,3,66,54,19,12,48,48,197,220,335,337,255,672,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,01,5,2,48,47,29,21,45,45,225,236,352,351,242,703,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,02,5,9,44,50,33,24,37,45,204,231,323,359,247,682,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,03,3,8,39,54,25,22,45,44,254,246,366,374,240,740,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,04,4,6,63,49,20,22,48,52,270,237,405,366,264,771,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,05,7,3,56,51,24,27,50,26,274,251,411,358,244,769,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,06,8,7,47,45,21,25,52,38,309,263,437,378,243,815,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,07,13,7,64,51,22,27,45,59,299,288,443,432,288,875,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,08,6,6,51,51,16,17,38,37,323,300,434,411,222,845,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,09,3,5,57,66,25,19,57,50,395,334,537,474,282,1011,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,10,9,5,55,61,16,13,46,44,387,397,513,520,249,1033,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,11,4,3,61,56,25,25,28,50,389,378,507,512,252,1019,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,12,5,4,53,58,19,14,39,53,418,412,534,541,245,1075,  , ,  
06-07,62,Ramsey                                       ,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,000, ,11,11 ,All Grades,78,68,713,696,297,271,593,600,4017,3827,5698,5462,3316,11160,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,EC,0,0,1,2,3,0,8,1,28,20,40,23,15,63,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,KG,2,3,30,36,14,18,30,21,139,141,215,219,154,434,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,01,1,1,34,37,23,12,23,36,152,156,233,242,167,475,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,02,2,0,32,41,24,13,23,24,153,137,234,215,159,449,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,03,4,3,31,32,15,23,27,15,156,158,233,231,150,464,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,04,0,0,34,30,17,11,20,29,170,143,241,213,141,454,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,05,3,1,20,31,14,13,28,20,151,159,216,224,130,440,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,06,3,1,41,31,18,6,23,26,165,172,250,236,149,486,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,07,3,3,32,24,11,11,24,20,180,133,250,191,128,441,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,08,4,3,30,36,13,9,31,27,181,170,259,245,153,504,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,09,1,3,34,27,22,13,32,27,181,203,270,273,159,543,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,10,2,2,46,27,20,17,18,34,211,208,297,288,166,585,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,11,2,0,34,31,17,16,29,23,189,181,271,251,152,522,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,12,0,2,34,22,11,10,27,17,221,223,293,274,123,567,  , ,  
06-07,62,Ramsey                                       ,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   ,000, ,11,11 ,All Grades,27,22,433,407,222,172,343,320,2277,2204,3302,3125,1946,6427,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,EC,0,0,2,4,4,1,6,3,83,34,95,42,20,137,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,KG,1,0,27,28,12,17,8,18,257,223,305,286,111,591,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,01,1,0,34,21,10,14,20,18,251,212,316,265,118,581,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,02,4,2,20,25,12,13,17,12,245,248,298,300,105,598,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,03,0,0,36,24,8,12,13,11,275,238,332,285,104,617,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,04,3,1,29,18,10,11,12,10,268,252,322,292,94,614,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,05,2,3,26,20,11,6,11,7,275,248,325,284,86,609,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,06,2,1,15,28,8,14,14,9,293,283,332,335,91,667,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,07,3,0,23,30,11,10,12,13,286,252,335,305,102,640,  , ,  
06-07,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11 ,08,0,2,28,28,7,10,14,21,301,273,350,334,110,684,  , ,  
