DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,07,258,66,31,16,33,258,66,31,16,33,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,08,211,39,27,9,27,211,39,27,9,27,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,09,303,62,28,6,44,303,62,28,6,44,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,10,259,58,20,6,24,259,58,20,6,24,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,11,262,41,37,4,16,262,41,37,4,16,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,12,246,40,22,3,24,246,40,22,3,24,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,3274,911,348,271,391,3330,916,353,271,447,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,717,81,8,,717,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,KG,2649,504,207,309,236,2649,504,207,309,236,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,01,2642,547,243,303,274,2642,547,243,303,274,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,02,2827,585,243,310,309,2827,585,243,310,309,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,03,2757,567,231,268,307,2757,567,231,268,307,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,04,2852,554,233,265,398,2852,554,233,265,398,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,05,2833,551,247,214,345,2833,551,247,214,345,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,06,2982,582,240,185,362,2982,582,240,185,362,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,07,3099,579,233,173,352,3099,579,233,173,352,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,08,3092,580,242,158,354,3092,580,242,158,354,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,09,3332,599,234,116,352,3332,599,234,116,352,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,10,3370,569,249,109,366,3370,569,249,109,366,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,11,3257,448,222,78,314,3257,448,222,78,314,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,12,3743,542,205,103,618,3743,542,205,103,618,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,39435,7207,3029,2591,4587,40152,7288,3037,2591,5304,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC,,,,,,78,7,1,,78,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG,428,38,9,11,35,428,38,9,11,35,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01,440,46,23,15,48,440,46,23,15,48,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02,455,51,18,8,42,455,51,18,8,42,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03,449,52,16,15,69,449,52,16,15,69,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04,502,43,12,7,79,502,43,12,7,79,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05,495,51,22,4,87,495,51,22,4,87,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06,538,49,19,5,89,538,49,19,5,89,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07,518,52,38,13,60,518,52,38,13,60,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08,550,53,20,13,76,550,53,20,13,76,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09,573,41,20,5,69,573,41,20,5,69,, ,
