DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,11,2,5,0,0,0,0,0,0,6,16,8,21,7,29,, ,
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,12,3,1,0,0,0,0,0,0,22,19,25,20,4,45,, ,
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,All Grades,41,22,0,0,2,3,1,0,175,161,219,186,69,405,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,EC,0,0,0,1,7,3,0,2,30,13,37,19,13,56,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,KG,2,1,3,8,31,32,13,17,88,87,137,145,107,282,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,01,0,2,3,4,40,30,10,7,86,82,139,125,96,264,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,02,1,3,4,2,41,25,9,9,80,76,135,115,94,250,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,03,2,0,2,1,33,20,9,7,92,70,138,98,74,236,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,04,2,1,3,4,36,27,11,10,69,68,121,110,94,231,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,05,2,3,3,6,22,20,9,10,87,83,123,122,75,245,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,06,0,2,1,2,27,23,9,11,75,77,112,115,75,227,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,07,0,2,3,3,25,25,13,8,86,93,127,131,79,258,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,08,1,0,0,0,15,12,7,9,78,89,101,110,44,211,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,09,4,1,2,3,22,19,7,8,118,119,153,150,66,303,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,10,2,1,2,2,21,20,9,5,108,89,142,117,62,259,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,11,0,0,2,0,19,22,10,5,105,99,136,126,58,262,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,12,1,3,1,1,19,2,4,6,102,107,127,119,37,246,, ,
08-09,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,17,19,29,37,358,280,120,114,1204,1152,1728,1602,974,3330,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,EC,4,3,22,18,25,12,46,30,371,186,468,249,160,717,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,KG,14,22,71,94,60,67,135,108,1052,1026,1332,1317,571,2649,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,01,13,16,105,87,60,61,113,138,1072,977,1363,1279,593,2642,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,02,18,19,103,87,57,63,149,123,1140,1068,1467,1360,619,2827,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,03,31,15,82,85,77,56,144,142,1024,1101,1358,1399,632,2757,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,04,20,20,82,85,49,51,137,129,1192,1087,1480,1372,573,2852,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,05,22,23,95,90,51,48,140,148,1123,1093,1431,1402,617,2833,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,06,30,22,104,83,49,54,143,138,1210,1149,1536,1446,623,2982,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,07,20,21,122,101,66,47,138,156,1277,1151,1623,1476,671,3099,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,08,18,29,74,111,63,56,159,118,1287,1177,1601,1491,628,3092,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,09,21,19,115,90,52,45,143,160,1369,1318,1700,1632,645,3332,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,10,17,19,107,98,50,54,152,157,1357,1359,1683,1687,654,3370,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,11,19,29,95,92,44,44,128,131,1368,1307,1654,1603,582,3257,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,12,18,31,142,108,55,50,156,145,1593,1445,1964,1779,705,3743,, ,
08-09,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,265,288,1319,1229,758,708,1883,1823,16435,15444,20660,19492,8273,40152,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC,1,1,1,0,4,2,1,1,45,22,52,26,11,78,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG,3,2,4,10,6,7,8,3,188,197,209,219,43,428,, ,
