dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
99-00,0014,01,FRIDLEY,PK,02,11,0,0,0,0,1,0,1,1,8,4,10,5,3,15,11
99-00,0015,01,ST. FRANCIS,01,02,11,3,0,4,1,1,3,2,2,217,197,227,203,16,430,11
99-00,0015,01,ST. FRANCIS,02,02,11,0,4,2,5,2,0,1,2,207,212,212,223,16,435,11
99-00,0015,01,ST. FRANCIS,03,02,11,1,3,2,5,1,3,3,4,223,199,230,214,22,444,11
99-00,0015,01,ST. FRANCIS,04,02,11,1,3,4,5,4,2,3,0,232,245,244,255,22,499,11
99-00,0015,01,ST. FRANCIS,05,02,11,2,4,4,5,0,1,2,1,239,225,247,236,19,483,11
99-00,0015,01,ST. FRANCIS,06,02,11,5,3,5,4,0,4,6,0,236,227,252,238,27,490,11
99-00,0015,01,ST. FRANCIS,07,02,11,6,5,1,5,2,2,6,2,226,213,241,227,29,468,11
99-00,0015,01,ST. FRANCIS,08,02,11,3,7,3,1,2,4,3,2,236,221,247,235,25,482,11
99-00,0015,01,ST. FRANCIS,09,02,11,11,3,6,6,5,4,7,1,264,233,293,247,43,540,11
99-00,0015,01,ST. FRANCIS,10,02,11,6,4,3,3,4,1,8,6,194,210,215,224,35,439,11
99-00,0015,01,ST. FRANCIS,11,02,11,7,6,5,1,1,2,7,2,221,162,241,173,31,414,11
99-00,0015,01,ST. FRANCIS,12,02,11,4,6,2,3,7,2,1,1,186,164,200,176,26,376,11
99-00,0015,01,ST. FRANCIS,KG,02,11,1,1,2,2,0,2,2,2,197,207,202,214,12,416,11
99-00,0015,01,ST. FRANCIS,PK,02,11,0,0,0,0,1,0,0,0,42,21,43,21,1,64,11
99-00,0016,01,SPRING LAKE PARK,01,02,11,0,0,5,3,3,8,3,3,118,152,129,166,25,295,11
99-00,0016,01,SPRING LAKE PARK,02,02,11,0,2,4,8,5,3,3,3,131,152,143,168,28,311,11
99-00,0016,01,SPRING LAKE PARK,03,02,11,1,1,5,4,3,6,3,2,135,128,147,141,25,288,11
99-00,0016,01,SPRING LAKE PARK,04,02,11,3,1,5,7,4,5,4,1,139,128,155,142,30,297,11
