DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,02,2,1,3,2,1,2,13,4,0,0,4,11,130,141,153,161,43,314,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,03,2,1,7,7,0,3,10,2,0,0,10,9,133,150,162,172,51,334,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,04,1,0,8,3,3,1,6,8,0,0,7,12,156,129,181,153,49,334,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,05,2,0,8,4,1,1,3,7,0,0,9,5,164,135,187,152,40,339,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,06,4,1,4,5,2,0,4,8,0,0,9,11,159,154,182,179,48,361,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,07,1,1,5,5,8,3,7,6,0,0,16,7,152,144,189,166,59,355,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,08,2,1,7,8,2,4,7,6,0,0,4,5,170,169,192,193,46,385,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,09,1,1,4,5,5,1,4,4,0,0,6,4,184,157,204,172,35,376,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,10,4,1,7,11,2,1,3,4,0,1,7,5,167,159,190,182,46,372,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,11,3,1,6,5,7,1,7,3,0,0,2,4,170,149,195,163,39,358,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,12,0,3,8,8,6,0,6,3,0,0,7,6,217,177,244,197,47,441,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,All Grades,28,16,79,71,42,20,79,64,0,1,105,106,2160,1972,2493,2250,611,4743,District,EC-12,, ,
