SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11,42.28,3.2,39.08,0,1,0,2,0,1,0,2,3.2,33.08,3,14,14.1,1.2,4,8.99,9,2.99,1,0,18.09,24.19,0,0,44,2,6,4,9.3,13.99,6.99
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11,32.06,5.9,26.16,0,0,0,0,0,0,0,0.4,5.9,25.76,0,20,4.3,1,2.77,9,5,6,3.99,0,6.1,25.56,0.4,0,48,0,0,3,5.57,14.5,8.99
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11,31.5,4.5,27,0,0,0,2,0,0,1,1.5,3.5,23.5,0,9,20.5,1,2,2,3,1,1,2,13.5,15,1,0,37,7,4,6,5.5,5,4
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11,34.35,17,17.35,1,0,1,0,0,0.23,0,0,15,17.12,1,16,9.5,0.9,2.23,10.47,6.84,2.41,2,0,10.4,22.11,0,1.84,45,0,3.5,2,9.23,15.78,3.84
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,119,20,FIELD ELEMENTARY                                  ,27,Hennepin                                          ,11,23.62,7.84,15.78,0,0,0,1.69,0,0,0,0.4,7.84,13.69,0,15,5.28,2.25,4.83,3.57,7.01,0.68,0,0,5.02,18.6,0,0,46,3.06,1.02,1.85,1.02,10.96,5.71
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,121,10,LAKE HARRIET UPPER SCHOOL                         ,27,Hennepin                                          ,11,29.06,9.8,19.26,1.91,0,0,0,0,0,1.56,0,6.33,19.26,1.68,20,2.68,0.9,4.95,8.46,2.91,5.49,1.65,0,4.58,23.48,0,1,47,0,0.68,1.03,6.82,12.11,8.42
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,123,10,HALE ELEMENTARY                                   ,27,Hennepin                                          ,11,31.25,3.01,28.24,0,0,1,1,0,0.5,0,0,2.01,26.74,0.33,18,5.13,1.25,1.5,3,9.51,8.86,2,0,6.08,23.16,0,2.01,46,0,2.13,1,8.5,12.62,7
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,130,10,HIAWATHA ELEMENTARY                               ,27,Hennepin                                          ,11,19.1,2,17.1,0,0,0,1,2,0,0,1,0,15.1,1,20,2.5,1,1,3.6,2,7,1,0,5.1,14,0,0,54,1,0,1,2,9,6.1
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,132,10,HOWE ELEMENTARY                                   ,27,Hennepin                                          ,11,7,1,6,0,0,0,0,0,0,0,1,1,5,0,23,0,1,0,0,3,2,1,0,2,5,0,0,51,0,1,0,0,3,3
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,134,10,LK NOKOMIS COMM-KEEWAYDIN CAMPUS                  ,27,Hennepin                                          ,11,22.98,4.2,18.78,0,0,0,0,0,0,0,0,4.2,18.78,2.68,12,7.65,3.8,6.21,2.58,1.72,0,1.02,0,12.67,10.05,0.26,0,40,0,5.68,2.54,6.73,7.01,1.02
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,135,10,KENNY ELEMENTARY                                  ,27,Hennepin                                          ,11,22.86,1,21.86,0,0,0,2,0,0,0,0,1,19.86,1,14,3.25,2,2.6,7,5.01,2,1,0,6,16.86,0,0,43,0,2.92,1,6.61,7,5.33
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,136,10,KENWOOD ELEMENTARY                                ,27,Hennepin                                          ,11,23.77,4.15,19.62,0,0,0,0,0,0,0,1,4.15,18.62,0,23,1,2,1.5,3.15,7.12,5,2,0,3.15,19.62,0,1,50,0,1,2,2.6,9.17,9
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,140,10,LORING ELEMENTARY                                 ,27,Hennepin                                          ,11,25.7,7,18.7,0,0,0,1,0,0,0,1,7,16.7,0,17,3.83,0.99,2,7.88,6,3,1,0,5.83,19.87,0,0,46,0,0.83,2,4.99,14.88,3
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,144,10,LYNDALE ELEMENTARY                                ,27,Hennepin                                          ,11,39.22,10.25,28.97,2,0,0,1,0,0,0,2,8.25,25.97,2,14,11.17,7.9,2,9,3.9,3,2.25,0,20.67,18.55,0,0,41,2,5,7.17,10,9.9,5.15
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,151,10,JENNY LIND ELEMENTARY                             ,27,Hennepin                                          ,11,36.61,7.16,29.45,0,0,0,3.99,0,1,1.67,3.8,5.49,20.66,5.63,11,20.12,1.5,3.49,3.5,3.5,1,2.5,0,14.47,21.14,0,1,44,3,4,2.5,7.81,11.8,7.5
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,152,10,NORTHROP ELEMENTARY                               ,27,Hennepin                                          ,11,25.92,7.5,18.42,0,0,1,2,1,0,0,0,5.5,16.42,0,15,5.49,3.92,2,8.7,4,1.81,0,0,13.41,12.51,0,0,44,0,3,3.5,5,10.91,3.51
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,155,10,PILLSBURY ELEMENTARY                              ,27,Hennepin                                          ,11,43.51,7.41,36.1,0,0,0,1,0,2,0,2,7.41,31.1,2,16,6.8,5,5,12.41,8.5,4.8,0,0,16.21,25.3,0,2,44,3,5.8,0,9.4,19.81,5.5
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,156,10,PRATT ELEMENTARY                                  ,27,Hennepin                                          ,11,16,3.5,12.5,0,0,1,1,0,0,1,0.5,1.5,11,0,14,5.5,1,1,3.5,2,1,0,0,6.5,9.5,0,0,43,0,5,0.5,2.5,3.5,4.5
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,160,10,SEWARD ELEMENTARY                                 ,27,Hennepin                                          ,11,41.46,6.98,34.48,0,0,0,0.99,0,0,0,1,6.98,32.49,0,16,9.23,4.98,5.77,7.74,7.85,2.9,2.99,0,15.46,21.3,0,4.7,48,0,3.63,1.87,11.63,12.2,12.13
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,161,10,SHERIDAN ELEMENTARY                               ,27,Hennepin                                          ,11,39.66,6.33,33.33,0,0,0,3,0,1,0,1,6.33,28.33,2,14,11.83,6.67,5,7.66,4,2.82,1.68,0,17.18,21.48,0,1,43,1,5.84,2,13.83,11.66,5.33
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,165,10,WAITE PARK ELEMENTARY                             ,27,Hennepin                                          ,11,23.54,5.83,17.71,0,1.82,0,1,0,0,0,0,5.83,14.89,1,20,3.83,0,2.55,3.83,5.41,4.09,1.83,0,9.07,13.47,0,1,51,0,1.83,1,6.38,10.09,4.24
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,167,10,LK NOKOMIS COMM-WENONAH CAMPUS                    ,27,Hennepin                                          ,11,17.73,3.37,14.36,0,0,0,0,0,0,0,1,3.37,13.36,0,13,3.56,0,4.91,2.43,3.83,1,1,0,3.43,14.3,0,0,42,0,1,1.1,6.91,5.72,3
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,170,10,WINDOM SCHOOL                                     ,27,Hennepin                                          ,11,26.29,4.03,22.26,0,0,0,0,1,2.83,0.2,0,2.83,19.43,3,13,10.83,6.33,3.08,1.5,1.67,1,0.88,0,12.67,13.62,0,0,43,0,4.5,4.5,7.16,6.58,3.55
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,175,10,FOLWELL ARTS MAGNET                               ,27,Hennepin                                          ,11,63.6,15.9,47.7,1,1,0,1,0,0.96,0,3,14.9,41.74,1,13,11.72,6.93,8.54,18.58,10.83,3,3,0,21.31,40.29,0,2,45,1,5,6.64,14.85,12.83,23.28
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,179,10,JEFFERSON ELEMENTARY                              ,27,Hennepin                                          ,11,55.68,11.87,43.81,0,0,0,0,2,2,0,0,9.87,41.81,2.6,13,20.09,2,10.88,10.72,5,4,2.99,0,27.06,28.62,0,0,42,4,9.1,4.99,13.7,14.9,8.99
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,180,10,DOWLING ELEMENTARY                                ,27,Hennepin                                          ,11,32.86,5,27.86,0,0,0,0,0,1,0,0,5,26.86,1,22,1.33,2.5,2,5,11,3.63,6.5,0,9.5,22.36,1,0,51,0,0.83,1,3,12.63,15.4
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,183,50,ECSE                                              ,27,Hennepin                                          ,11,51.7,2.8,48.9,0,0,0,0,0,0,0,1,2.8,47.9,0,15,13.4,9,4.1,5.4,6.8,7,4,1,14.4,35.3,1,0,47,1,3,4.6,6.5,21.2,15.4
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,190,10,ANDERSEN COMMUNITY                                ,27,Hennepin                                          ,11,91.14,17.86,73.28,0,1,0.85,0,2,3,1,2,14.01,67.28,2,12,24.81,17.01,11.99,21.36,9,5.01,1.96,0,50.66,40.48,0,0,40,6.99,11.82,12,22.52,23.86,13.95
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,193,10,SULLIVAN ELEMENTARY                               ,27,Hennepin                                          ,11,56.91,6.4,50.51,0,0,0,3.01,0,0,1,1,5.4,46.5,2,15,12,8,8,15.9,8,2,2,0,23,33.91,0,0,42,3,10,4,12.7,18.2,9.01
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,209,10,PIERRE BOTTINEAU                                  ,27,Hennepin                                          ,11,4.09,0.99,3.1,0,0,0,0,0,0,0,0.1,0.99,3,0.99,4,2.99,1,0,0.1,0,0,0,0,0.99,2,0.1,0,30,0.99,1,2,0,0.1,0
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,225,10,ANISHINABE ACADEMY                                ,27,Hennepin                                          ,11,22.82,4,18.82,0,5,0,0,0,1,0,0,4,12.82,1,14,5.82,2,2,6,4,3,0,0,9.82,12,0,1,47,1,1.99,1,3,8,7.83
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,226,10,MARCY OPEN ELEMENTARY                             ,27,Hennepin                                          ,11,35.46,9.8,25.66,0,0,0,0,0,0,1,0,8.8,25.66,1,14,6,4.82,8.25,7.17,5.98,2.24,1,0,16.66,17.81,0.99,0,44,1,4.02,1.01,10.37,9.98,9.08
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,249,10,BRYN MAWR ELEMENTARY                              ,27,Hennepin                                          ,11,37.95,5.8,32.15,0,0,0,2,0,0.8,1,2.01,4.8,27.34,2.9,9,12.12,3,5.1,12.93,3.8,0,1,0,16.72,20.23,0,1,39,0,4.4,2.89,17.85,8.8,4.01
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,256,10,GREEN CENTRAL PARK ELEMENTARY                     ,27,Hennepin                                          ,11,45.4,7.54,37.86,0,2.83,0,0,0.83,2.83,0,1.87,6.71,30.33,4.66,9,24.84,3,3.54,7,4.19,1.83,1,0,23.35,22.05,0,0,38,5.2,9.98,5,8,12.26,4.96
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,260,10,EMERSON ELEMENTARY                                ,27,Hennepin                                          ,11,29.65,4,25.65,0,0,0,0.99,0,5,2,1,2,18.66,4.01,8,13.84,7.99,0.83,4,1.99,0,1,0,18.84,10.81,0,0,38,3.01,9.83,1,5,6.82,3.99
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,282,10,LUCY LANEY @ CLEVELAND PARK ELEM.                 ,27,Hennepin                                          ,11,44.04,6,38.04,0,0,0,1,1,0,1,5.8,4,31.24,6.66,7,27.32,6.05,3.83,5.84,0,1,0,0,29.48,14.56,0,0,35,3.83,14.66,9.88,7.83,6,1.84
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,287,10,HALL INTERNATIONAL                                ,27,Hennepin                                          ,11,31.74,4.82,26.92,0,1,0,2.83,1,0,2,5,1.82,18.09,3,13,8.5,1.83,6,13.41,2,0,0,0,17.49,14.25,0,0,42,3,3,0.83,12.41,11,1.5
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,288,10,NELLIE STONE JOHNSON ELEMENTARY                   ,27,Hennepin                                          ,11,56.33,12.4,43.93,0,0,0.97,0,0,3,1,6.9,10.43,34.03,3.02,12,17.79,6.41,8.4,11.91,6.92,2.9,2,0,27.75,26.58,0,2,41,1,7.9,5.87,17.39,18.69,5.48
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,289,10,WHITTIER INTERNATIONAL                            ,27,Hennepin                                          ,11,40.5,4.73,35.77,0,0,0,3.9,0,1,0,2.83,4.73,28.04,4.73,12,17.39,2.83,4.39,9.16,2.83,1,2,0,17.28,22.39,0,0.83,41,4,7,2.83,10.16,10.61,5.9
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,291,10,HMONG INTERNATIONAL ACADEMY                       ,27,Hennepin                                          ,11,40.4,8.17,32.23,0,0,5,8.93,0,0,0,1,3.17,22.3,1,15,10.48,4.19,5.71,9.84,2.8,2.39,3.99,0,19.69,18.7,0,2.01,45,1.5,5.98,3,8.18,10.24,11.5
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,300,20,ANTHONY MIDDLE SCHOOL                             ,27,Hennepin                                          ,11,40.66,15.34,25.32,0,0,0,0.77,0,0,2,2.02,13.34,22.53,3.06,12,15.01,2.38,7.03,10.14,5.08,1.02,0,0,18.17,22.49,0,0,42,4.06,6.23,4.08,9.06,9.11,8.12
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,307,41,BASIC SKILLS-4                                    ,27,Hennepin                                          ,11,18.7,5.11,13.59,0,0.39,0,0.2,0,0,0.48,1.78,4.63,11.22,0.91,9,7.76,3.12,3.66,1.73,1.39,0.4,0.64,0.13,8.97,9.6,0,0,37,0,6.74,0.55,4.52,3.51,3.38
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,309,20,ANWATIN MIDDLE COM & SPANISH D I                  ,27,Hennepin                                          ,11,41.78,11.77,30.01,0,0.51,1.8,0.8,0.99,0,1.02,1.35,7.96,27.35,2.89,13,12.27,4.44,5.38,10.79,5.92,1.02,1.96,0,14.88,26.9,0,0,44,2.7,6.46,4.22,6.59,14.49,7.32
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,311,50,SPAN                                              ,27,Hennepin                                          ,11,17.74,8.67,9.07,0,0,0,0,0,0,1,1,7.67,8.07,0.6,8,10.26,1,2.1,3.38,0,0,1,0,11.67,6.07,0,0,38,1,4.59,3,2.1,4.38,2.67
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,315,43,RONALD MCDONALD HOUSE                             ,27,Hennepin                                          ,11,1.02,0,1.02,0,0,0,0,0,0,0,0,0,0,0,5,1.02,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1.02
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,316,20,NORTHEAST MIDDLE                                  ,27,Hennepin                                          ,11,39.35,19.16,20.19,0,1.02,0,0.97,0.8,0,0.8,0,17.56,18.2,3.62,10,15.85,3.99,6.12,8.6,2.8,0.97,0,0,23.07,16.28,0,0,40,4.68,2.16,3.5,11.97,13.95,3.09
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,318,20,OLSON MIDDLE                                      ,27,Hennepin                                          ,11,25.2,11.01,14.19,1.02,0,0,1.02,0,0,1.2,3.65,8.79,9.52,4.7,7,14.45,2.9,5.85,1,0,0,1,0,16.18,8.02,0,1,35,4.02,6.23,3.87,6.99,3.09,1
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,323,20,RAMSEY MIDDLE                                     ,27,Hennepin                                          ,11,20.52,4.26,16.26,0,0,0,0,0,0,0,1.02,4.26,15.24,0,8,8.42,2.92,3.74,5.44,0,0,0,0.52,4.8,15.2,0,0,36,1,4.37,3,9.18,2.04,0.93
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,324,20,SANFORD MIDDLE                                    ,27,Hennepin                                          ,11,43.57,14.38,29.19,0,2.82,0.57,0,1,0,1.8,0,11.01,26.37,1.37,13,6.75,9.7,10.57,9.08,5.77,1.7,0,0,18.7,23.87,0,1,44,1.57,2.45,4.57,9.89,17.07,8.02
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,348,43,MERC                                              ,27,Hennepin                                          ,11,4.64,2,2.64,0,0,0,0,0,0,0,0,0,1.04,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,32,0,1,2.64,1,0,0
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,349,43,LORING-NICOLLET HIGH                              ,27,Hennepin                                          ,11,3.6,2,1.6,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,39,0,1.6,0,1,0,1
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,351,43,URBAN LEAGUE ACADEMY HIGH                         ,27,Hennepin                                          ,11,9,5,4,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,34,1,3,2,1,1,1
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,352,32,EDISON SENIOR HIGH                                ,27,Hennepin                                          ,11,52.95,23.64,29.31,0,1,1,0.8,0.8,0,0.8,2,21.04,25.51,7.94,9,21.91,9.22,11.98,5.02,2.02,1,0.8,0,33.71,18.24,1,0,37,3,12.31,8.8,14.83,11.19,2.82
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,353,41,BROADWAY ARTS & TECHNOLOGY                        ,27,Hennepin                                          ,11,8.59,3.03,5.56,0,0,0,0,0,0,0,0.8,3.03,4.76,1,10,2.73,1,2.18,2.48,0,0,0.2,0,2.7,5.09,0.8,0,37,0,1.53,2.2,1.86,3,0
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,354,32,HENRY SENIOR HIGH                                 ,27,Hennepin                                          ,11,59.76,23.2,36.56,1,1,0,3.64,0,0,1,1.4,21.2,30.52,2.6,13,15.15,10.92,8.78,16.66,3.8,3.45,1,0,27.59,29.57,1.8,0.8,42,4.45,5.85,6.22,17.88,17.74,7.62
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,357,43,PLYMOUTH YOUTH CENTER                             ,27,Hennepin                                          ,11,13.16,6.81,6.35,0,0,0,0,0,0,0,0.94,3.83,2.63,0,3,7.86,2.55,0,1,0,0,0,0,0,1,0,0,35,0,3.77,3.71,2.77,2.91,0
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,358,32,NORTH SENIOR HIGH                                 ,27,Hennepin                                          ,11,9.34,4.02,5.32,0,0,0,0,0,0,1,1,3.02,4.32,2,13,2.92,0,3.22,0,0,3.2,0,0,2,6.54,0,0.8,43,0,0.92,0,3.02,4,1.4
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,360,32,ROOSEVELT SENIOR HIGH                             ,27,Hennepin                                          ,11,51.01,20.5,30.51,0,0,0,0,0,0,1.12,1.85,19.38,28.66,2.75,13,18.59,4.62,4.26,14.37,2.98,4.48,1.71,0,18.93,31.08,0,1,40,3.95,7.22,5.97,10.87,14.3,8.7
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,361,43,CENTER SCHOOL                                     ,27,Hennepin                                          ,11,4.94,1,3.94,0,0,0,0,0,0,0,0,1,2.8,0,2,3.14,0,1,0,0,0,0,0,0,0,0,0,32,0,2.8,0,0.8,1.34,0
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,362,32,SOUTH SENIOR HIGH                                 ,27,Hennepin                                          ,11,82.13,37.15,44.98,0,3.86,2.02,1,0,1.02,2.23,2.37,32.9,36.73,2,14,19.72,5,19.56,15.14,12.03,9.01,1,0,32.49,48.64,1,0,44,2.27,5.67,10.71,17.57,31.24,14.67
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,363,32,WELLSTONE INTERNATIONAL HIGH                      ,27,Hennepin                                          ,11,16.83,4.4,12.43,0,0,0,1.02,0,0,0,3.02,4.4,8.39,1.6,10,7.24,3.62,0,3.17,2,0.8,0,0,1.62,15.21,0,0,41,2.02,3.6,1.02,2.57,4.82,2.8
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,364,32,SOUTHWEST SENIOR HIGH                             ,27,Hennepin                                          ,11,83.35,37.86,45.49,0,0,1,1.02,0,0,1.6,2.6,35.26,41.87,0.8,16,13.98,3.84,12.22,30.78,12.47,8.04,2.02,0,32.72,49.63,0,1,47,2.82,3.74,5.66,18.6,27.63,24.9
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,368,32,WASHBURN SENIOR HIGH                              ,27,Hennepin                                          ,11,64.71,30.48,34.23,0,0,1,0,0,1,3,2,26.48,31.23,2.8,10,23.43,14.02,9.24,11.03,3.5,2.49,0,0.34,29,33.97,0.6,0.8,40,2,14.34,10.69,16.07,10.02,11.59
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,372,50,SPAN HIGH                                         ,27,Hennepin                                          ,11,17.99,9.86,8.13,0,0,0,0.2,1,0,0,0,8.86,7.93,1,11,7.36,3.17,2.37,2.98,1.37,0.34,0.4,0,8.19,9.6,0,0.2,41,0.17,0.85,3.17,7.82,3.24,2.74
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,373,43,MENLO PARK ACADEMY                                ,27,Hennepin                                          ,11,4.8,2,2.8,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,1,0,0,0,0,0,0,0,43,0.8,1,0,1,0,2
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,375,32,NORTH ACADEMY ARTS/COMMUNICATION                  ,27,Hennepin                                          ,11,12.9,4.82,8.08,0,0,0,0,0,0,1,0.8,3.82,7.28,3.02,5,8.02,1,3.6,0.28,0,0,0,0,7.02,5.88,0,0,34,2,2,3.8,2.8,2.02,0.28
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,380,50,TRANSITION PLUS SERVICES                          ,27,Hennepin                                          ,11,32.32,13,19.32,0,0,0,0,0,0,1,1,12,18.32,2,15,7.72,4,5.6,5,3,3,3,0,10.72,19.6,1,1,51,0,2,2,2.6,8.72,17
