SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,AdminALL,Superintendent,AsstSuper,Principals,AsstPrinc,Director,OtherAdmin,Coord/Supv,SpEdProgCoord,VocFacil/Eval,OtherNonInstruct,Counselors,Media/Librarian,SchNurse,Psychologist,SocWorker,SpeechLangPath,TchrALL,PreK/ECFE,Kindgtn,GenElemEd,SpEdTchr,VocEdTchr,AllOtherTchr
03-04,0276,01,MINNETONKA,0 ,0,District Totals: ,27,HENNEPIN,11,21.00,1.00,2.00,9.00,6.00,3.00,0.00,3.00,0.00,0.00,3.17,10.00,9.00,4.01,2.98,10.00,12.94,462.22,6.19,23.00,124.80,63.90,2.72,241.61
03-04,0277,01,WESTONKA,0 ,0,District Totals: ,27,HENNEPIN,11,8.17,1.00,0.00,4.00,1.67,1.50,0.00,3.00,0.00,0.00,1.00,4.00,4.00,1.00,3.20,3.00,2.60,135.40,2.19,5.00,40.83,21.72,1.00,64.66
03-04,0278,01,ORONO,0 ,0,District Totals: ,27,HENNEPIN,11,9.00,1.00,0.50,4.00,1.00,1.50,1.00,1.00,0.00,0.00,0.00,3.50,2.60,1.00,3.83,2.00,4.10,136.50,0.00,7.00,29.86,17.60,1.00,81.04
03-04,0279,01,OSSEO,0 ,0,District Totals: ,27,HENNEPIN,11,51.00,1.00,4.00,27.00,11.00,8.00,0.00,4.17,5.00,0.00,30.87,32.44,27.83,2.50,15.98,18.50,42.31,"1,199.21",11.00,46.50,398.66,217.99,27.27,497.79
03-04,0280,01,RICHFIELD,0 ,0,District Totals: ,27,HENNEPIN,11,11.43,1.00,0.50,5.00,3.93,1.00,0.00,0.00,2.50,0.00,3.50,5.00,3.00,1.00,3.00,6.00,7.77,263.56,0.00,8.50,60.68,48.10,3.00,143.28
03-04,0281,01,ROBBINSDALE,0 ,0,District Totals: ,27,HENNEPIN,11,38.00,1.00,0.00,16.00,10.00,3.00,8.00,1.34,0.00,0.00,22.84,17.00,16.00,5.00,11.70,11.37,13.40,768.40,16.30,31.00,244.81,112.53,4.51,359.25
03-04,0282,01,ST. ANTHONY-NEW BRIGHTON,0 ,0,District Totals: ,27,HENNEPIN,11,6.80,1.00,0.00,3.00,0.00,1.80,1.00,0.70,0.00,0.00,1.00,2.20,2.00,1.20,2.10,0.00,1.50,91.64,0.00,3.50,21.31,9.44,0.68,56.71
03-04,0283,01,ST. LOUIS PARK,0 ,0,District Totals: ,27,HENNEPIN,11,14.00,1.00,1.00,7.00,2.00,2.00,1.00,3.00,0.00,0.00,1.40,7.50,7.43,3.10,0.00,11.94,11.47,287.16,2.83,8.00,80.99,52.77,2.82,139.75
03-04,0284,01,WAYZATA,0 ,0,District Totals: ,27,HENNEPIN,11,25.00,1.00,0.00,11.00,6.00,3.00,4.00,4.67,0.00,0.00,12.65,7.00,12.00,4.00,3.90,12.90,11.50,471.22,4.64,19.00,156.91,58.52,4.57,227.58
03-04,0286,01,BROOKLYN CENTER,0 ,0,District Totals: ,27,HENNEPIN,11,7.00,1.00,1.00,2.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,3.00,1.67,103.00,0.00,7.00,29.00,12.57,2.00,52.43
