districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
0227,01,CHATFIELD PUBLIC SCHOOLS,2008,1776,119.02,14.921861871954293
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2008,712,55.74,12.773591675636885
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2008,692,55.58,12.450521770421014
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2008,1294,99.82,12.963334001202165
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2008,6734,414.66,16.239810929436164
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2008,884,65.18,13.56244246701442
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2008,2578,169.62,15.198679401014031
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2008,1266,79.18,15.988886082344026
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2008,2484,168.58,14.734843990983508
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2008,5820,332.44,17.506918541691736
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2008,522,47.2,11.059322033898304
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2008,250,27.66,9.038322487346349
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2008,15344,851.36,18.022928021048674
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2008,20864,1277.6799999999998,16.329597395278945
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2008,19812,1117.82,17.72378379345512
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2008,15616,929.14,16.806939750737243
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2008,15948,950.56,16.777478538966506
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2008,4560,267.56,17.04290626401555
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2008,5324,310.78000000000003,17.131089516699916
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2008,43718,2605.14,16.781439769071913
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2008,8288,570.5799999999999,14.525570472151147
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2008,25782,1550.22,16.631187831404574
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2008,3464,190.48000000000002,18.185636287274253
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2008,8542,543.9,15.705092847949992
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2008,19980,1181.12,16.916147385532376
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2008,3526,242.66,14.53061897304871
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2008,3308,617.3000000000001,5.3588206706625625
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2008,NA,NA,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2008,2574,127.3,20.219952867242736
0297,01,SPRING GROVE SCHOOL DISTRICT,2008,696,51.2,13.59375
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2008,1608,116.06,13.854902636567292
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2008,2810,188.1,14.93886230728336
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2008,536,45.4,11.806167400881058
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2008,1080,78.56,13.747454175152749
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2008,3222,216.3,14.895977808599167
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2008,1916,113.92,16.8188202247191
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2008,2348,134.98000000000002,17.395169654763667
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2008,1930,132.32,14.585852478839179
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2008,7758,412.98,18.78541333720761
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2008,1232,83.86,14.691151919866444
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2008,728,53.48,13.61256544502618
0332,01,MORA PUBLIC SCHOOL DISTRICT,2008,3884,234.48000000000002,16.564312521323778
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2008,1264,90.5,13.966850828729282
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2008,3176,202.18,15.70877435948165
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2008,8378,633.26,13.22995294191959
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2008,382,38.8,9.845360824742269
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2008,2624,145.72,18.007136975020586
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2008,706,47.48,14.869418702611627
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2008,742,88.32000000000001,8.401268115942027
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2008,1034,79,13.08860759493671
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2008,2938,180.18,16.305916305916305
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2008,1100,72.74,15.12235358812208
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2008,854,59.38,14.381946783428763
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2008,98,6.22,15.755627009646302
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2008,12,7.14,1.680672268907563
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2008,346,26.76,12.929745889387144
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2008,328,27.720000000000002,11.832611832611832
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2008,338,34.4,9.825581395348838
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2008,4522,320.24,14.120659505370972
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2008,944,71.6,13.184357541899443
0415,01,LYND PUBLIC SCHOOL DISTRICT,2008,228,30.12,7.569721115537848
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2008,6030,351.06,17.176551016920186
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2008,908,60.9,14.90968801313629
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2008,1420,113.6,12.5
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2008,1248,101.56,12.288302481291847
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2008,740,63.220000000000006,11.705156596013918
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2008,408,36.94,11.044937736870601
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2008,686,47.839999999999996,14.339464882943146
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2008,1744,117.14,14.888168004097661
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2008,3588,236,15.203389830508474
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2008,4752,261.8,18.15126050420168
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2008,1166,79.44000000000001,14.677744209466262
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2008,7054,408.14,17.283285147253395
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2008,1562,118.10000000000001,13.226079593564775
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2008,5114,335.72,15.232932205409268
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2008,2112,136.35999999999999,15.488413024347318
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2008,1422,94.58000000000001,15.03489109748361
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2008,718,51.1,14.050880626223092
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2008,810,48.06,16.85393258426966
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2008,8572,563.12,15.222332717715584
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2008,756,58.7,12.879045996592845
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2008,512,43.46,11.780947998159226
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2008,610,50.24,12.141719745222929
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2008,1192,77.06,15.468466130288087
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2008,822,65.22,12.603495860165594
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2008,632,40.4,15.643564356435643
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2008,3764,246.98000000000002,15.240100412988905
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2008,1286,87.44000000000001,14.70722781335773
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2008,388,40.74,9.523809523809524
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2008,4514,327.78000000000003,13.77143205808774
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2008,3298,186.5,17.683646112600535
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2008,2284,143.62,15.903077565798634
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2008,3546,211.12,16.796134899583176
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2008,32416,1956.3,16.570055717425753
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2008,1024,75.98,13.477230850223743
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2008,5116,317.16,16.130659603985368
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2008,728,59.959999999999994,12.141427618412276
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2008,1124,78.75999999999999,14.27120365667852
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2008,1988,143.22,13.880742913000978
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2008,3026,197.98000000000002,15.284372158803919
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2008,1030,67.32000000000001,15.300059417706475
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2008,1480,100.56,14.7175815433572
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2008,388,36.9,10.514905149051492
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2008,3960,271.58,14.581338832020032
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2008,918,68.12,13.476218438050498
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2008,3278,220.18,14.88781905713507
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2008,606,52.84,11.468584405753216
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2008,282,39,7.230769230769231
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2008,2754,194.36,14.16958221856349
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2008,3472,214.73999999999998,16.168389680543914
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2008,970,79.3,12.232030264817151
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2008,558,45.34,12.307013674459638
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2008,1316,98.84,13.314447592067989
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2008,20272,1172.94,17.283066482514023
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2008,21808,1122.84,19.422179473477968
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2008,13008,724.5,17.954451345755693
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2008,16964,847.4399999999999,20.017936373076562
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2008,79362,5252.3,15.109951830626581
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2008,746,69.98,10.66018862532152
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2008,68,10.14,6.70611439842209
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2008,794,61.6,12.88961038961039
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2008,8270,509.8,16.22204786190663
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2008,7882,449.98,17.516334059291523
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2008,664,47.46,13.990729034976823
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2008,450,38.92,11.562178828365878
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2008,2638,155.06,17.012769250612667
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2008,2418,156.14,15.486102215960036
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2008,1482,93.64,15.826569841947885
0696,01,ELY PUBLIC SCHOOL DISTRICT,2008,1182,69.78,16.93895098882201
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2008,752,62.1,12.10950080515298
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2008,4062,205.08,19.806904622586305
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2008,4902,265.8,18.442437923250562
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2008,3440,193.04,17.820140903439704
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2008,3164,179.12,17.66413577489951
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2008,142,24.4,5.8196721311475414
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2008,20296,1313.48,15.45208149343728
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2008,1290,101.38000000000001,12.72440323535214
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2008,3050,177.22,17.210247150434487
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2008,3144,186.62,16.847068910084662
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2008,13706,754.62,18.162783917733428
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2008,12554,776.12,16.17533371128176
0721,01,NEW PRAGUE AREA SCHOOLS,2008,7176,438.32,16.371600657054206
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2008,5400,328.34,16.446366571237135
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2008,7204,374.92,19.214765816707562
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2008,24876,1292.26,19.24999613080959
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2008,2066,126.88,16.283102143757883
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2008,1530,92.3,16.57638136511376
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2008,2798,168.02,16.652779431020114
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2008,2154,142.54,15.11154763575137
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2008,19120,1232.82,15.509157865706268
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2008,2168,132.52,16.35979474796257
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2008,3246,208.2,15.59077809798271
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2008,6430,382.58,16.806942338857233
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2008,4428,255.28,17.34565966781573
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2008,1408,96.86,14.536444352673962
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2008,9976,598.4599999999999,16.669451592420547
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2008,1504,97.34,15.450996507088554
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2008,526,38.36,13.712200208550573
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2008,340,38.620000000000005,8.803728638011393
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2008,1072,86.1,12.450638792102207
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2008,2008,142.92000000000002,14.049818080044778
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2008,936,74.16,12.62135922330097
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2008,992,73.96,13.41265548945376
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2008,266,28.259999999999998,9.412597310686483
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2008,832,68.48,12.149532710280374
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2008,1250,85.64,14.59598318542737
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2008,2618,186.06,14.070729872084273
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2008,864,80,10.8
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2008,1048,76.26,13.742460005245213
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2008,1484,102.84,14.430182808245819
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2008,3752,262.04,14.31842466798962
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2008,14404,830.8599999999999,17.336254001877574
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2008,6248,356.52,17.524963536407494
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2008,33308,2016.5800000000002,16.51707346100824
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2008,17368,876.74,19.809749754773364
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2008,438,40.8,10.73529411764706
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2008,1120,87.24000000000001,12.838147638697844
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2008,2374,160,14.8375
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2008,1542,112.92,13.655685441020191
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2008,412,35.98,11.450806003335186
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2008,218,32.18,6.774394033561218
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2008,1514,103.66,14.605440864364269
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2008,2070,126.24000000000001,16.397338403041825
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2008,7246,524.64,13.811375419335164
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2008,3598,227.72,15.800105392587389
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2008,11520,681.3000000000001,16.908850726552178
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2008,4532,254.32,17.82006920415225
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2008,2024,132.04,15.328688276279916
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2008,8024,449.56,17.84856303941632
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2008,3170,188.7,16.79915209326974
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2008,9376,583.62,16.065247935300366
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2008,1092,82.96,13.162970106075218
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2008,10222,573.64,17.81953838644446
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2008,3930,266.96000000000004,14.721306562780939
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2008,576,52.34,11.004967520061138
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2008,376,31.66,11.876184459886291
0916,06,NORTHEAST METRO 916,2008,1304,239.8,5.437864887406172
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2008,1272,200.2,6.353646353646354
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2008,98,16.62,5.896510228640192
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2008,210,18.54,11.326860841423949
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2008,334,38.919999999999995,8.581706063720453
0966,51,WRIGHT TECHNICAL CENTER,2008,316,50.58,6.247528667457494
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2008,198,49.58,3.9935457845905606
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2008,40,6.5,6.153846153846154
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2008,566,38.32,14.77035490605428
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2008,436,NA,NA
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2008,1598,100.24000000000001,15.941739824421386
2125,01,TRITON SCHOOL DISTRICT,2008,2256,155.6,14.498714652956298
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2008,1658,122.6,13.523654159869494
2135,01,MAPLE RIVER SCHOOL DISTRICT,2008,2344,184.08,12.733594089526292
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2008,1514,98.88,15.31148867313916
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2008,4256,310.3,13.715758942958427
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2008,1968,139.78,14.079267420231792
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2008,7104,410.78000000000003,17.293928623594137
2149,01,MINNEWASKA SCHOOL DISTRICT,2008,2390,173.14,13.803858149474415
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2008,2564,170.98000000000002,14.995905953912736
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2008,2204,149.54,14.738531496589543
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2008,1206,84.08,14.34348239771646
2164,01,DILWORTH-GLYNDON-FELTON,2008,2646,178.12,14.855153828879407
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2008,2032,139.12,14.606095457159286
2167,01,LAKEVIEW SCHOOL DISTRICT,2008,1206,89.42,13.486915678819056
2168,01,NRHEG SCHOOL DISTRICT,2008,2008,134.88000000000002,14.887307236061682
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2008,1490,104.75999999999999,14.22298587247041
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2008,2774,160.08,17.328835582208896
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2008,646,55.74,11.589522784355937
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2008,1762,108.18,16.28766870031429
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2008,1952,148.92000000000002,13.10770883695944
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2008,936,76.46000000000001,12.241695003923619
2180,01,MACCRAY SCHOOL DISTRICT,2008,1428,101.88,14.016489988221437
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2008,2450,176.73999999999998,13.862170419825734
2190,01,YELLOW MEDICINE EAST,2008,1894,147.8,12.814614343707712
2198,01,FILLMORE CENTRAL,2008,1206,100.54,11.995225780783766
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2008,694,63.48,10.932577189666038
2310,01,SIBLEY EAST SCHOOL DISTRICT,2008,2436,170.68,14.272322474806655
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2008,950,72.36,13.128800442233278
2342,01,WEST CENTRAL AREA,2008,1592,114.75999999999999,13.87242941791565
2358,01,TRI-COUNTY SCHOOL DISTRICT,2008,482,49.879999999999995,9.663191659983962
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2008,1434,85.26,16.819141449683322
2365,01,G.F.W.,2008,1548,109.12,14.186217008797653
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2008,1628,118.14,13.780260707635009
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2008,2536,164.66,15.401433256407142
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2008,1614,105.69999999999999,15.269631031220436
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2008,578,48.2,11.991701244813278
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2008,1700,113.64,14.95952129531855
2536,01,GRANADA HUNTLEY-EAST CHAIN,2008,534,41.12,12.986381322957198
2580,01,EAST CENTRAL SCHOOL DISTRICT,2008,1564,119.72,13.063815569662546
2609,01,WIN-E-MAC SCHOOL DISTRICT,2008,1000,66.92,14.943215780035864
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2008,966,72.46000000000001,13.331493237648356
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2008,2012,141.46,14.223101936943305
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2008,2328,153.26,15.18987341772152
2711,01,MESABI EAST SCHOOL DISTRICT,2008,1746,100.98,17.29055258467023
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2008,3454,231.72,14.905920939064389
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2008,2404,189.12,12.71150592216582
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2008,860,63.7,13.500784929356357
2769,01,MORRIS AREA PUBLIC SCHOOLS,2008,1862,120.96,15.393518518518519
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2008,2200,140.16,15.696347031963471
2835,01,JANESVILLE-WALDORF-PEMBERTON,2008,1096,76.67999999999999,14.293166405842463
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2008,1874,125.69999999999999,14.9085123309467
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2008,1112,91.52000000000001,12.150349650349648
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2008,732,53.26,13.743897859556892
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2008,3300,184.72,17.8648765699437
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2008,2464,164.72,14.958717824186499
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2008,1014,84.48,12.002840909090908
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2008,670,44.519999999999996,15.04941599281222
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2008,792,63.74,12.42547850643238
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2008,1236,93.24000000000001,13.256113256113254
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2008,1198,94.06,12.736551137571762
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2008,2364,146.29999999999998,16.158578263841424
2897,01,REDWOOD AREA SCHOOL DISTRICT,2008,2532,182.2,13.896816684961582
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2008,1110,86.2,12.877030162412993
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2008,3134,204.58,15.319190536709355
2902,01,RTR PUBLIC SCHOOLS,2008,1130,91.96,12.287951283166596
2903,01,ORTONVILLE PUBLIC SCHOOLS,2008,NA,NA,NA
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2008,NA,NA,NA
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2008,NA,NA,NA
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2008,NA,NA,NA
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2008,NA,NA,NA
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2008,NA,NA,NA
4000,07,CITY ACADEMY,2008,238,17.2,13.837209302325581
4001,07,BLUFFVIEW MONTESSORI,2008,412,30.82,13.36794289422453
4003,07,"NEW HEIGHTS SCHOOL, INC.",2008,248,27.52,9.011627906976745
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2008,222,22.64,9.80565371024735
4005,07,METRO DEAF SCHOOL,2008,112,27.52,4.069767441860465
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2008,246,19.52,12.602459016393443
4008,07,PACT CHARTER SCHOOL,2008,1140,70.89999999999999,16.07898448519041
4011,07,ATHLOS LEADERSHIP ACADEMY,2008,472,44.2,10.678733031674208
4015,07,COMMUNITY OF PEACE ACADEMY,2008,1264,99.58000000000001,12.693311910022091
4016,07,WORLD LEARNER CHARTER SCHOOL,2008,332,13,25.53846153846154
