districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2018,1664,129.26,12.873278663159525
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2018,2062,129.5,15.922779922779922
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2018,1450,104.96,13.814786585365855
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2018,426,44.04,9.673024523160763
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2018,1398,110.4,12.66304347826087
2536,01,GRANADA HUNTLEY-EAST CHAIN,2018,556,36.16,15.376106194690268
2580,01,EAST CENTRAL SCHOOL DISTRICT,2018,1490,107.38,13.875954553920657
2609,01,WIN-E-MAC SCHOOL DISTRICT,2018,962,67.82,14.184606310822767
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2018,662,65.72,10.07303712720633
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2018,2460,159.16,15.456144759989948
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2018,2284,168.24,13.575844032334759
2711,01,MESABI EAST SCHOOL DISTRICT,2018,1984,124.18,15.976807859558704
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2018,3534,203.84,17.33712715855573
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2018,1778,139.62,12.734565248531728
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2018,946,75.3,12.56308100929615
2769,01,MORRIS AREA PUBLIC SCHOOLS,2018,2052,143.34,14.315613227291754
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2018,2448,156.26,15.666197363368745
2835,01,JANESVILLE-WALDORF-PEMBERTON,2018,1358,101.16,13.42427837089759
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2018,1640,122.02,13.440419603343715
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2018,1206,82.48,14.621726479146458
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2018,608,44.82,13.56537260151718
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2018,3272,205.64,15.911301303248397
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2018,2244,153.12,14.655172413793103
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2018,876,69.9,12.532188841201716
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2018,478,38.58,12.389839294971488
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2018,682,55.42,12.306026705160592
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2018,1406,112.12,12.540135569033179
