districtNumber,districtType,districtName,year,change
0505,01,Fulda Public School District,2017,-0.0547112462006079
0507,01,Nicollet Public School District,2017,0.00518134715025907
0508,01,St. Peter Public School District,2017,0.0558758314855876
0511,01,Adrian Public School District,2017,0.0239316239316239
0514,01,Ellsworth Public School District,2017,-0.0719424460431655
0518,01,Worthington Public School District,2017,0.0612302483069977
0531,01,Byron Public School District,2017,0.0264550264550265
0533,01,Dover-Eyota Public School District,2017,-0.00355871886120996
0534,01,Stewartville Public School District,2017,0.0184222957014643
0535,01,Rochester Public School District,2017,0.0187173289865662
0542,01,Battle Lake Public School District,2017,-0.0611764705882353
0544,01,Fergus Falls Public School District,2017,0.0167140825035562
0545,01,Henning Public School District,2017,-0.0230179028132992
0547,01,Parkers Prairie Public School Dist.,2017,-0.010752688172043
0548,01,Pelican Rapids Public School Dist.,2017,-0.0170454545454545
0549,01,Perham-Dent Public School District,2017,-0.0068073519400953
0550,01,Underwood Public School District,2017,-0.0532110091743119
0553,01,New York Mills Public School Dist.,2017,0.0197889182058048
0561,01,Goodridge Public School District,2017,0.0723404255319149
0564,01,Thief River Falls School District,2017,-0.00245821042281219
0577,01,Willow River Public School District,2017,0.0045766590389016
0578,01,Pine City Public School District,2017,-0.00912964090079124
0581,01,Edgerton Public School District,2017,0.049645390070922
0592,01,Climax-Shelly Public Schools,2017,-0.00442477876106195
0593,01,Crookston Public School District,2017,-0.0145044319097502
0595,01,East Grand Forks Public School Dist,2017,0.0187793427230047
0599,01,Fertile-Beltrami School District,2017,-0.0130434782608696
0600,01,Fisher Public School District,2017,-0.00735294117647059
0601,01,Fosston Public School District,2017,-0.0264797507788162
0621,01,Mounds View Public School District,2017,0.00781317077358977
0622,01,North St Paul-Maplewood Oakdale Dis,2017,0.0221974551871459
0623,01,Roseville Public School District,2017,0.0108135942327497
0624,01,White Bear Lake School District,2017,0.0298490393412626
0625,01,St. Paul Public School District,2017,0.00501380808107891
0630,01,Red Lake Falls Public School Dist.,2017,0
0635,01,Milroy Public School District,2017,0.166666666666667
0640,01,Wabasso Public School District,2017,0.0430379746835443
0656,01,Faribault Public School District,2017,-0.00582472862059836
0659,01,Northfield Public School District,2017,0.0142052412441832
0671,01,Hills-Beaver Creek School District,2017,-0.0106382978723404
0676,01,Badger Public School District,2017,-0.139830508474576
0682,01,Roseau Public School District,2017,0.00593723494486853
0690,01,Warroad Public School District,2017,-0.0418367346938776
0695,01,Chisholm Public School District,2017,-0.0314207650273224
0696,01,Ely Public School District,2017,0.025
0698,01,Floodwood Public School District,2017,0
0700,01,Hermantown Public School District,2017,0.00372266170311773
0701,01,Hibbing Public School District,2017,0.00609756097560976
