DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,08,0,0,1,1,2,1,3,1,57,66,63,69,9,132,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,09,1,2,0,4,1,0,1,1,72,58,75,65,10,140,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,10,0,0,0,3,0,0,1,1,58,54,59,58,5,117,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,11,1,0,1,0,0,0,1,0,58,57,61,57,3,118,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,12,1,0,0,0,3,0,2,1,48,52,54,53,7,107,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,All Grades,5,5,18,19,25,16,20,9,780,733,848,782,117,1630,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,EC,0,0,0,0,0,1,1,0,12,6,13,7,2,20,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,KG,1,0,1,1,4,5,0,0,55,60,61,66,12,127,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,01,3,1,1,2,8,6,1,0,74,61,87,70,22,157,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,02,2,0,1,0,4,5,2,2,58,55,67,62,16,129,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,03,3,0,2,0,4,7,1,0,51,56,61,63,17,124,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,04,0,0,1,0,7,4,1,0,50,71,59,75,13,134,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,05,0,0,1,3,4,4,1,3,53,54,59,64,16,123,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,06,0,0,1,0,3,4,0,1,71,60,75,65,9,140,District,EC-12,, ,
