dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
98-99,0299,01,CALEDONIA,KG,28,10,0,0,0,0,0,0,2,0,31,35,33,35,2,68,10
98-99,0299,01,CALEDONIA,PK,28,10,0,0,0,0,0,0,0,0,2,6,2,6,0,8,10
98-99,0300,01,LACRESCENT-HOKAH,01,28,10,0,0,0,2,0,0,1,1,48,63,49,66,4,115,10
98-99,0300,01,LACRESCENT-HOKAH,02,28,10,0,0,0,1,0,0,2,0,49,53,51,54,3,105,10
98-99,0300,01,LACRESCENT-HOKAH,03,28,10,0,0,0,2,0,0,2,2,65,45,67,49,6,116,10
98-99,0300,01,LACRESCENT-HOKAH,04,28,10,1,0,2,0,0,0,1,3,45,49,49,52,7,101,10
98-99,0300,01,LACRESCENT-HOKAH,05,28,10,0,0,0,0,0,0,1,1,60,48,61,49,2,110,10
98-99,0300,01,LACRESCENT-HOKAH,06,28,10,0,0,1,0,0,0,0,0,54,63,55,63,1,118,10
98-99,0300,01,LACRESCENT-HOKAH,07,28,10,0,1,0,0,0,0,2,1,71,79,73,81,4,154,10
98-99,0300,01,LACRESCENT-HOKAH,08,28,10,0,0,2,0,0,1,1,0,66,67,69,68,4,137,10
98-99,0300,01,LACRESCENT-HOKAH,09,28,10,0,0,2,0,0,0,0,1,83,86,85,87,3,172,10
98-99,0300,01,LACRESCENT-HOKAH,10,28,10,0,0,0,2,0,0,0,0,72,81,72,83,2,155,10
98-99,0300,01,LACRESCENT-HOKAH,11,28,10,0,0,0,1,1,0,1,0,87,55,89,56,3,145,10
98-99,0300,01,LACRESCENT-HOKAH,12,28,10,0,0,1,2,0,1,1,0,89,59,91,62,5,153,10
98-99,0300,01,LACRESCENT-HOKAH,KG,28,10,0,0,0,0,1,0,0,0,38,54,39,54,1,93,10
98-99,0300,01,LACRESCENT-HOKAH,PK,28,10,0,0,1,0,0,0,0,0,7,3,8,3,1,11,10
98-99,0306,01,LAPORTE,01,29,01,3,3,0,0,0,0,0,0,10,12,13,15,6,28,02
98-99,0306,01,LAPORTE,02,29,01,3,0,1,0,0,0,0,0,11,6,15,6,4,21,02
98-99,0306,01,LAPORTE,03,29,01,2,1,0,0,0,0,0,0,8,12,10,13,3,23,02
98-99,0306,01,LAPORTE,04,29,01,0,0,0,0,0,0,0,0,7,20,7,20,0,27,02
98-99,0306,01,LAPORTE,05,29,01,2,1,0,0,0,0,0,0,13,15,15,16,3,31,02
98-99,0306,01,LAPORTE,06,29,01,3,1,0,0,0,0,0,0,8,16,11,17,4,28,02
98-99,0306,01,LAPORTE,07,29,01,1,2,0,0,0,0,1,0,14,10,16,12,4,28,02
98-99,0306,01,LAPORTE,08,29,01,2,2,0,0,0,0,0,0,15,15,17,17,4,34,02
98-99,0306,01,LAPORTE,09,29,01,0,0,0,0,0,0,0,0,27,19,27,19,0,46,02
98-99,0306,01,LAPORTE,10,29,01,1,3,0,0,0,0,0,0,15,21,16,24,4,40,02
98-99,0306,01,LAPORTE,11,29,01,0,1,0,0,0,0,0,0,13,19,13,20,1,33,02
98-99,0306,01,LAPORTE,12,29,01,2,1,0,0,0,0,0,0,7,9,9,10,3,19,02
98-99,0306,01,LAPORTE,KG,29,01,1,0,0,0,0,0,0,0,9,7,10,7,1,17,02
98-99,0306,01,LAPORTE,PK,29,01,0,0,0,0,0,0,0,0,3,1,3,1,0,4,02
98-99,0308,01,NEVIS,01,29,01,1,0,0,0,0,0,0,0,23,12,24,12,1,36,02
98-99,0308,01,NEVIS,02,29,01,0,0,0,0,0,1,1,0,18,19,19,20,2,39,02
98-99,0308,01,NEVIS,03,29,01,0,1,0,0,0,0,0,0,16,18,16,19,1,35,02
98-99,0308,01,NEVIS,04,29,01,2,0,0,0,1,0,0,0,27,11,30,11,3,41,02
98-99,0308,01,NEVIS,05,29,01,1,2,0,0,1,1,2,0,21,18,25,21,7,46,02
98-99,0308,01,NEVIS,06,29,01,1,0,0,0,0,1,0,1,22,20,23,22,3,45,02
98-99,0308,01,NEVIS,07,29,01,0,1,0,0,0,0,0,0,26,20,26,21,1,47,02
98-99,0308,01,NEVIS,08,29,01,0,1,0,0,1,0,0,0,26,20,27,21,2,48,02
98-99,0308,01,NEVIS,09,29,01,1,0,0,0,0,0,0,1,25,22,26,23,2,49,02
98-99,0308,01,NEVIS,10,29,01,0,0,0,0,0,0,0,0,28,21,28,21,0,49,02
98-99,0308,01,NEVIS,11,29,01,1,1,0,0,0,0,0,0,23,23,24,24,2,48,02
98-99,0308,01,NEVIS,12,29,01,0,0,0,0,1,0,0,0,14,22,15,22,1,37,02
98-99,0308,01,NEVIS,KG,29,01,1,0,0,0,0,0,0,0,19,15,20,15,1,35,02
98-99,0308,01,NEVIS,PK,29,01,0,0,0,0,0,0,0,0,2,2,2,2,0,4,02
98-99,0309,01,PARK RAPIDS,01,29,01,5,2,1,0,0,0,0,2,71,39,77,43,10,120,02
98-99,0309,01,PARK RAPIDS,02,29,01,2,5,0,1,0,1,0,0,63,61,65,68,9,133,02
98-99,0309,01,PARK RAPIDS,03,29,01,4,6,0,0,0,0,0,0,80,61,84,67,10,151,02
98-99,0309,01,PARK RAPIDS,04,29,01,5,7,0,0,0,0,1,0,68,71,74,78,13,152,02
98-99,0309,01,PARK RAPIDS,05,29,01,5,8,0,1,0,0,0,0,67,56,72,65,14,137,02
98-99,0309,01,PARK RAPIDS,06,29,01,5,8,0,0,0,0,0,1,75,74,80,83,14,163,02
98-99,0309,01,PARK RAPIDS,07,29,01,6,3,0,0,0,0,0,1,68,54,74,58,10,132,02
98-99,0309,01,PARK RAPIDS,08,29,01,4,4,0,0,0,0,0,2,64,63,68,69,10,137,02
98-99,0309,01,PARK RAPIDS,09,29,01,4,6,0,3,0,1,0,0,88,86,92,96,14,188,02
98-99,0309,01,PARK RAPIDS,10,29,01,2,4,0,1,1,0,1,0,88,76,92,81,9,173,02
98-99,0309,01,PARK RAPIDS,11,29,01,4,2,0,1,0,0,0,0,80,87,84,90,7,174,02
98-99,0309,01,PARK RAPIDS,12,29,01,2,1,0,0,1,1,0,0,69,72,72,74,5,146,02
98-99,0309,01,PARK RAPIDS,KG,29,01,1,3,0,3,0,1,0,0,51,58,52,65,8,117,02
98-99,0309,01,PARK RAPIDS,PK,29,01,1,0,0,0,0,0,0,0,23,8,24,8,1,32,02
98-99,0314,01,BRAHAM,01,30,07,0,0,0,0,1,0,0,1,44,31,45,32,2,77,07E
98-99,0314,01,BRAHAM,02,30,07,1,0,1,0,0,0,0,0,35,28,37,28,2,65,07E
98-99,0314,01,BRAHAM,03,30,07,1,0,0,1,1,0,1,0,32,35,35,36,4,71,07E
98-99,0314,01,BRAHAM,04,30,07,0,0,0,0,1,0,0,1,49,28,50,29,2,79,07E
98-99,0314,01,BRAHAM,05,30,07,0,1,0,0,0,0,0,0,43,35,43,36,1,79,07E
98-99,0314,01,BRAHAM,06,30,07,0,0,2,0,0,0,0,0,40,34,42,34,2,76,07E
98-99,0314,01,BRAHAM,07,30,07,0,3,0,0,0,0,0,0,30,47,30,50,3,80,07E
98-99,0314,01,BRAHAM,08,30,07,0,0,0,0,1,0,0,0,47,39,48,39,1,87,07E
98-99,0314,01,BRAHAM,09,30,07,1,0,0,0,1,0,0,1,39,45,41,46,3,87,07E
98-99,0314,01,BRAHAM,10,30,07,0,0,0,1,0,0,1,0,41,40,42,41,2,83,07E
98-99,0314,01,BRAHAM,11,30,07,0,0,0,0,1,0,0,0,57,44,58,44,1,102,07E
98-99,0314,01,BRAHAM,12,30,07,0,0,0,0,0,1,0,0,41,33,41,34,1,75,07E
98-99,0314,01,BRAHAM,KG,30,07,0,0,0,0,0,0,0,0,28,32,28,32,0,60,07E
98-99,0314,01,BRAHAM,PK,30,07,0,0,0,0,0,1,0,0,8,8,8,9,1,17,07E
98-99,0316,01,GREENWAY,01,31,03,3,2,0,0,0,1,0,1,50,52,53,56,7,109,03
98-99,0316,01,GREENWAY,02,31,03,3,1,0,0,0,0,0,0,58,46,61,47,4,108,03
98-99,0316,01,GREENWAY,03,31,03,0,1,1,0,0,1,1,0,39,42,41,44,4,85,03
98-99,0316,01,GREENWAY,04,31,03,5,3,0,1,0,0,0,0,61,53,66,57,9,123,03
98-99,0316,01,GREENWAY,05,31,03,3,2,0,0,1,0,0,0,54,54,58,56,6,114,03
98-99,0316,01,GREENWAY,06,31,03,4,1,0,0,0,2,0,1,56,50,60,54,8,114,03
98-99,0316,01,GREENWAY,07,31,03,3,6,0,0,0,0,0,0,59,38,62,44,9,106,03
98-99,0316,01,GREENWAY,08,31,03,4,3,0,0,0,0,0,0,69,57,73,60,7,133,03
98-99,0316,01,GREENWAY,09,31,03,8,1,0,0,0,0,0,0,43,61,51,62,9,113,03
98-99,0316,01,GREENWAY,10,31,03,4,7,0,0,0,0,0,1,52,68,56,76,12,132,03
98-99,0316,01,GREENWAY,11,31,03,6,5,0,0,0,0,0,0,78,45,84,50,11,134,03
98-99,0316,01,GREENWAY,12,31,03,12,7,0,0,0,0,0,0,67,57,79,64,19,143,03
98-99,0316,01,GREENWAY,KG,31,03,0,0,0,0,0,0,0,0,48,41,48,41,0,89,03
98-99,0316,01,GREENWAY,PK,31,03,0,0,0,0,0,0,0,0,14,7,14,7,0,21,03
98-99,0317,01,DEER RIVER,01,31,03,13,20,0,0,0,0,0,0,34,37,47,57,33,104,03
98-99,0317,01,DEER RIVER,02,31,03,16,11,0,0,0,0,0,0,38,28,54,39,27,93,03
98-99,0317,01,DEER RIVER,03,31,03,10,11,0,0,0,0,2,0,34,26,46,37,23,83,03
98-99,0317,01,DEER RIVER,04,31,03,15,10,0,0,0,0,0,1,33,31,48,42,26,90,03
98-99,0317,01,DEER RIVER,05,31,03,13,13,0,0,0,0,0,0,25,25,38,38,26,76,03
98-99,0317,01,DEER RIVER,06,31,03,9,12,0,0,0,0,0,0,47,22,56,34,21,90,03
98-99,0317,01,DEER RIVER,07,31,03,14,15,0,0,0,0,1,0,32,29,47,44,30,91,03
98-99,0317,01,DEER RIVER,08,31,03,5,2,0,0,0,0,0,0,43,38,48,40,7,88,03
98-99,0317,01,DEER RIVER,09,31,03,17,10,0,0,0,0,0,1,30,44,47,55,28,102,03
98-99,0317,01,DEER RIVER,10,31,03,16,14,0,1,0,0,0,0,39,44,55,59,31,114,03
98-99,0317,01,DEER RIVER,11,31,03,9,8,0,0,0,0,0,0,42,40,51,48,17,99,03
98-99,0317,01,DEER RIVER,12,31,03,6,5,0,1,0,0,0,0,33,29,39,35,12,74,03
98-99,0317,01,DEER RIVER,KG,31,03,4,6,0,0,0,0,0,0,41,32,45,38,10,83,03
