districtNumber,districtType,districtName,year,totalStudents
4160,07,SPECTRUM HIGH SCHOOL,2015,607
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2015,160
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2015,109
4163,07,LEARNING FOR LEADERSHIP CHARTER,2015,233
4164,07,LAURA JEFFREY ACADEMY CHARTER,2015,135
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2015,131
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2015,299
4168,07,GLACIAL HILLS ELEMENTARY,2015,125
4169,07,STONEBRIDGE WORLD SCHOOL,2015,256
4170,07,HIAWATHA ACADEMIES,2015,836
4171,07,NOBLE ACADEMY,2015,463
4172,07,CLARKFIELD CHARTER SCHOOL,2015,60
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2015,26
4178,07,LINCOLN INTERNATIONAL SCHOOL,2015,139
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2015,949
4183,07,LIONSGATE ACADEMY,2015,167
4184,07,ASPEN ACADEMY,2015,539
4185,07,DAVINCI ACADEMY,2015,411
4186,07,GLOBAL ACADEMY,2015,430
4187,07,NATURAL SCIENCE ACADEMY,2015,62
4188,07,COLOGNE ACADEMY,2015,503
4189,07,BRIGHT WATER ELEMENTARY,2015,162
4190,07,RIVERS EDGE ACADEMY,2015,70
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2015,255
4192,07,BEST ACADEMY,2015,658
4193,07,COLLEGE PREPARATORY ELEMENTARY,2015,314
4194,07,CANNON RIVER STEM SCHOOL,2015,294
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2015,31
4198,07,DISCOVERY WOODS,2015,105
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2015,801
4200,07,STEP ACADEMY CHARTER SCHOOL,2015,264
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2015,124
4204,07,ROCHESTER STEM ACADEMY,2015,80
4205,07,HENNEPIN ELEMENTARY SCHOOL,2015,254
4207,07,VERMILION COUNTRY SCHOOL,2015,58
4208,07,NASHA SHKOLA CHARTER SCHOOL,2015,128
4209,07,MASTERY SCHOOL,2015,247
4210,07,UPPER MISSISSIPPI ACADEMY,2015,230
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2015,114
4213,07,PRODEO ACADEMY,2015,126
4215,07,SEJONG ACADEMY OF MINNESOTA,2015,60
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2015,133
4218,07,VENTURE ACADEMY,2015,185
4219,07,NORTHEAST COLLEGE PREP,2015,145
4220,07,AGAMIM CLASSICAL ACADEMY,2015,NA
4221,07,DISCOVERY CHARTER SCHOOL,2015,NA
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEM,2015,138
4224,07,STAR OF THE NORTH ACADEMY CHARTER S,2015,92
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2015,167
4226,07,BDOTE LEARNING CENTER,2015,59
4227,07,ART AND SCIENCE ACADEMY,2015,156
4228,07,WOODBURY LEADERSHIP ACADEMY,2015,195
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE,2015,NA
4230,07,MINNESOTA EXCELLENCE IN LEARNING AC,2015,NA
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2015,265
4232,07,SUCCESS ACADEMY,2015,NA
4233,07,LEVEL UP ACADEMY,2015,NA
4237,07,CAREER PATHWAYS,2015,NA
4238,07,ROCHESTER BEACON ACADEMY,2015,NA
4239,07,TESFA INTERNATIONAL SCHOOL,2015,NA
4240,07,NEW CENTURY SCHOOL,2015,NA
4243,07,NORTH METRO FLEX ACADEMY,2015,NA
4244,07,FIT ACADEMY,2015,NA
4246,07,BIG PICTURE TWIN CITIES,2015,NA
4250,07,ATHLOS ACADEMY OF SAINT CLOUD,2015,NA
4254,07,MARINE AREA COMMUNITY SCHOOL,2015,NA
6004,61,FRESHWATER ED. DIST.,2015,165
6012,61,ZUMBRO EDUCATION DISTRICT,2015,160
6013,61,HIAWATHA VALLEY ED. DISTRICT,2015,119
6014,61,RUNESTONE AREA ED. DISTRICT,2015,84
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2015,120
6026,61,WEST CENTRAL EDUCATION DISTRICT,2015,62
6027,61,MN VALLEY EDUCATION DISTRICT,2015,85
6049,61,RIVER BEND EDUCATION DISTRICT,2015,127
6051,61,GOODHUE COUNTY EDUCATION DISTRICT,2015,128
6074,50,CENTRAL MINNESOTA JT. POWERS DIST.,2015,40
6076,50,NORTHLAND LEARNING CENTER,2015,83
6079,52,RUM RIVER SPECIAL EDUCATION COOP,2015,88
6083,52,SOUTHERN MN EDUCATION CONSORTIUM,2015,NA
6090,52,SHERBURNE AND NORTHERN WRIGHT SPECI,2015,NA
6094,52,CANNON VALLEY SPECIAL EDUCATION COO,2015,NA
6095,52,AUSTIN ALBERT LEA AREA SPECIAL EDUC,2015,NA
6096,52,NORTHERN LIGHTS ACADEMY COOPERATIVE,2015,NA
6383,61,BENTON-STEARNS ED. DISTRICT,2015,114
6979,61,MID STATE EDUCATION DISTRICT,2015,35
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2014,1251
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2014,36283
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2014,295
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2014,409
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2014,3442
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2014,38183
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2014,6532
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2014,3168
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2014,2944
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2014,4933
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2014,5581
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2014,2916
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2014,927
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2014,60
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2014,5208
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2014,626
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2014,254
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2014,1436
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2014,4092
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2014,1840
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2014,652
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2014,7822
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2014,159
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2014,561
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2014,609
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2014,1942
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2014,816
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2014,488
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2014,2504
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2014,323
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2014,636
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2014,1220
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2014,324
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2014,992
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2014,3730
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2014,1596
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2014,9385
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2014,749
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2014,1125
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2014,933
0118,01,NORTHLAND COMMUNITY SCHOOLS,2014,354
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2014,1321
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2014,3145
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2014,917
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2014,871
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2014,958
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2014,5829
0160,70,MINNESOTA STATE ACADEMIES,2014,191
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2014,1037
0166,01,COOK COUNTY PUBLIC SCHOOLS,2014,445
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2014,490
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2014,1001
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2014,6612
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2014,1113
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2014,1623
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2014,9566
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2014,6976
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2014,10978
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2014,585
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2014,27221
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2014,4901
0199,01,INVER GROVE HEIGHTS SCHOOLS,2014,3873
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2014,4554
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2014,748
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2014,2110
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2014,3924
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2014,870
0227,01,CHATFIELD PUBLIC SCHOOLS,2014,922
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2014,352
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2014,257
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2014,669
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2014,3295
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2014,507
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2014,1152
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2014,656
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2014,1194
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2014,2746
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2014,254
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2014,85
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2014,6939
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2014,10330
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2014,9152
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2014,8488
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2014,9739
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2014,2219
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2014,2794
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2014,20689
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2014,4418
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2014,12266
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2014,1734
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2014,4681
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2014,10625
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2014,2182
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2014,1277
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2014,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2014,2280
0297,01,SPRING GROVE SCHOOL DISTRICT,2014,372
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2014,667
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2014,1202
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2014,313
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2014,574
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2014,1500
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2014,831
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2014,1060
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2014,897
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2014,4041
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2014,564
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2014,348
0332,01,MORA PUBLIC SCHOOL DISTRICT,2014,1732
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2014,545
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2014,1407
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2014,4147
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2014,154
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2014,1119
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2014,346
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2014,354
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2014,510
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2014,1393
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2014,462
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2014,441
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2014,44
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2014,11
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2014,97
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2014,189
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2014,113
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2014,2307
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2014,463
0415,01,LYND PUBLIC SCHOOL DISTRICT,2014,133
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2014,2992
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2014,418
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2014,630
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2014,572
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2014,389
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2014,155
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2014,203
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2014,985
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2014,1698
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2014,2251
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2014,488
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2014,3281
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2014,685
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2014,2493
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2014,1118
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2014,899
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2014,339
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2014,368
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2014,4715
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2014,410
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2014,241
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2014,296
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2014,475
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2014,325
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2014,335
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2014,1955
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2014,597
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2014,156
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2014,2841
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2014,1905
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2014,1118
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2014,1988
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2014,16760
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2014,443
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2014,2544
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2014,387
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2014,529
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2014,913
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2014,1363
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2014,563
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2014,707
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2014,189
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2014,2017
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2014,446
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2014,1704
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2014,370
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2014,198
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2014,1286
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2014,1792
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2014,443
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2014,264
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2014,660
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2014,10734
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2014,10600
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2014,7123
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2014,8179
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2014,37865
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2014,371
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2014,25
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2014,385
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2014,3828
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2014,3872
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2014,350
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2014,255
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2014,1218
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2014,1027
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2014,725
0696,01,ELY PUBLIC SCHOOL DISTRICT,2014,561
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2014,269
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2014,2041
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2014,2453
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2014,1799
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2014,1724
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2014,90
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2014,8809
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2014,556
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2014,1609
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2014,1805
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2014,7510
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2014,7813
0721,01,NEW PRAGUE AREA SCHOOLS,2014,3975
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2014,2799
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2014,3264
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2014,13123
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2014,1015
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2014,666
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2014,1358
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2014,970
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2014,10033
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2014,961
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2014,1718
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2014,3716
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2014,2028
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2014,709
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2014,4915
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2014,857
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2014,315
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2014,159
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2014,624
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2014,890
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2014,420
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2014,422
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2014,90
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2014,402
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2014,588
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2014,1262
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2014,495
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2014,499
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2014,955
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2014,1933
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2014,6696
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2014,3321
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2014,17737
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2014,8233
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2014,247
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2014,535
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2014,1008
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2014,680
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2014,261
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2014,133
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2014,749
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2014,977
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2014,3176
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2014,1710
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2014,5885
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2014,2377
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2014,921
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2014,4137
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2014,1662
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2014,5747
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2014,506
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2014,5170
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2014,1921
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2014,295
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2014,143
0916,06,NORTHEAST METRO 916,2014,637
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2014,631
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2014,26
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2014,104
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2014,194
0966,51,WRIGHT TECHNICAL CENTER,2014,126
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2014,151
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2014,27
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2014,249
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2014,148
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2014,847
2125,01,TRITON SCHOOL DISTRICT,2014,1198
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2014,642
2135,01,MAPLE RIVER SCHOOL DISTRICT,2014,1043
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2014,614
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2014,1964
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2014,886
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2014,3351
2149,01,MINNEWASKA SCHOOL DISTRICT,2014,1149
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2014,1121
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2014,1000
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2014,594
2164,01,DILWORTH-GLYNDON-FELTON,2014,1534
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2014,966
2167,01,LAKEVIEW SCHOOL DISTRICT,2014,647
2168,01,NRHEG SCHOOL DISTRICT,2014,958
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2014,745
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2014,1200
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2014,327
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2014,822
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2014,926
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2014,432
2180,01,MACCRAY SCHOOL DISTRICT,2014,670
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2014,1228
2190,01,YELLOW MEDICINE EAST,2014,809
2198,01,FILLMORE CENTRAL,2014,588
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2014,300
2310,01,SIBLEY EAST SCHOOL DISTRICT,2014,1240
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2014,448
2342,01,WEST CENTRAL AREA,2014,744
2358,01,TRI-COUNTY SCHOOL DISTRICT,2014,207
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2014,673
2365,01,G.F.W.,2014,773
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2014,770
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2014,1036
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2014,757
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2014,298
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2014,745
2536,01,GRANADA HUNTLEY-EAST CHAIN,2014,202
2580,01,EAST CENTRAL SCHOOL DISTRICT,2014,750
2609,01,WIN-E-MAC SCHOOL DISTRICT,2014,426
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2014,429
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2014,1114
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2014,1162
2711,01,MESABI EAST SCHOOL DISTRICT,2014,964
