districtNumber,districtType,districtName,year,totalStudents
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2018,2958
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2018,872
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2018,854
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2018,981
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2018,6799
0160,70,MINNESOTA STATE ACADEMIES,2018,159
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2018,1056
0166,01,COOK COUNTY PUBLIC SCHOOLS,2018,515
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2018,515
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2018,1058
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2018,6744
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2018,1051
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2018,1706
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2018,9030
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2018,7257
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2018,11100
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2018,662
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2018,28802
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2018,5172
0199,01,INVER GROVE HEIGHTS SCHOOLS,2018,3688
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2018,4416
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2018,684
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2018,2178
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2018,4230
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2018,816
0227,01,CHATFIELD PUBLIC SCHOOLS,2018,917
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2018,357
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2018,264
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2018,656
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2018,3535
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2018,497
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2018,1149
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2018,657
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2018,1326
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2018,2690
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2018,260
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2018,112
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2018,6719
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2018,10668
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2018,8872
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2018,8588
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2018,10853
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2018,2392
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2018,2843
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2018,21221
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2018,4411
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2018,12553
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2018,1832
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2018,4740
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2018,11706
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2018,2566
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2018,1155
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2018,287
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2018,2040
0297,01,SPRING GROVE SCHOOL DISTRICT,2018,345
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2018,690
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2018,1141
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2018,327
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2018,629
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2018,1674
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2018,738
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2018,1087
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2018,951
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2018,4131
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2018,634
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2018,307
0332,01,MORA PUBLIC SCHOOL DISTRICT,2018,1659
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2018,500
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2018,1518
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2018,4382
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2018,179
