DistrictNumber,districtType,districtName,year,percentMinority
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2008,0.0469798657718121
4208,07,NASHA SHKOLA CHARTER SCHOOL,2008,NA
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2008,0.0795454545454545
4187,07,NATURAL SCIENCE ACADEMY,2008,NA
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2008,1
4055,07,NERSTRAND CHARTER SCHOOL,2008,0.0128205128205128
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2008,0.971830985915493
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2008,0.0666666666666667
4093,07,NEW CENTURY ACADEMY,2008,0.0469798657718121
4240,07,New Century School,2008,NA
4089,07,NEW CITY SCHOOL,2008,0.462809917355372
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2008,0.0818181818181818
4003,07,"NEW HEIGHTS SCHOOL, INC.",2008,0.0806451612903226
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2008,0.0371536523929471
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2008,1
0721,01,NEW PRAGUE AREA SCHOOLS,2008,0.036231884057971
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2008,0.0406976744186047
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2008,0.00945945945945946
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2008,0.0158227848101266
4171,07,NOBLE ACADEMY,2008,1
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2008,0.144092219020173
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2008,0.131487889273356
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2008,0.0559585492227979
4053,07,NORTH LAKES ACADEMY,2008,0.0782122905027933
4243,07,North Metro Flex Academy,2008,NA
4084,07,NORTH SHORE COMMUNITY SCHOOL,2008,0.00357142857142857
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2008,0.318323550990462
4219,07,NORTHEAST COLLEGE PREP,2008,NA
0916,06,NORTHEAST METRO 916,2008,0.337423312883436
6096,52,Northern Lights Academy Cooperative,2008,NA
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2008,0.180851063829787
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2008,0.134483633595534
0118,01,NORTHLAND COMMUNITY SCHOOLS,2008,0.239175257731959
6076,50,NORTHLAND LEARNING CENTER,2008,0.195876288659794
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2008,0.19047619047619
4098,07,NOVA CLASSICAL ACADEMY,2008,0.123595505617978
2168,01,NRHEG SCHOOL DISTRICT,2008,0.00796812749003984
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2008,0.0237341772151899
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2008,0.34314980793854
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2008,0.0570999248685199
2903,01,ORTONVILLE PUBLIC SCHOOLS,2008,NA
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2008,0.0431848852901484
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2008,NA
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2008,0.428107415709776
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2008,0.175220529270249
4008,07,PACT CHARTER SCHOOL,2008,0.0596491228070175
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2008,0.125
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2008,0.104283054003724
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2008,0.0142348754448399
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2008,NA
4097,07,"PARTNERSHIP ACADEMY, INC.",2008,0.992217898832685
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2008,0.042711234911792
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2008,0.32897384305835
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2008,0.0149439601494396
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2008,0.0528750826173166
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2008,0.19434628975265
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2008,0.0255681818181818
4080,07,PILLAGER AREA CHARTER SCHOOL,2008,0.0444444444444444
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2008,0.0210803689064559
4110,07,PIM Arts High School,2008,0.216216216216216
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2008,0.0420988407565589
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2008,0.0523349436392915
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2008,1
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2008,0.048155737704918
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2008,0.0936426116838488
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2008,0.0638162093171666
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2008,0.1
4126,07,PRAIRIE SEEDS ACADEMY,2008,1
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2008,0.041962007371704
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2008,0.111775864584853
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2008,0.036046511627907
4213,07,PRODEO ACADEMY,2008,NA
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2008,0.0467836257309941
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2008,NA
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2008,0.096514745308311
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2008,1
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2008,0.0670611439842209
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2008,0.148453608247423
2897,01,REDWOOD AREA SCHOOL DISTRICT,2008,0.260663507109005
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2008,0.326530612244898
0991,83,Region 6 and 8-SW/WC Service Coop,2008,0.292929292929293
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2008,0.242070116861436
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2008,0.620415057915058
4083,07,RIDGEWAY COMMUNITY SCHOOL,2008,0.0294117647058824
6049,61,RIVER BEND EDUCATION DISTRICT,2008,0.262068965517241
4190,07,RIVERS EDGE ACADEMY,2008,NA
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2008,0.0574712643678161
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2008,0.441625940578698
4238,07,ROCHESTER BEACON ACADEMY,2008,NA
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2008,1
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2008,0.275542941757157
4204,07,ROCHESTER STEM ACADEMY,2008,NA
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2008,0.0687697160883281
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2008,0.0555555555555556
4056,07,Rosa Parks Charter High School,2008,0.196581196581197
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2008,0.0197119029567854
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2008,0.201959306706858
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2008,0.340559655596556
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2008,0.0436893203883495
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2008,NA
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2008,0.0267229254571027
2902,01,RTR PUBLIC SCHOOLS,2008,0.0513274336283186
6079,52,RUM RIVER SPECIAL EDUCATION COOP,2008,NA
6014,61,RUNESTONE AREA ED. DISTRICT,2008,0.0650406504065041
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2008,0.0364415862808146
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2008,0.0216383307573416
4087,07,SAGE ACADEMY CHARTER SCHOOL,2008,0.0806451612903226
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEM,2008,NA
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2008,0.0351477449455677
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2008,0.0553505535055351
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2008,0.0674634794156707
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2008,0.207792207792208
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2008,0.017175572519084
4215,07,SEJONG ACADEMY OF MINNESOTA,2008,NA
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2008,0.127340823970037
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2008,0.298868886410706
6090,52,SHERBURNE AND NORTHERN WRIGHT SPECI,2008,NA
2310,01,SIBLEY EAST SCHOOL DISTRICT,2008,0.235632183908046
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2008,0.360778443113772
4038,07,SOJOURNER TRUTH ACADEMY,2008,0.977011494252874
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2008,0.078167115902965
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2008,0.274314965371876
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2008,0.21742524318482
6083,52,SOUTHERN MN EDUCATION CONSORTIUM,2008,NA
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2008,0.164893617021277
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2008,0.0402684563758389
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2008,0.553191489361702
0288,06,Southwest Metro Intermediate 288,2008,NA
4160,07,SPECTRUM HIGH SCHOOL,2008,0.0338983050847458
4113,07,Spero Academy,2008,0.236111111111111
0297,01,SPRING GROVE SCHOOL DISTRICT,2008,0
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2008,0.268560361523564
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2008,0.0390492359932088
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2008,0.198275862068966
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2008,0.185334872979215
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2008,0.126570048309179
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2008,0.00477707006369427
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2008,0.223849372384937
4120,07,ST. CROIX PREPARATORY ACADEMY,2008,0.0774487471526196
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2008,0.0794162565755982
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2008,0.404380791912384
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2008,0.128289473684211
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2008,0.343713416061812
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2008,0.0902303754266212
4029,07,ST. PAUL CITY SCHOOL,2008,0.922077922077922
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2008,0.747032584864293
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2008,0.130180658873539
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2008,0.0627253064167267
4224,07,STAR OF THE NORTH ACADEMY CHARTER S,2008,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2008,NA
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2008,0.092896174863388
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2008,0.0360970107163001
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2008,0.0772685398433901
4169,07,STONEBRIDGE WORLD SCHOOL,2008,0.969924812030075
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2008,0.235074626865672
4232,07,Success Academy,2008,NA
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2008,0.0851063829787234
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2008,0.0334261838440111
4127,07,TEAM ACADEMY,2008,0.147058823529412
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2008,NA
4239,07,TESFA INTERNATIONAL SCHOOL,2008,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2008,0.105050505050505
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2008,NA
4106,07,TREKNORTH HIGH SCHOOL,2008,0.270440251572327
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2008,NA
2358,01,TRI-COUNTY SCHOOL DISTRICT,2008,0.016597510373444
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2008,0.0661157024793388
2125,01,TRITON SCHOOL DISTRICT,2008,0.157801418439716
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2008,0.0787172011661808
4132,07,TWIN CITIES ACADEMY,2008,0.35
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2008,0.0793650793650794
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2008,0.969479353680431
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2008,0.996527777777778
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2008,0.0694444444444444
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2008,0.0194174757281553
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2008,0.119420989143546
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2008,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2008,NA
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2008,0.0197530864197531
4088,07,URBAN ACADEMY CHARTER SCHOOL,2008,0.984674329501916
4218,07,VENTURE ACADEMY,2008,NA
4207,07,VERMILION COUNTRY SCHOOL,2008,NA
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2008,0.0416666666666667
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2008,0.110619469026549
4107,07,VOYAGEURS EXPEDITIONARY,2008,0.549295774647887
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2008,0.04
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2008,0.0151133501259446
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2008,0.0636515912897822
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2008,0.0562613430127042
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2008,0.211299435028249
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2008,0.170940170940171
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2008,0.168734491315136
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2008,0.125799573560768
4092,07,WATERSHED HIGH SCHOOL,2008,0.204819277108434
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2008,0.055455093429777
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2008,0.0670731707317073
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2008,0.697115384615385
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2008,0.190790790790791
2342,01,WEST CENTRAL AREA,2008,0.0414572864321608
6026,61,WEST CENTRAL EDUCATION DISTRICT,2008,0.0434782608695652
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2008,NA
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2008,0.352980279193441
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2008,0.327927927927928
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2008,0.0530701754385965
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2008,0.0480769230769231
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2008,0.162107993397784
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2008,0.350441632847935
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2008,0.0217864923747277
2609,01,WIN-E-MAC SCHOOL DISTRICT,2008,0.018
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2008,0.124341412012645
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2008,0.12531051614684
4228,07,WOODBURY LEADERSHIP ACADEMY,2008,NA
4016,07,WORLD LEARNER CHARTER SCHOOL,2008,0.144578313253012
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2008,0.506424457244129
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2008,0.00923076923076923
0966,51,WRIGHT TECHNICAL CENTER,2008,0.0949367088607595
2190,01,YELLOW MEDICINE EAST,2008,0.237592397043295
4140,07,YINGHUA ACADEMY,2008,0.694444444444444
6012,61,ZUMBRO EDUCATION DISTRICT,2008,0.0775862068965517
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2008,0.0709090909090909
0000,01,Minneapolis-St. Paul International Airport,2008,NA
2759,01,Eagle Valley,2008,NA
0323,02,Franconia,2008,NA
0815,02,Prinsburg,2008,NA
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2009,0.0455665024630542
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2009,0.982876712328767
4119,07,ACADEMIC ARTS HIGH SCHOOL,2009,0.405405405405405
4018,07,ACHIEVE LANGUAGE ACADEMY,2009,0.883177570093458
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2009,0.152057245080501
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2009,0.0914826498422713
4074,07,AFSA HIGH SCHOOL,2009,0.23943661971831
4220,07,AGAMIM CLASSICAL ACADEMY,2009,NA
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2009,0.0577223088923557
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2009,0.0347222222222222
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2009,0.20006099420555
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2009,0.0365591397849462
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2009,0.038550501156515
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2009,0.0368205727644652
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2009,0.206042040247061
4091,07,ARCADIA CHARTER SCHOOL,2009,0.0932203389830508
4227,07,ART AND SCIENCE ACADEMY,2009,NA
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2009,0.0188679245283019
4184,07,ASPEN ACADEMY,2009,0.0220588235294118
4250,07,Athlos Academy of Saint Cloud,2009,NA
4011,07,ATHLOS LEADERSHIP ACADEMY,2009,0.789473684210526
4111,07,AUGSBURG FAIRVIEW ACADEMY,2009,0.978571428571429
4067,07,AURORA CHARTER SCHOOL,2009,0.990196078431373
6095,52,Austin Albert Lea Area Special Educ,2009,NA
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2009,0.278935185185185
4075,07,AVALON SCHOOL,2009,0.287292817679558
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2009,0.0611353711790393
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2009,0.243680485338726
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2009,0.0102960102960103
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2009,0.0548128342245989
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2009,0.049800796812749
4226,07,BDOTE LEARNING CENTER,2009,NA
4124,07,BEACON ACADEMY,2009,0.17983651226158
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2009,0.0391396332863188
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2009,0.0827586206896552
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2009,0.0589760207388205
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2009,0.202247191011236
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2009,1
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2009,0.0535894843276036
6383,61,BENTON-STEARNS ED. DISTRICT,2009,0.172839506172839
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2009,0.036480686695279
4192,07,BEST ACADEMY,2009,1
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2009,0.0928992422116194
4246,07,Big Picture Twin Cities,2009,NA
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2009,0.024390243902439
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2009,0.174346201743462
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2009,0.112307692307692
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2009,0.112535612535613
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2009,0.375840861041707
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2009,0.11404958677686
4082,07,BLUESKY CHARTER SCHOOL,2009,0.118437118437118
4001,07,BLUFFVIEW MONTESSORI,2009,0.0679611650485437
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2009,0.0349946977730647
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2009,0.0445260837619397
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2009,NA
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2009,0.0864345738295318
4189,07,BRIGHT WATER ELEMENTARY,2009,0.767441860465116
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2009,0.671968190854871
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2009,0.00808080808080808
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2009,0.34375
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2009,0.14170692431562
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2009,0.0710892432982694
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2009,0.354984745595906
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2009,0.367521367521368
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2009,0.0373001776198934
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2009,0.0442132639791938
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2009,0.0696498054474708
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2009,0.0526315789473684
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2009,0.0340909090909091
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2009,0.053585500394011
4194,07,CANNON RIVER STEM SCHOOL,2009,NA
6094,52,Cannon Valley Special Education Coo,2009,NA
4237,07,Career Pathways,2009,NA
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2009,0.198305084745763
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2009,0.907103825136612
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2009,0.121621621621622
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2009,0.981981981981982
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2009,0.112527472527473
6074,50,CENTRAL MINNESOTA JT. POWERS DIST.,2009,0.0681818181818182
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2009,0.0944287063267233
0227,01,CHATFIELD PUBLIC SCHOOLS,2009,0.031638418079096
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2009,0.0450680272108844
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2009,0.0620871862615588
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2009,0.0123456790123457
4000,07,CITY ACADEMY,2009,0.909774436090226
4172,07,CLARKFIELD CHARTER SCHOOL,2009,0.0434782608695652
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2009,0.205394190871369
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2009,0.058252427184466
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2009,0.189542483660131
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2009,0.0160857908847185
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2009,0.222405952873088
4193,07,COLLEGE PREPARATORY ELEMENTARY,2009,NA
4188,07,COLOGNE ACADEMY,2009,0.110294117647059
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2009,0.644067796610169
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2009,0.0261437908496732
4015,07,COMMUNITY OF PEACE ACADEMY,2009,0.897280966767372
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2009,1
0166,01,COOK COUNTY PUBLIC SCHOOLS,2009,0.22550831792976
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2009,NA
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2009,0.0385852090032154
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2009,0.216072782410917
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2009,0.0498773507767784
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2009,0.00862068965517241
4025,07,CYBER VILLAGE ACADEMY,2009,0.201923076923077
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2009,0.0419669351420093
4185,07,DAVINCI ACADEMY,2009,0.152941176470588
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2009,0.0542056074766355
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2009,0.315205327413984
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2009,0.0375773651635721
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2009,0.16191849981969
2164,01,DILWORTH-GLYNDON-FELTON,2009,0.114825581395349
4221,07,DISCOVERY CHARTER SCHOOL,2009,NA
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2009,0.352941176470588
4198,07,Discovery Woods,2009,NA
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2009,0.0255057167985928
4153,07,DUGSI ACADEMY,2009,1
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2009,0.173683140126093
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2009,0.15807560137457
4026,07,E.C.H.O. CHARTER SCHOOL,2009,0.0486486486486487
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2009,0.125
2580,01,EAST CENTRAL SCHOOL DISTRICT,2009,0.10077519379845
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2009,0.140812821980538
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2009,0
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2009,0.141061926865165
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2009,0.232435180477885
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2009,0.0405092592592593
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2009,0.0766773162939297
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2009,0.151203610832498
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2009,0.272727272727273
4057,07,EL COLEGIO CHARTER SCHOOL,2009,0.932692307692308
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2009,0.0895248724489796
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2009,0.043956043956044
0696,01,ELY PUBLIC SCHOOL DISTRICT,2009,0.0704225352112676
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2009,0.0301984469370147
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2009,0.0486798679867987
4068,07,EXCELL ACADEMY CHARTER,2009,0.990338164251208
4036,07,FACE TO FACE ACADEMY,2009,0.617647058823529
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2009,0.100632547441058
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2009,0.275024295432459
