DistrictNumber,districtType,districtName,year,percentMinority
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2000,0.802631578947368
4027,07,HIGHER GROUND ACADEMY,2000,0.968421052631579
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2000,0.0572916666666667
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2000,0.0178041543026706
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2000,0.0862068965517241
4103,07,HMONG COLLEGE PREP ACADEMY,2000,NA
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2000,0.00641613198900092
4070,07,HOPE COMMUNITY ACADEMY,2000,NA
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2000,0.140021269053527
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2000,0.0165631469979296
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2000,0.00617919670442842
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2000,0.0261829652996845
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2000,0.227069351230425
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2000,0.082018927444795
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2000,0.0591016548463357
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2000,NA
0199,01,INVER GROVE HEIGHTS SCHOOLS,2000,0.117244748412311
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2000,0.0403669724770642
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2000,0
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2000,NA
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE,2000,NA
2835,01,JANESVILLE-WALDORF-PEMBERTON,2000,0.0110062893081761
4031,07,JENNINGS COMMUNITY SCHOOL,2000,0.402298850574713
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2000,0.0360219263899765
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2000,NA
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2000,0.0388127853881279
4066,07,KATO PUBLIC CHARTER SCHOOL,2000,NA
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2000,0.233108108108108
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2000,0.039047619047619
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2000,0.0647590361445783
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2000,0.0181236673773987
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2000,0.0118343195266272
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2000,NA
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2000,0.0502092050209205
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2000,0.0588235294117647
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2000,0.0341317365269461
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2000,0.0602409638554217
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2000,0
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2000,0.05
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2000,0.00429184549356223
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2000,0.0357839947950553
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2000,0.0263653483992467
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2000,0.020310633213859
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2000,0.0272206303724928
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2000,0.0157517899761337
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2000,NA
2167,01,LAKEVIEW SCHOOL DISTRICT,2000,0.0509337860780985
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2000,0.0333877107123437
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2000,0.0265486725663717
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2000,0.0181347150259067
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2000,0.112271540469974
4164,07,LAURA JEFFREY ACADEMY CHARTER,2000,NA
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2000,0.10074880871341
4163,07,LEARNING FOR LEADERSHIP CHARTER,2000,NA
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2000,0.0148148148148148
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2000,0.0108892921960073
4233,07,LEVEL UP ACADEMY,2000,NA
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2000,0.0161662817551963
4035,07,LIFE PREP,2000,0.672897196261682
4178,07,LINCOLN INTERNATIONAL SCHOOL,2000,NA
4183,07,LIONSGATE ACADEMY,2000,NA
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2000,0.0551558752997602
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2000,0.0251607492311993
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2000,0.00308641975308642
