countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost,hourlyWage
Jackson,063,5,2,2,3,19-50,2018,61860,14.87
Jackson,063,2,2,1.5,0,19-50,2018,34752,11.14
Jackson,063,3,2,1,1,19-50,2018,39852,19.16
Jackson,063,6,2,2,4,19-50,2018,66156,15.9
Jackson,063,2,2,1.5,0,51+,2018,35280,11.31
Jackson,063,4,2,1,2,19-50,2018,47268,22.73
Jackson,063,4,2,2,2,19-50,2018,58848,14.15
Kanabec,065,4,2,2,2,19-50,2018,73860,17.75
Kanabec,065,6,2,1,4,19-50,2018,63288,30.43
Kanabec,065,2,2,1.5,0,51+,2018,41436,13.28
Kanabec,065,5,2,1,3,19-50,2018,59124,28.43
Kanabec,065,6,2,1.5,4,19-50,2018,72516,23.24
Kanabec,065,2,2,1,0,51+,2018,40392,19.42
Kanabec,065,6,2,2,4,19-50,2018,81288,19.54
Kanabec,065,4,2,1,2,19-50,2018,56340,27.09
Kanabec,065,3,1,1,2,19-50,2018,65700,31.59
Kanabec,065,5,2,2,3,19-50,2018,76848,18.47
Becker,005,2,2,1,0,51+,2018,36744,17.67
Becker,005,4,1,1,3,19-50,2018,59100,28.41
Becker,005,4,2,1,2,19-50,2018,50388,24.23
Becker,005,6,2,2,4,19-50,2018,70092,16.85
Becker,005,6,2,1.5,4,19-50,2018,64356,20.63
Becker,005,5,2,1,3,19-50,2018,53316,25.63
Becker,005,4,2,2,2,19-50,2018,62856,15.11
Chippewa,023,5,2,1.5,3,19-50,2018,57288,18.36
Chippewa,023,6,2,1.5,4,19-50,2018,61608,19.75
Chippewa,023,2,2,2,0,19-50,2018,34296,8.24
Chippewa,023,2,2,1,0,51+,2018,34020,16.36
Chippewa,023,4,2,1,2,19-50,2018,47832,23
Chippewa,023,2,2,1.5,0,19-50,2018,34296,10.99
Chippewa,023,5,2,1,3,19-50,2018,50784,24.42
Chippewa,023,2,2,2,0,51+,2018,34800,8.37
Chippewa,023,3,2,2,1,19-50,2018,46848,11.26
Chippewa,023,4,2,1.5,2,19-50,2018,54276,17.4
Chippewa,023,2,2,1,0,19-50,2018,33540,16.13
Chippewa,023,2,2,1.5,0,51+,2018,34800,11.15
Chippewa,023,3,1,1,2,19-50,2018,52908,25.44
Chippewa,023,1,1,1,0,19-50,2018,25692,12.35
Chippewa,023,6,2,1,4,19-50,2018,55296,26.58
Chippewa,023,5,2,2,3,19-50,2018,62904,15.12
Chippewa,023,3,2,1,1,19-50,2018,38976,18.74
Chippewa,023,5,1,1,4,19-50,2018,59580,28.64
Chippewa,023,4,1,1,3,19-50,2018,56604,27.21
Chippewa,023,1,1,1,0,51+,2018,25920,12.46
Chippewa,023,4,2,2,2,19-50,2018,59916,14.4
Chippewa,023,2,1,1,1,19-50,2018,37500,18.03
Chippewa,023,3,2,1.5,1,19-50,2018,43056,13.8
Chippewa,023,6,2,2,4,19-50,2018,67092,16.13
Cook,031,3,2,2,1,19-50,2018,53112,12.77
Cook,031,1,1,1,0,51+,2018,27972,13.45
Cook,031,4,1,1,3,19-50,2018,63060,30.32
Cook,031,5,1,1,4,19-50,2018,65880,31.67
Cook,031,3,2,1,1,19-50,2018,40548,19.49
Cook,031,2,1,1,1,19-50,2018,43800,21.06
Cook,031,2,2,2,0,19-50,2018,36456,8.76
Cook,031,2,2,2,0,51+,2018,36984,8.89
Cook,031,6,2,1,4,19-50,2018,55104,26.49
Cook,031,1,1,1,0,19-50,2018,27732,13.33
Crow Wing,035,2,2,1.5,0,19-50,2018,37212,11.93
Crow Wing,035,6,2,2,4,19-50,2018,76572,18.41
Crow Wing,035,5,2,1.5,3,19-50,2018,63612,20.39
Crow Wing,035,5,2,1,3,19-50,2018,54468,26.19
Crow Wing,035,4,2,1.5,2,19-50,2018,60720,19.46
Crow Wing,035,5,1,1,4,19-50,2018,68724,33.04
Crow Wing,035,1,1,1,0,19-50,2018,28500,13.7
Goodhue,049,1,1,1,0,19-50,2018,29652,14.26
Goodhue,049,2,2,1.5,0,51+,2018,38808,12.44
Goodhue,049,3,2,2,1,19-50,2018,57684,13.87
Goodhue,049,2,1,1,1,19-50,2018,47616,22.89
Goodhue,049,5,1,1,4,19-50,2018,71592,34.42
Goodhue,049,4,2,1.5,2,19-50,2018,62796,20.13
Goodhue,049,3,1,1,2,19-50,2018,64716,31.11
Goodhue,049,6,2,2,4,19-50,2018,79584,19.13
Goodhue,049,5,2,1.5,3,19-50,2018,65724,21.07
Goodhue,049,2,2,1,0,19-50,2018,37368,17.97
Goodhue,049,2,2,1.5,0,19-50,2018,38304,12.28
Goodhue,049,3,2,1.5,1,19-50,2018,51720,16.58
Goodhue,049,2,2,2,0,19-50,2018,38304,9.21
Goodhue,049,2,2,1,0,51+,2018,37860,18.2
Goodhue,049,4,1,1,3,19-50,2018,68628,32.99
Goodhue,049,2,2,2,0,51+,2018,38808,9.33
Goodhue,049,1,1,1,0,51+,2018,29892,14.37
Goodhue,049,5,2,2,3,19-50,2018,75264,18.09
Goodhue,049,4,2,1,2,19-50,2018,52980,25.47
Goodhue,049,4,2,2,2,19-50,2018,72300,17.38
Goodhue,049,3,2,1,1,19-50,2018,45180,21.72
Goodhue,049,6,2,1.5,4,19-50,2018,70020,22.44
Goodhue,049,6,2,1,4,19-50,2018,60144,28.92
Goodhue,049,5,2,1,3,19-50,2018,55860,26.86
Houston,055,4,2,2,2,19-50,2018,66612,16.01
Houston,055,4,1,1,3,19-50,2018,63036,30.31
Houston,055,3,2,2,1,19-50,2018,51876,12.47
Houston,055,6,2,1,4,19-50,2018,60288,28.98
Houston,055,4,2,1,2,19-50,2018,53292,25.62
Houston,055,1,1,1,0,19-50,2018,27924,13.43
Houston,055,4,2,1.5,2,19-50,2018,60516,19.4
Houston,055,5,2,1,3,19-50,2018,56112,26.98
Houston,055,6,2,2,4,19-50,2018,73776,17.73
Houston,055,1,1,1,0,51+,2018,28140,13.53
Benton,009,2,2,1.5,0,19-50,2018,37824,12.12
Benton,009,3,2,2,1,19-50,2018,53088,12.76
Benton,009,2,2,1,0,19-50,2018,36912,17.75
Benton,009,4,2,1.5,2,19-50,2018,61128,19.59
Benton,009,3,2,1.5,1,19-50,2018,48288,15.48
Benton,009,3,1,1,2,19-50,2018,60480,29.08
Benton,009,1,1,1,0,19-50,2018,29088,13.98
Cass,021,3,2,2,1,19-50,2018,52284,12.57
Cass,021,2,2,1.5,0,19-50,2018,37560,12.04
Cass,021,2,2,1,0,19-50,2018,36672,17.63
Cass,021,5,2,2,3,19-50,2018,66612,16.01
Cass,021,2,2,1.5,0,51+,2018,38076,12.2
Cass,021,3,2,1,1,19-50,2018,44088,21.2
Cass,021,4,2,1.5,2,19-50,2018,58248,18.67
Cass,021,3,1,1,2,19-50,2018,55944,26.9
Cass,021,1,1,1,0,19-50,2018,28920,13.9
Cass,021,3,2,1.5,1,19-50,2018,48324,15.49
Cass,021,5,1,1,4,19-50,2018,62820,30.2
Cass,021,2,2,1,0,51+,2018,37164,17.87
Cass,021,2,2,2,0,51+,2018,38076,9.15
Cass,021,5,2,1,3,19-50,2018,54504,26.2
Cass,021,2,2,2,0,19-50,2018,37560,9.03
Cass,021,6,2,2,4,19-50,2018,70932,17.05
Cass,021,5,2,1.5,3,19-50,2018,61116,19.59
Cass,021,4,2,1,2,19-50,2018,51624,24.82
Cass,021,6,2,1.5,4,19-50,2018,65508,21
Cass,021,4,1,1,3,19-50,2018,59832,28.77
Cass,021,2,1,1,1,19-50,2018,42204,20.29
Cass,021,1,1,1,0,51+,2018,29148,14.01
Cass,021,4,2,2,2,19-50,2018,63660,15.3
Cass,021,6,2,1,4,19-50,2018,58860,28.3
Chisago,025,6,2,1,4,19-50,2018,70584,33.93
Chisago,025,4,2,2,2,19-50,2018,89832,21.59
Chisago,025,5,1,1,4,19-50,2018,89544,43.05
Chisago,025,4,1,1,3,19-50,2018,86820,41.74
Chisago,025,6,2,1.5,4,19-50,2018,84120,26.96
Chisago,025,2,2,1,0,51+,2018,42480,20.42
Chisago,025,4,2,1,2,19-50,2018,63840,30.69
Chisago,025,2,2,2,0,19-50,2018,43080,10.36
Chisago,025,2,2,1.5,0,19-50,2018,43080,13.81
