Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Dodge County                    ,1,1,1,0,51+,31681,15.23,0,313,174,724,723,303,403
Dodge County                    ,2,1,1,1,19-50,47617,22.89,538,481,269,959,770,421,530
Dodge County                    ,3,1,1,2,19-50,66144,31.8,843,734,411,1266,906,584,768
Dodge County                    ,2,2,1,0,51+,38518,18.52,0,574,356,738,770,383,389
Aitkin County                   ,2,2,1,0,51+,36575,17.58,0,577,356,544,870,328,373
Aitkin County                   ,5,2,2,3,19-50,79453,19.1,1320,1182,435,938,1177,620,949
Aitkin County                   ,3,2,1,1,19-50,44463,21.38,0,749,417,724,1032,430,353
Aitkin County                   ,5,2,1.5,3,19-50,68934,22.09,660,1182,435,938,1177,620,733
Aitkin County                   ,2,2,1,0,19-50,35833,17.23,0,601,276,544,870,335,360
Aitkin County                   ,4,2,2,2,19-50,75722,18.2,1320,977,426,938,1104,560,985
Aitkin County                   ,4,2,1.5,2,19-50,65231,20.91,660,977,426,938,1104,560,771
Aitkin County                   ,6,2,1,4,19-50,60909,29.28,0,1441,443,938,1225,695,334
Aitkin County                   ,2,2,2,0,51+,37463,9.01,0,577,356,544,870,328,447
Aitkin County                   ,3,1,1,2,19-50,69484,33.41,1320,738,411,938,1032,490,861
Aitkin County                   ,1,1,1,0,51+,29758,14.31,0,315,174,544,815,251,381
Aitkin County                   ,4,2,1,2,19-50,52714,25.34,0,977,426,938,1104,560,388
Aitkin County                   ,1,1,1,0,19-50,29385,14.13,0,328,134,544,815,255,373
Aitkin County                   ,6,2,2,4,19-50,83876,20.16,1320,1441,443,938,1225,695,928
Aitkin County                   ,2,2,2,0,19-50,36687,8.82,0,601,276,544,870,335,431
Aitkin County                   ,5,1,1,4,19-50,77394,37.21,1320,1181,428,938,1177,619,786
Aitkin County                   ,2,1,1,1,19-50,49720,23.9,856,484,269,724,870,353,587
Aitkin County                   ,2,2,1.5,0,51+,37463,12.01,0,577,356,544,870,328,447
Aitkin County                   ,3,2,1.5,1,19-50,52920,16.96,428,749,417,724,1032,430,630
Aitkin County                   ,2,2,1.5,0,19-50,36687,11.76,0,601,276,544,870,335,431
Aitkin County                   ,6,2,1.5,4,19-50,73333,23.5,660,1441,443,938,1225,695,709
Aitkin County                   ,5,2,1,3,19-50,56502,27.16,0,1182,435,938,1177,620,357
Aitkin County                   ,4,1,1,3,19-50,73621,35.39,1320,971,419,938,1104,558,825
Aitkin County                   ,3,2,2,1,19-50,59800,14.38,856,749,417,724,1032,430,775
Crow Wing County                ,3,2,1.5,1,19-50,50445,16.17,310,744,417,808,906,454,565
Crow Wing County                ,3,2,2,1,19-50,55542,13.35,620,744,417,808,906,454,680
Crow Wing County                ,2,1,1,1,19-50,45984,22.11,620,481,269,808,770,377,507
Crow Wing County                ,4,2,1,2,19-50,52071,25.03,0,971,426,1026,968,584,364
Crow Wing County                ,6,2,1,4,19-50,59961,28.83,0,1432,443,1026,1070,718,308
Crow Wing County                ,6,2,1.5,4,19-50,70308,22.53,527,1432,443,1026,1070,718,643
Crow Wing County                ,2,2,1,0,19-50,35412,17.02,0,598,276,608,770,352,347
Crow Wing County                ,5,2,1,3,19-50,55640,26.75,0,1175,435,1026,1029,643,329
Crow Wing County                ,2,2,1,0,51+,36154,17.38,0,574,356,608,770,345,360
Crow Wing County                ,5,2,1.5,3,19-50,66055,21.17,527,1175,435,1026,1029,643,670
Crow Wing County                ,4,2,1.5,2,19-50,62578,20.06,527,971,426,1026,968,584,713
Crow Wing County                ,4,2,2,2,19-50,70944,17.05,1054,971,426,1026,968,584,883
Crow Wing County                ,5,1,1,4,19-50,72226,34.72,1054,1174,428,1026,1029,643,665
Crow Wing County                ,2,2,1.5,0,19-50,36254,11.62,0,598,276,608,770,352,417
Crow Wing County                ,2,2,2,0,19-50,36254,8.71,0,598,276,608,770,352,417
Crow Wing County                ,2,2,2,0,51+,37030,8.9,0,574,356,608,770,345,433
Crow Wing County                ,3,1,1,2,19-50,64790,31.15,1054,734,411,1026,906,514,754
Clearwater County               ,2,2,1,0,19-50,35708,17.17,0,603,276,525,882,330,360
Clearwater County               ,3,2,2,1,19-50,52486,12.62,416,750,417,698,1047,423,623
Clearwater County               ,5,2,1.5,3,19-50,63215,20.26,333,1185,435,897,1195,608,615
Clearwater County               ,4,1,1,3,19-50,62691,30.14,667,973,419,897,1121,547,600
Clearwater County               ,2,2,1,0,51+,36419,17.51,0,578,356,525,882,322,372
Clearwater County               ,1,1,1,0,19-50,28994,13.94,0,329,134,515,826,246,366
Clearwater County               ,5,2,2,3,19-50,68544,16.48,667,1185,435,897,1195,608,725
Clearwater County               ,2,2,2,0,19-50,36554,8.79,0,603,276,525,882,330,430
Clearwater County               ,2,1,1,1,19-50,42303,20.34,416,485,269,698,882,346,429
Clearwater County               ,2,2,1.5,0,51+,37298,11.95,0,578,356,525,882,322,445
Clearwater County               ,6,2,1.5,4,19-50,67639,21.68,333,1443,443,897,1243,684,594
Clearwater County               ,2,2,2,0,51+,37298,8.97,0,578,356,525,882,322,445
Clearwater County               ,6,2,2,4,19-50,72968,17.54,667,1443,443,897,1243,684,704
Clearwater County               ,3,2,1,1,19-50,44212,21.26,0,750,417,698,1047,423,349
Clearwater County               ,6,2,1,4,19-50,60456,29.07,0,1443,443,897,1243,684,328
Clearwater County               ,5,1,1,4,19-50,66402,31.92,667,1183,428,897,1195,608,555
Clearwater County               ,5,2,1,3,19-50,56009,26.93,0,1185,435,897,1195,608,347
Clearwater County               ,4,2,1.5,2,19-50,59505,19.07,333,979,426,897,1121,548,655
Clearwater County               ,1,1,1,0,51+,29381,14.13,0,315,174,515,826,243,375
Clearwater County               ,3,1,1,2,19-50,58509,28.13,667,740,411,897,1047,478,636
Clearwater County               ,2,2,1.5,0,19-50,36554,11.72,0,603,276,525,882,330,430
Clearwater County               ,4,2,2,2,19-50,64782,15.57,667,979,426,897,1121,548,761
Clearwater County               ,4,2,1,2,19-50,52165,25.08,0,979,426,897,1121,548,376
Clearwater County               ,3,2,1.5,1,19-50,48931,15.68,208,750,417,698,1047,423,535
Fillmore County                 ,3,2,2,1,19-50,53648,12.9,481,750,417,698,1054,423,648
