countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,hourlyWage
Carver,19,3,2,2,1,19-50,2018,16.5
Carver,19,2,2,2,0,51+,2018,10.13
Carver,19,3,2,1,1,19-50,2018,23.68
Carver,19,4,1,1,3,19-50,2018,43.96
Carver,19,2,2,2,0,19-50,2018,9.99
Carver,19,5,2,1.5,3,19-50,2018,25.98
Carver,19,2,2,1.5,0,51+,2018,13.5
Carver,19,5,2,1,3,19-50,2018,31.21
Carver,19,4,2,1.5,2,19-50,2018,25.06
Carver,19,6,2,2,4,19-50,2018,24.33
Carver,19,3,1,1,2,19-50,2018,42.09
Carver,19,3,2,1.5,1,19-50,2018,19.03
Carver,19,5,1,1,4,19-50,2018,45.42
Carver,19,2,1,1,1,19-50,2018,28.13
Carver,19,6,2,1,4,19-50,2018,33.22
Carver,19,1,1,1,0,51+,2018,15.99
Carver,19,6,2,1.5,4,19-50,2018,27.37
Carver,19,2,2,1.5,0,19-50,2018,13.32
Carver,19,4,2,1,2,19-50,2018,29.93
Dakota,37,4,2,1,2,19-50,2018,29.45
Dakota,37,6,2,1,4,19-50,2018,32.66
Dakota,37,5,2,1,3,19-50,2018,30.74
Dakota,37,2,2,1.5,0,19-50,2018,13.08
Dakota,37,4,2,1.5,2,19-50,2018,25.93
Dakota,37,3,2,1,1,19-50,2018,23.25
Dakota,37,5,1,1,4,19-50,2018,48.51
Dakota,37,6,2,1.5,4,19-50,2018,28.12
Dakota,37,6,2,2,4,19-50,2018,25.79
Dakota,37,2,2,1,0,51+,2018,19.36
Dakota,37,2,2,2,0,19-50,2018,9.81
Dakota,37,3,1,1,2,19-50,2018,45.26
Dakota,37,1,1,1,0,19-50,2018,15.59
Dakota,37,5,2,2,3,19-50,2018,24.74
Dakota,37,1,1,1,0,51+,2018,15.7
Dakota,37,2,2,2,0,51+,2018,9.94
Dakota,37,2,1,1,1,19-50,2018,30.5
Big Stone,11,3,1,1,2,19-50,2018,25.15
