countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost
Anoka,003,3,1,1,2,19-50,2018,88212
Anoka,003,1,1,1,0,19-50,2018,33276
Anoka,003,6,2,1,4,19-50,2018,69192
Anoka,003,5,1,1,4,19-50,2018,94992
Anoka,003,1,1,1,0,51+,2018,33528
Anoka,003,2,2,1.5,0,51+,2018,42360
Anoka,003,3,2,2,1,19-50,2018,70932
Anoka,003,2,2,1.5,0,19-50,2018,41832
Anoka,003,4,2,1,2,19-50,2018,62436
Anoka,003,6,2,2,4,19-50,2018,101772
Anoka,003,4,2,1.5,2,19-50,2018,78612
Anoka,003,2,2,1,0,19-50,2018,40776
Anoka,003,4,1,1,3,19-50,2018,92028
Anoka,003,4,2,2,2,19-50,2018,94440
Anoka,003,2,2,1,0,51+,2018,41280
Anoka,003,3,2,1.5,1,19-50,2018,60588
Anoka,003,2,2,2,0,51+,2018,42360
Anoka,003,5,2,1.5,3,19-50,2018,81456
Anoka,003,5,2,2,3,19-50,2018,97332
Anoka,003,2,1,1,1,19-50,2018,60792
Anoka,003,3,2,1,1,19-50,2018,49500
Anoka,003,2,2,2,0,19-50,2018,41832
Anoka,003,6,2,1.5,4,19-50,2018,85704
Anoka,003,5,2,1,3,19-50,2018,65076
Brown,015,6,2,1.5,4,19-50,2018,59640
Brown,015,6,2,2,4,19-50,2018,65268
Brown,015,5,2,2,3,19-50,2018,60984
Brown,015,5,2,1.5,3,19-50,2018,55200
Brown,015,3,2,2,1,19-50,2018,47184
Brown,015,3,2,1.5,1,19-50,2018,43068
Brown,015,5,2,1,3,19-50,2018,48672
Brown,015,2,2,2,0,51+,2018,34320
Brown,015,4,2,1,2,19-50,2018,45672
Brown,015,2,2,1.5,0,19-50,2018,33816
Brown,015,5,1,1,4,19-50,2018,57828
Brown,015,3,2,1,1,19-50,2018,38784
Brown,015,2,2,1,0,51+,2018,33576
Brown,015,4,2,2,2,19-50,2018,58056
Brown,015,1,1,1,0,51+,2018,25500
Brown,015,2,1,1,1,19-50,2018,37872
Brown,015,4,1,1,3,19-50,2018,54876
Carver,019,2,2,1,0,19-50,2018,40488
Carver,019,5,2,2,3,19-50,2018,96720
Carver,019,4,2,2,2,19-50,2018,93816
Carver,019,2,2,1,0,51+,2018,41052
Carver,019,1,1,1,0,19-50,2018,33012
Carver,019,3,2,2,1,19-50,2018,68640
Carver,019,2,2,2,0,51+,2018,42120
Carver,019,3,2,1,1,19-50,2018,49248
Carver,019,4,1,1,3,19-50,2018,91428
Carver,019,2,2,2,0,19-50,2018,41544
Carver,019,5,2,1.5,3,19-50,2018,81072
Carver,019,2,2,1.5,0,51+,2018,42120
Carver,019,5,2,1,3,19-50,2018,64908
