Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Minnesota                       ,2,2,2,0,19-50,39480,9.49,0,613,329,775,680,427,466
Minnesota                       ,2,1,1,1,19-50,54108,26.01,1022,494,321,986,633,454,599
Minnesota                       ,5,2,1,3,19-50,60648,29.16,0,1208,499,1372,779,792,404
Minnesota                       ,1,1,1,0,19-50,30900,14.86,0,335,137,759,629,336,379
Becker County                   ,2,2,1.5,0,51+,37632,12.06,0,580,409,582,763,357,445
Becker County                   ,2,2,2,0,19-50,37116,8.92,0,603,346,582,763,364,435
Becker County                   ,1,1,1,0,19-50,28284,13.6,0,329,138,567,703,275,345
Becker County                   ,3,2,1,1,19-50,42468,20.42,0,751,496,722,821,452,297
Becker County                   ,2,1,1,1,19-50,41100,19.76,481,485,338,722,708,371,320
Becker County                   ,5,2,1.5,3,19-50,59988,19.23,368,1186,512,941,880,653,459
Becker County                   ,3,2,1.5,1,19-50,46800,15,241,751,496,722,821,452,417
Becker County                   ,2,2,2,0,51+,37632,9.05,0,580,409,582,763,357,445
Becker County                   ,5,1,1,4,19-50,62112,29.86,737,1185,503,941,801,653,356
Becker County                   ,1,1,1,0,51+,28500,13.7,0,316,169,567,703,271,349
Becker County                   ,3,1,1,2,19-50,55248,26.56,737,741,488,941,751,516,430
Becker County                   ,5,2,2,3,19-50,65784,15.81,737,1186,512,941,880,653,573
Becker County                   ,2,2,1.5,0,19-50,37116,11.9,0,603,346,582,763,364,435
Becker County                   ,6,2,1,4,19-50,57780,27.78,0,1445,519,941,910,733,267
Becker County                   ,2,2,1,0,19-50,36240,17.42,0,603,346,582,763,364,362
Becker County                   ,4,2,1.5,2,19-50,57180,18.33,368,980,504,941,866,590,516
Becker County                   ,3,2,2,1,19-50,51048,12.27,481,751,496,722,821,452,531
Aitkin County                   ,1,1,1,0,19-50,29508,14.19,0,328,138,570,779,276,368
Aitkin County                   ,3,2,2,1,19-50,60156,14.46,892,750,496,759,917,463,736
Aitkin County                   ,5,1,1,4,19-50,74856,35.99,1376,1184,503,970,893,661,651
Aitkin County                   ,4,2,1,2,19-50,52824,25.4,0,979,504,970,969,598,382
Aitkin County                   ,2,2,2,0,19-50,38232,9.19,0,602,346,571,849,360,458
Aitkin County                   ,6,2,1,4,19-50,60072,28.88,0,1444,519,970,1020,741,312
Aitkin County                   ,4,2,2,2,19-50,75648,18.18,1376,979,504,970,969,598,908
Aitkin County                   ,4,2,1.5,2,19-50,64356,20.63,688,979,504,970,969,598,655
Aitkin County                   ,2,2,1,0,19-50,37308,17.94,0,602,346,571,849,360,381
Aitkin County                   ,5,2,1,3,19-50,55728,26.79,0,1185,512,970,985,662,330
Aitkin County                   ,3,2,1,1,19-50,44892,21.58,0,750,496,759,917,463,356
Aitkin County                   ,2,2,2,0,51+,38760,9.32,0,579,409,571,849,353,469
Aitkin County                   ,1,1,1,0,51+,29796,14.32,0,316,169,570,779,272,377
Aitkin County                   ,5,2,2,3,19-50,78576,18.89,1376,1185,512,970,985,662,858
Aitkin County                   ,2,2,1,0,51+,37812,18.18,0,579,409,571,849,353,390
Aitkin County                   ,2,2,1.5,0,51+,38760,12.42,0,579,409,571,849,353,469
Aitkin County                   ,5,2,1.5,3,19-50,67296,21.57,688,1185,512,970,985,662,606
Aitkin County                   ,3,1,1,2,19-50,67980,32.68,1376,740,488,970,836,525,730
Aitkin County                   ,2,2,1.5,0,19-50,38232,12.25,0,602,346,571,849,360,458
Aitkin County                   ,6,2,2,4,19-50,82944,19.94,1376,1444,519,970,1020,741,842
Aitkin County                   ,3,2,1.5,1,19-50,52848,16.94,446,750,496,759,917,463,573
Aitkin County                   ,4,1,1,3,19-50,71940,34.59,1376,974,496,970,877,597,705
Aitkin County                   ,2,1,1,1,19-50,49956,24.02,892,485,338,759,785,382,522
Aitkin County                   ,6,2,1.5,4,19-50,71640,22.96,688,1444,519,970,1020,741,588
Crow Wing County                ,2,1,1,1,19-50,45024,21.65,625,482,338,812,688,397,410
Crow Wing County                ,4,2,2,2,19-50,69444,16.69,1063,973,504,1026,841,614,766
Crow Wing County                ,6,2,1,4,19-50,58740,28.24,0,1435,519,1026,882,756,277
Crow Wing County                ,3,2,1,1,19-50,43836,21.07,0,746,496,812,797,478,324
Crow Wing County                ,2,2,1,0,51+,36816,17.7,0,575,409,610,741,364,369
Crow Wing County                ,1,1,1,0,51+,28728,13.81,0,314,169,598,683,280,350
Crow Wing County                ,6,2,1.5,4,19-50,67812,21.73,532,1435,519,1026,882,756,501
Crow Wing County                ,5,2,2,3,19-50,72336,17.39,1063,1178,512,1026,854,677,718
Crow Wing County                ,4,2,1,2,19-50,51660,24.84,0,973,504,1026,841,614,347
Crow Wing County                ,2,2,1.5,0,51+,37728,12.09,0,575,409,610,741,364,445
Crow Wing County                ,2,2,2,0,51+,37728,9.07,0,575,409,610,741,364,445
Crow Wing County                ,4,1,1,3,19-50,65784,31.63,1063,968,496,1026,764,612,553
Crow Wing County                ,3,2,2,1,19-50,54816,13.18,625,746,496,812,797,478,614
Crow Wing County                ,3,1,1,2,19-50,61992,29.8,1063,736,488,1026,730,541,582
Crow Wing County                ,2,2,2,0,19-50,37212,8.95,0,599,346,610,741,371,434
Crow Wing County                ,3,2,1.5,1,19-50,49464,15.85,312,746,496,812,797,478,481
Crow Wing County                ,2,2,1,0,19-50,36336,17.47,0,599,346,610,741,371,361
Clearwater County               ,3,1,1,2,19-50,55740,26.8,667,742,488,952,836,520,440
Clearwater County               ,1,1,1,0,19-50,28668,13.78,0,329,138,525,779,262,356
Clearwater County               ,3,2,2,1,19-50,51372,12.35,416,752,496,710,917,449,541
Clearwater County               ,2,2,1.5,0,19-50,37548,12.03,0,603,346,534,849,349,448
Clearwater County               ,5,2,2,3,19-50,66624,16.02,667,1188,512,952,985,657,591
Clearwater County               ,4,2,1,2,19-50,52476,25.23,0,981,504,952,969,593,374
Clearwater County               ,2,1,1,1,19-50,41064,19.74,416,486,338,710,785,367,320
Clearwater County               ,5,2,1.5,3,19-50,61608,19.75,333,1188,512,952,985,657,507
Clearwater County               ,6,2,2,4,19-50,71016,17.07,667,1447,519,952,1020,737,576
Clearwater County               ,4,2,2,2,19-50,63636,15.3,667,981,504,952,969,593,637
Clearwater County               ,4,2,1.5,2,19-50,58704,18.82,333,981,504,952,969,593,560
Clearwater County               ,2,2,1,0,19-50,36660,17.63,0,603,346,534,849,349,374
Clearwater County               ,2,2,2,0,51+,38064,9.15,0,580,409,534,849,342,458
Clearwater County               ,1,1,1,0,51+,28896,13.89,0,316,169,525,779,258,361
Clearwater County               ,2,2,1.5,0,51+,38064,12.2,0,580,409,534,849,342,458
Clearwater County               ,6,2,1,4,19-50,59796,28.75,0,1447,519,952,1020,737,308
Clearwater County               ,3,2,1,1,19-50,43908,21.11,0,752,496,710,917,449,335
Clearwater County               ,2,2,2,0,19-50,37548,9.03,0,603,346,534,849,349,448
Clearwater County               ,3,2,1.5,1,19-50,47844,15.33,208,752,496,710,917,449,455
Clearwater County               ,4,1,1,3,19-50,59700,28.7,667,976,496,952,877,592,415
Clearwater County               ,2,2,1,0,51+,37152,17.86,0,580,409,534,849,342,382
Clearwater County               ,5,1,1,4,19-50,62712,30.15,667,1186,503,952,893,657,368
Clearwater County               ,5,2,1,3,19-50,55416,26.64,0,1188,512,952,985,657,324
Clearwater County               ,6,2,1.5,4,19-50,66084,21.18,333,1447,519,952,1020,737,499
Fillmore County                 ,4,2,2,2,19-50,64836,15.59,789,981,504,964,905,597,663
Fillmore County                 ,5,2,2,3,19-50,67812,16.3,789,1188,512,964,920,661,617
Fillmore County                 ,6,2,1.5,4,19-50,65976,21.15,395,1447,519,964,951,740,482
Fillmore County                 ,3,2,1.5,1,19-50,47232,15.14,243,752,496,710,857,449,429
Fillmore County                 ,6,2,2,4,19-50,72120,17.34,789,1447,519,964,951,740,600
Fillmore County                 ,4,1,1,3,19-50,61056,29.35,789,976,496,964,820,596,447
Fillmore County                 ,1,1,1,0,51+,28140,13.53,0,316,169,525,731,258,346
Fillmore County                 ,2,1,1,1,19-50,41472,19.94,487,486,338,710,737,367,331
Fillmore County                 ,2,2,1,0,51+,36348,17.48,0,580,409,535,795,342,368
Fillmore County                 ,5,2,1.5,3,19-50,61596,19.74,395,1188,512,964,920,661,493
Fillmore County                 ,3,2,2,1,19-50,51564,12.4,487,752,496,710,857,449,546
Fillmore County                 ,2,2,1.5,0,19-50,36720,11.77,0,603,346,535,795,350,431
Fillmore County                 ,2,2,1,0,19-50,35868,17.24,0,603,346,535,795,350,360
Fillmore County                 ,5,2,1,3,19-50,54528,26.22,0,1188,512,964,920,661,299
Fillmore County                 ,3,2,1,1,19-50,42888,20.62,0,752,496,710,857,449,310
Fillmore County                 ,2,2,2,0,19-50,36720,8.83,0,603,346,535,795,350,431
Fillmore County                 ,4,2,1.5,2,19-50,58812,18.85,395,981,504,964,905,597,555
Beltrami County                 ,1,1,1,0,19-50,27576,13.26,0,329,138,577,650,278,326
Beltrami County                 ,2,2,1.5,0,19-50,36276,11.63,0,603,346,587,703,366,418
Beltrami County                 ,5,1,1,4,19-50,63072,30.32,771,1186,503,1013,737,675,371
Beltrami County                 ,2,2,1,0,19-50,35436,17.04,0,603,346,587,703,366,348
Beltrami County                 ,2,2,1.5,0,51+,36780,11.79,0,580,409,587,703,358,428
Beltrami County                 ,5,2,2,3,19-50,66696,16.03,771,1188,512,1013,808,676,590
Beltrami County                 ,2,1,1,1,19-50,41592,20,490,486,338,781,654,389,328
Beltrami County                 ,4,2,1.5,2,19-50,57756,18.51,386,981,504,1013,796,612,521
Beltrami County                 ,3,2,1.5,1,19-50,47016,15.07,245,752,496,781,755,471,418
Beltrami County                 ,5,2,1.5,3,19-50,60660,19.44,386,1188,512,1013,808,676,472
Beltrami County                 ,3,1,1,2,19-50,56388,27.11,771,742,488,1013,693,539,453
Beltrami County                 ,3,2,2,1,19-50,51372,12.35,490,752,496,781,755,471,536
Beltrami County                 ,2,2,2,0,51+,36780,8.84,0,580,409,587,703,358,428
Beltrami County                 ,4,2,2,2,19-50,63780,15.33,771,981,504,1013,796,612,638
Beltrami County                 ,3,2,1,1,19-50,42612,20.49,0,752,496,781,755,471,296
Beltrami County                 ,6,2,2,4,19-50,70932,17.05,771,1447,519,1013,834,755,572
Beltrami County                 ,5,2,1,3,19-50,53652,25.79,0,1188,512,1013,808,676,274
Beltrami County                 ,4,2,1,2,19-50,50784,24.42,0,981,504,1013,796,612,326
Beltrami County                 ,2,2,2,0,19-50,36276,8.72,0,603,346,587,703,366,418
Beltrami County                 ,6,2,1.5,4,19-50,64968,20.82,386,1447,519,1013,834,755,460
Beltrami County                 ,4,1,1,3,19-50,60120,28.9,771,976,496,1013,724,611,419
Beltrami County                 ,1,1,1,0,51+,27852,13.39,0,316,169,577,650,274,335
Beltrami County                 ,6,2,1,4,19-50,57996,27.88,0,1447,519,1013,834,755,265
Beltrami County                 ,2,2,1,0,51+,35916,17.27,0,580,409,587,703,358,356
Benton County                   ,1,1,1,0,51+,29340,14.11,0,310,169,646,669,294,357
Benton County                   ,6,2,1,4,19-50,60324,29,0,1416,519,1142,862,786,302
Benton County                   ,5,1,1,4,19-50,67056,32.24,857,1161,503,1142,760,707,458
Benton County                   ,4,1,1,3,19-50,64188,30.86,857,955,496,1142,747,644,508
Benton County                   ,2,2,1,0,51+,37404,17.98,0,568,409,663,725,378,374
Benton County                   ,6,2,1.5,4,19-50,68064,21.82,429,1416,519,1142,862,786,518
Benton County                   ,2,2,2,0,19-50,37824,9.09,0,591,346,663,725,385,442
Benton County                   ,4,2,1,2,19-50,53520,25.73,0,960,504,1142,821,646,387
Benton County                   ,5,2,1.5,3,19-50,63924,20.49,429,1162,512,1142,834,708,540
Benton County                   ,3,2,1,1,19-50,43380,20.86,0,736,496,815,779,476,313
Benton County                   ,6,2,2,4,19-50,74820,17.99,857,1416,519,1142,862,786,653
Benton County                   ,5,2,1,3,19-50,56244,27.04,0,1162,512,1142,834,708,329
Benton County                   ,4,2,2,2,19-50,67896,16.32,857,960,504,1142,821,646,728
Benton County                   ,2,2,1.5,0,51+,38340,12.29,0,568,409,663,725,378,452
Benton County                   ,2,1,1,1,19-50,43428,20.88,548,475,338,815,674,396,373
Benton County                   ,2,2,2,0,51+,38340,9.22,0,568,409,663,725,378,452
Benton County                   ,5,2,2,3,19-50,70656,16.98,857,1162,512,1142,834,708,673
Anoka County                    ,3,1,1,2,19-50,88212,42.41,1886,744,468,1576,709,713,1255
Anoka County                    ,1,1,1,0,19-50,33276,16,0,330,136,860,664,365,418
Anoka County                    ,6,2,1,4,19-50,69192,33.27,0,1451,499,1576,855,930,455
Anoka County                    ,5,1,1,4,19-50,94992,45.67,1886,1190,483,1576,754,849,1178
Anoka County                    ,1,1,1,0,51+,33528,16.12,0,317,168,860,664,362,423
Anoka County                    ,2,2,1.5,0,51+,42360,13.58,0,582,381,880,719,449,519
Anoka County                    ,3,2,2,1,19-50,70932,17.05,1259,754,476,1110,773,572,967
Anoka County                    ,2,2,1.5,0,19-50,41832,13.41,0,605,318,880,719,456,508
Anoka County                    ,4,2,1,2,19-50,62436,30.02,0,984,484,1576,815,786,558
Anoka County                    ,6,2,2,4,19-50,101772,24.46,1886,1451,499,1576,855,930,1284
Anoka County                    ,4,2,1.5,2,19-50,78612,25.2,943,984,484,1576,815,786,963
Anoka County                    ,2,2,1,0,19-50,40776,19.6,0,605,318,880,719,456,420
Anoka County                    ,4,1,1,3,19-50,92028,44.24,1886,979,475,1576,741,785,1227
Anoka County                    ,4,2,2,2,19-50,94440,22.7,1886,984,484,1576,815,786,1339
Anoka County                    ,2,2,1,0,51+,41280,19.85,0,582,381,880,719,449,429
Anoka County                    ,3,2,1.5,1,19-50,60588,19.42,629,754,476,1110,773,572,735
Anoka County                    ,2,2,2,0,51+,42360,10.18,0,582,381,880,719,449,519
Anoka County                    ,5,2,1.5,3,19-50,81456,26.11,943,1191,491,1576,828,850,909
Anoka County                    ,5,2,2,3,19-50,97332,23.4,1886,1191,491,1576,828,850,1289
Anoka County                    ,2,1,1,1,19-50,60792,29.23,1259,487,310,1110,669,490,741
Anoka County                    ,3,2,1,1,19-50,49500,23.8,0,754,476,1110,773,572,440
Anoka County                    ,2,2,2,0,19-50,41832,10.06,0,605,318,880,719,456,508
Anoka County                    ,6,2,1.5,4,19-50,85704,27.47,943,1451,499,1576,855,930,888
Anoka County                    ,5,2,1,3,19-50,65076,31.29,0,1191,491,1576,828,850,487
Brown County                    ,6,2,1.5,4,19-50,59640,19.12,360,1457,519,891,683,721,339
Brown County                    ,6,2,2,4,19-50,65268,15.69,720,1457,519,891,683,721,448
Brown County                    ,5,2,2,3,19-50,60984,14.66,720,1196,512,891,663,641,459
Brown County                    ,5,2,1.5,3,19-50,55200,17.69,360,1196,512,891,663,641,337
Brown County                    ,3,2,2,1,19-50,47184,11.34,469,757,496,710,623,451,426
Brown County                    ,3,2,1.5,1,19-50,43068,13.8,235,757,496,710,623,451,317
Brown County                    ,5,2,1,3,19-50,48672,23.4,0,1196,512,891,663,641,153
Brown County                    ,2,2,2,0,51+,34320,8.25,0,584,409,554,584,350,379
Brown County                    ,4,2,1,2,19-50,45672,21.96,0,988,504,891,654,577,192
Brown County                    ,2,2,1.5,0,19-50,33816,10.84,0,608,346,554,584,357,369
Brown County                    ,5,1,1,4,19-50,57828,27.8,720,1195,503,891,610,640,260
Brown County                    ,3,2,1,1,19-50,38784,18.65,0,757,496,710,623,451,195
Brown County                    ,2,2,1,0,51+,33576,16.14,0,584,409,554,584,350,317
Brown County                    ,4,2,2,2,19-50,58056,13.96,720,988,504,891,654,577,504
Brown County                    ,1,1,1,0,51+,25500,12.26,0,319,169,541,544,264,288
Brown County                    ,2,1,1,1,19-50,37872,18.21,469,489,338,710,547,368,235
Brown County                    ,4,1,1,3,19-50,54876,26.38,720,983,496,891,600,575,308
Carver County                   ,2,2,1,0,19-50,40488,19.47,0,614,318,880,692,459,411
Carver County                   ,5,2,2,3,19-50,96720,23.25,1861,1209,491,1576,795,855,1273
Carver County                   ,4,2,2,2,19-50,93816,22.55,1861,999,484,1576,783,791,1324
Carver County                   ,2,2,1,0,51+,41052,19.74,0,591,381,880,692,452,425
Carver County                   ,1,1,1,0,19-50,33012,15.87,0,335,136,860,640,367,413
Carver County                   ,3,2,2,1,19-50,68640,16.5,1138,765,476,1110,743,576,912
Carver County                   ,2,2,2,0,51+,42120,10.13,0,591,381,880,692,452,514
Carver County                   ,3,2,1,1,19-50,49248,23.68,0,765,476,1110,743,576,434
Carver County                   ,4,1,1,3,19-50,91428,43.96,1861,994,475,1576,713,789,1211
Carver County                   ,2,2,2,0,19-50,41544,9.99,0,614,318,880,692,459,499
Carver County                   ,5,2,1.5,3,19-50,81072,25.98,930,1209,491,1576,795,855,900
Carver County                   ,2,2,1.5,0,51+,42120,13.5,0,591,381,880,692,452,514
Carver County                   ,5,2,1,3,19-50,64908,31.21,0,1209,491,1576,795,855,483
Carver County                   ,4,2,1.5,2,19-50,78192,25.06,930,999,484,1576,783,791,953
Carver County                   ,6,2,2,4,19-50,101232,24.33,1861,1473,499,1576,821,936,1270
Carver County                   ,3,1,1,2,19-50,87552,42.09,1861,755,468,1576,683,716,1237
Carver County                   ,3,2,1.5,1,19-50,59364,19.03,569,765,476,1110,743,576,708
Carver County                   ,5,1,1,4,19-50,94464,45.42,1861,1208,483,1576,725,855,1164
Carver County                   ,2,1,1,1,19-50,58500,28.13,1138,495,310,1110,644,493,685
Carver County                   ,6,2,1,4,19-50,69096,33.22,0,1473,499,1576,821,936,453
Carver County                   ,1,1,1,0,51+,33252,15.99,0,322,168,860,640,363,418
Carver County                   ,6,2,1.5,4,19-50,85392,27.37,930,1473,499,1576,821,936,881
Carver County                   ,2,2,1.5,0,19-50,41544,13.32,0,614,318,880,692,459,499
Carver County                   ,4,2,1,2,19-50,62244,29.93,0,999,484,1576,783,791,554
Dakota County                   ,4,2,1,2,19-50,61248,29.45,0,989,484,1576,738,788,529
Dakota County                   ,6,2,1,4,19-50,67932,32.66,0,1458,499,1576,772,932,424
Dakota County                   ,5,2,1,3,19-50,63948,30.74,0,1197,491,1576,749,852,464
Dakota County                   ,2,2,1.5,0,19-50,40800,13.08,0,608,318,880,655,457,482
Dakota County                   ,4,2,1.5,2,19-50,80892,25.93,1140,989,484,1576,738,788,1026
Dakota County                   ,3,2,1,1,19-50,48360,23.25,0,758,476,1110,701,573,412
Dakota County                   ,5,1,1,4,19-50,100896,48.51,2279,1196,483,1576,685,851,1338
Dakota County                   ,6,2,1.5,4,19-50,87732,28.12,1140,1458,499,1576,772,932,934
Dakota County                   ,6,2,2,4,19-50,107304,25.79,2279,1458,499,1576,772,932,1426
Dakota County                   ,2,2,1,0,51+,40260,19.36,0,585,381,880,655,450,404
Dakota County                   ,2,2,2,0,19-50,40800,9.81,0,608,318,880,655,457,482
Dakota County                   ,3,1,1,2,19-50,94140,45.26,2279,748,468,1576,646,714,1414
Dakota County                   ,1,1,1,0,19-50,32436,15.59,0,332,136,860,607,366,402
Dakota County                   ,5,2,2,3,19-50,102912,24.74,2279,1197,491,1576,749,852,1432
Dakota County                   ,1,1,1,0,51+,32664,15.7,0,319,168,860,607,362,406
Dakota County                   ,2,2,2,0,51+,41364,9.94,0,585,381,880,655,450,496
Dakota County                   ,2,1,1,1,19-50,63432,30.5,1469,490,310,1110,611,491,805
Big Stone County                ,3,1,1,2,19-50,52320,25.15,624,755,488,964,635,528,366
Big Stone County                ,1,1,1,0,19-50,27180,13.07,0,335,138,593,597,285,317
Big Stone County                ,3,2,2,1,19-50,47364,11.39,403,765,496,710,689,453,431
Big Stone County                ,2,2,1.5,0,19-50,36048,11.55,0,614,346,612,644,377,411
Big Stone County                ,6,2,1,4,19-50,56388,27.11,0,1472,519,964,759,748,237
Big Stone County                ,1,1,1,0,51+,27396,13.17,0,322,169,593,597,281,321
Big Stone County                ,5,1,1,4,19-50,59028,28.38,624,1207,503,964,673,667,281
Big Stone County                ,4,2,1.5,2,19-50,54708,17.53,312,998,504,964,725,602,454
Big Stone County                ,2,2,1,0,19-50,35220,16.93,0,614,346,612,644,377,342
Big Stone County                ,4,1,1,3,19-50,56064,26.95,624,993,496,964,662,601,332
Big Stone County                ,3,2,1,1,19-50,40140,19.3,0,765,496,710,689,453,232
Big Stone County                ,6,2,2,4,19-50,66828,16.06,624,1472,519,964,759,748,483
Big Stone County                ,2,2,2,0,51+,36540,8.78,0,590,409,612,644,369,421
Big Stone County                ,4,2,2,2,19-50,59496,14.3,624,998,504,964,725,602,541
Big Stone County                ,2,2,1.5,0,51+,36540,11.71,0,590,409,612,644,369,421
Big Stone County                ,2,2,2,0,19-50,36048,8.67,0,614,346,612,644,377,411
Big Stone County                ,3,2,1.5,1,19-50,44016,14.11,202,765,496,710,689,453,353
Big Stone County                ,2,2,1,0,51+,35688,17.16,0,590,409,612,644,369,350
Big Stone County                ,2,1,1,1,19-50,37776,18.16,403,494,338,710,601,370,232
Big Stone County                ,5,2,2,3,19-50,62472,15.02,624,1208,512,964,736,667,495
Big Stone County                ,4,2,1,2,19-50,48828,23.48,0,998,504,964,725,602,276
Big Stone County                ,6,2,1.5,4,19-50,62124,19.91,312,1472,519,964,759,748,403
Big Stone County                ,5,2,1.5,3,19-50,57720,18.5,312,1208,512,964,736,667,411
Big Stone County                ,5,2,1,3,19-50,51756,24.88,0,1208,512,964,736,667,226
Carlton County                  ,6,2,1.5,4,19-50,67584,21.66,407,1439,519,1120,848,786,513
Carlton County                  ,5,1,1,4,19-50,66072,31.77,815,1180,503,1120,749,706,433
Carlton County                  ,4,1,1,3,19-50,63216,30.39,815,971,496,1120,736,642,488
Carlton County                  ,4,2,1,2,19-50,53184,25.57,0,976,504,1120,808,644,380
Carlton County                  ,2,2,2,0,19-50,38076,9.15,0,600,346,675,714,392,446
Carlton County                  ,2,2,1,0,51+,37632,18.09,0,577,409,675,714,384,377
Carlton County                  ,5,2,1.5,3,19-50,63396,20.32,407,1182,512,1120,821,707,534
Carlton County                  ,2,2,1.5,0,19-50,38076,12.2,0,600,346,675,714,392,446
Carlton County                  ,5,2,2,3,19-50,69720,16.76,815,1182,512,1120,821,707,653
